date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,AGRICULTURAL BANK OF CHINA LTD,CHINA CONSTRUCTION BANK (ASIA),CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,18.821465268280175,35.86824588601727,18.05202018179172,8.108476285480673,0.0,4.821639382719949,0.0,7.314811722617254,7.013341273092963,0.0
2024-03-04,18.917331770653693,35.83915672955576,18.007551550593533,8.102006572999693,0.0,4.811211212314993,0.0,7.3089644195305725,7.013777744351756,0.0
2024-03-05,19.05941786841969,35.827879977510754,17.912684587125895,8.099577362423979,0.0,4.78879182337363,0.0,7.30677298540799,7.004875395738061,0.0
2024-03-06,16.832532490121583,31.501126395950706,15.673891347472239,7.121431980001453,12.120553941202852,4.203150639935212,0.0,6.424370615965401,6.122942589350555,0.0
2024-03-07,16.920777092063528,31.491578399385283,15.656853645158769,7.118339727226355,12.117104298258266,4.190961075785811,0.0,6.422423388180425,6.081962373941566,0.0
2024-03-08,16.959378203421117,31.485753848772273,15.642800325478607,7.117023148886077,12.114956526620011,4.18320280805128,0.0,6.4212355236152305,6.075649615155402,0.0
2024-03-11,17.10881757021506,31.496654559190446,15.472549067587579,7.119487139704211,12.118926721269387,4.181924101782475,0.0,6.423458625190184,6.078182215060657,0.0
2024-03-12,17.225035537709832,31.505399851591324,15.377764036676538,7.1215969517327355,12.122349932410167,4.191953953245524,0.0,6.4253621738596625,6.03053756277422,0.0
2024-03-13,17.228879750886584,31.464770157503636,15.339917609570152,7.1124128656101115,12.106716822794105,4.177395548176758,0.0,6.417093620495488,6.152813624963166,0.0
2024-03-14,17.188000307099138,31.457925554575027,15.320642459184505,7.111640199981288,12.10587799009403,4.174232768110456,0.0,6.41657436990746,6.2251063510480975,0.0
2024-03-15,17.2061657250511,31.453648293458446,15.367363731678926,7.110673246771047,12.104045426637065,4.1472985314651565,0.0,6.415841839680107,6.194963205258148,0.0
2024-03-18,17.1258678592058,31.373787766528082,15.358007673275441,7.092619312072639,12.073313365391204,4.136517367967921,0.0,6.3996451164369095,6.189738401840211,0.25050313728178997
2024-03-19,17.112516564293298,31.364861554454738,15.373155846080458,7.090623391291049,12.069766601255049,4.134075234881333,0.0,6.397769367271488,6.208284261114612,0.24894717935797323
2024-03-20,17.114040931862267,31.35671363561523,15.347360903039494,7.0887813992958515,12.066631134563824,4.132266685161716,0.0,6.396107363902911,6.24921543834265,0.24888250821605817
2024-03-21,17.26740046211601,31.345415634986214,15.225540359216494,7.086111695513504,12.062086724323818,4.128678991548825,0.0,6.393698527875974,6.243766076199289,0.2473015282198761
2024-03-22,17.28971485604764,31.324773242581916,15.238414759903845,7.08236778371005,12.054132563794754,4.129848560183509,0.0,6.389482300151247,6.245613752344848,0.24565218128218486
2024-03-25,17.339100351038823,31.378928550336767,15.139974222449576,7.094612016221795,12.074972148287666,4.145460588915425,0.0,6.400528649239849,6.181342260458237,0.2450812130518617
2024-03-26,17.381648792074188,31.401211451916318,15.141378428570704,7.0993707087909765,12.083546864773746,4.137876772655168,0.0,6.405073812396688,6.10507557443899,0.24481759438322276
2024-03-27,17.444990662165644,31.407929832204772,15.10779465285568,7.100891745476893,12.086135758751992,4.133938743984624,0.0,6.406539234667687,6.066909323460185,0.24487004643252253
2024-03-28,17.458376311178693,31.408584360750964,15.078324590466668,7.099964150693272,12.086459312286815,4.132158652950719,0.0,6.406710741794259,6.084545278119331,0.2448766017592768
2024-04-02,17.49117797568421,31.439039609148217,14.998105144683821,7.106589992433779,12.098214791436565,4.121462023548968,0.0,6.4127555458764,6.087540144620275,0.2451147725677713
2024-04-03,17.488069931991305,31.417895772781364,15.014116689334637,7.102071438494365,12.090078325531074,4.119174675893008,0.0,6.408442747024772,6.115200494503875,0.2449499244456053
2024-04-05,17.690773658868597,31.480158259377927,14.76924634369384,7.117486301969425,12.114551492836686,4.154494444182025,0.0,6.421941461566958,6.005906059551548,0.24544197795299075
2024-04-08,17.711065660046327,31.447828127921163,14.792949545972482,7.110176641519549,12.10210984501916,4.193742900836555,0.0,6.415243539847379,5.9816938298653355,0.2451899089720521
2024-04-09,17.71832543168567,31.460746592487304,14.737783493478638,7.113091105263495,12.107070503825101,4.1954619174309595,0.0,6.417966448528037,6.0042640949044115,0.2452904123963844
2024-04-10,17.722058724425178,31.474562686146722,14.688541076629525,7.116309810167726,12.112549006297494,4.246942835498351,0.0,6.420823936247368,5.97178377212773,0.24642815245990912
2024-04-11,17.716356029716486,31.46506439010196,14.689344502910545,7.114162272233767,12.108893718773222,4.278572452169297,0.0,6.418755642675454,5.962497205283979,0.24635378613529427
2024-04-12,17.72284965614682,31.432860122067076,14.679279749541546,7.106891516145404,12.09651828940289,4.290428768698854,0.0,6.4122139546150105,6.012855933664607,0.24610200971779175
2024-04-15,17.707408432756942,31.44835835583376,14.727418070084406,7.110374541819171,12.10244668772858,4.318411845348675,0.0,6.4155710288701355,6.049720920488615,0.12029011706971336
2024-04-16,17.752305708389095,31.481928090871254,14.71873007963634,7.118036805992123,12.117196824409248,4.3671222317610585,0.0,6.422624390280928,6.020422035603528,0.001633833056422749
2024-04-17,17.877756733198062,31.44656719585628,14.485024057839869,7.110020652837858,12.10140583840358,4.5774090381086,0.0,6.415363415989694,5.984821074691133,0.0016319930749270418
2024-04-18,17.986116536601774,31.356294771040144,14.534663515804382,7.089610195924487,12.064342082198513,4.665347934865837,0.0,6.396714611714262,5.905283043674067,0.0016273081765329112
2024-04-19,18.12759579237699,31.335874183961238,14.397680639919164,7.084993132479379,12.056485256325487,4.6843099912091475,0.0,6.392548792101286,5.918885963224853,0.0016262484024567403
2024-04-22,18.309650206929984,31.31951432325293,14.252544507356122,7.081294193043823,12.050190795916714,4.704109153903809,0.0,6.3889327247230785,5.892138695504279,0.0016253993692628645
2024-04-23,18.37593187515422,31.24374418976555,14.370219286659012,7.064053267602205,12.021009699285386,4.719676669197432,0.0,6.3734610972303125,5.830236124330008,0.0016677907758717626
2024-04-24,18.40011191056515,31.239841378387386,14.26753556918539,7.061980588843163,12.019579384664066,4.771338533793279,0.0,6.372647167316924,5.865297874910138,0.001667592334510204
2024-04-25,18.425132281140115,31.231545147885036,14.291584412973016,7.060105168988801,12.01638739658997,4.79088612458877,0.0,6.370954810778687,5.8117375075764315,0.0016671494791760978
2024-04-26,18.46693354743133,31.215779363205172,14.326446702918497,7.05658096606443,12.009833719991198,4.737088762756391,0.0,6.367774612036917,5.817896008310309,0.0016663172857555692
2024-04-29,18.14296900195385,30.664380954225763,14.570136986267684,6.931932868310743,11.797690908233752,4.6059518674508295,0.0,6.254566149631298,7.030734380622716,0.001636883303360642
2024-04-30,18.292777099893858,30.82606252163396,14.823058921978264,6.971012175908631,11.859860454364668,4.6094627212893595,0.0,6.2883024875195925,6.3278181083278175,0.0016455090838486002
2024-05-02,18.04491722279171,30.457225254994803,14.776830467407146,6.887720660247959,11.71795590493868,4.631238388350732,0.0,6.212610632078906,7.269875648805427,0.0016258203846418596
2024-05-03,18.10923678663446,30.470660652669658,14.788250915381301,6.890668632464796,11.72312497061033,4.663507826301813,0.0,6.2153511605985665,7.137572517766862,0.0016265375722133693
2024-05-06,18.110494241185947,30.47277644978336,14.957788488283578,6.891147101145545,11.723938991489598,4.663831647190079,0.0,6.216144215022462,6.962252215385016,0.0016266505144150447
2024-05-07,18.105512178764897,30.464393615367374,14.919680494100444,6.88925139777305,11.720713822971373,4.662548661752016,0.0,6.2132145476530685,7.0230590785828415,0.0016262030349430809
