date,EMPEROR SECURITIES LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,VALUABLE CAPITAL LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,INTERACTIVE BROKERS HONG KONG LTD,LONG BRIDGE HK LTD
2024-03-05,0.0,0.0,57.887005649717516,42.112994350282484,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,57.9161487173692,42.08385128263081,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,83.02871061161082,0.0,9.829117201434572,7.142172186954604,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,83.07332143610999,0.0,9.834398326713103,7.092280237176904,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,82.09037298291521,0.0,9.718034776342984,7.000777442782108,0.0,0.0,0.0,0.0,1.1908147979596868,0.0
2024-03-15,81.72831385901107,0.0,9.914493538652016,7.142304418478681,0.0,0.0,0.0,0.0,1.2148881838582373,0.0
2024-03-18,81.72831385901107,0.0,9.914493538652016,7.146173489127912,0.0,0.0,0.0,0.0,1.2110191132090073,0.0
2024-03-21,81.74412754924344,0.0,9.912542084284665,7.143686389845594,0.0,0.0,0.0,0.0,1.1996439766262916,0.0
2024-03-25,81.49655664654026,0.0,9.882520881961458,7.102760469916472,0.0,0.0,0.0,0.0,1.1960107255155386,0.32215127606628213
2024-03-27,81.45570230405862,0.0,9.877566759857322,7.097271763231467,0.0,0.0,0.0,0.0,1.195411163597802,0.3740480092547961
2024-04-02,81.4509909770957,0.0,9.876995449988431,7.096861263206601,0.0,0.0,0.0,0.0,1.1953420220559883,0.3798102876532737
2024-04-05,80.05403567110037,0.0,9.671629383313181,7.030305320435308,0.0,0.0,1.700423216444982,0.0,1.1714026602176542,0.3722037484885127
2024-04-08,80.04344951355435,0.0,9.674128648342306,7.038821195806177,0.0,0.0,1.7001983564749221,0.0,1.171247756682724,0.37215452913951075
2024-04-10,77.86782813246592,0.0,9.411180946080053,6.84750248097916,2.718050501709119,0.0,1.6539861065167052,0.0,1.1394126511559526,0.36203918109310107
2024-04-29,77.92561011467215,0.0,9.410835048515143,6.790282269920612,2.7179506027638927,0.0,1.6539253160835048,0.0,1.13937077330197,0.36202587474272274
2024-05-08,77.1220195333103,0.0,9.313787898077587,6.674790389756834,2.68992233963225,1.0748776894676535,1.6368695778695233,0.0,1.129440008729971,0.35829256315588454
2024-05-10,77.1206169067365,0.0,9.313618507202095,6.674668994616615,2.689873417721519,1.0748581405499782,1.6368398079441293,0.0,1.129419467481449,0.36010475774770845
2024-05-14,77.12482493952456,0.0,9.314126698313963,6.675033193284953,2.690020188792492,1.0694603590331204,1.636929120969062,0.0,1.1294810934686528,0.3601244066131936
2024-05-16,77.12825920942579,0.0,9.311247681733882,6.6766064220517105,2.689188697770828,1.0691297865376923,1.636423142659733,0.0,1.1291319684352157,0.3600130913851413
2024-05-17,77.42545110937472,0.0,9.305664080245679,6.658065454016827,2.7602623975577405,0.8358924969562611,1.6354418418709455,0.0,1.0194254147662225,0.359797205211608
