date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,HANG SENG SECURITIES LTD,ARISTO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-04,3.9699782737507405,0.0,0.0,0.0,0.0,0.9067566839638734,1.0719480006464008,0.0,0.0,0.6499919199899449,6.59867487835096
2024-03-05,4.167489630653763,5.217890937819834,0.0,2.601763237749807,1.228161528378791,0.9121433573339558,1.0719480006464008,0.0,0.0,0.6499919199899449,15.849388612572495
2024-03-06,4.199809670874257,5.217890937819834,0.0,2.601763237749807,1.3035749555599447,0.9121433573339558,1.0719480006464008,0.0,0.0,0.6499919199899449,15.957122079974145
2024-03-07,4.578672364570053,5.217890937819834,0.0,2.601763237749807,1.3035749555599447,0.9121433573339558,1.0719480006464008,0.0,0.0,0.6499919199899449,16.33598477366994
2024-03-08,4.839028244124037,5.217890937819834,0.0,2.601763237749807,1.3035749555599447,0.9121433573339558,1.0719480006464008,0.0,0.0,0.6499919199899449,16.596340653223923
2024-03-12,4.855188264234284,5.217890937819834,0.0,2.601763237749807,1.3053705133499722,0.9121433573339558,1.0719480006464008,1.1240191765571976,0.0,0.6499919199899449,17.738315407681394
2024-03-13,4.855188264234284,5.217890937819834,0.0,2.601763237749807,1.3053705133499722,0.9103477995439283,1.0719480006464008,1.1240191765571976,0.0,0.6499919199899449,17.73651984989137
2024-03-18,4.865961610974449,5.198139802129532,0.0,2.601763237749807,1.3053705133499722,0.9103477995439283,1.0719480006464008,1.1240191765571976,0.0,0.6589697089400822,17.73651984989137
2024-03-19,4.865961610974449,5.194548686549476,0.0,2.601763237749807,1.3053705133499722,0.9103477995439283,1.0719480006464008,1.1240191765571976,0.0,0.6589697089400822,17.732928734311315
2024-03-26,4.865961610974449,5.194548686549476,0.0,2.601763237749807,1.3071660711399997,0.9103477995439283,1.0719480006464008,1.1240191765571976,0.0,0.6589697089400822,17.73472429210134
2024-04-02,4.898281651194944,5.194548686549476,0.0,2.601763237749807,1.3071660711399997,0.9103477995439283,1.0719480006464008,1.1240191765571976,0.0,0.6589697089400822,17.767044332321834
2024-04-03,4.912646113515164,5.194548686549476,0.0,2.601763237749807,1.3071660711399997,0.9103477995439283,1.0719480006464008,1.1204280609771424,0.0,0.6589697089400822,17.777817679062
2024-04-09,4.894690535614889,5.192753128759449,0.0,2.601763237749807,1.3394861113604941,0.9121433573339558,1.0719480006464008,1.1204280609771424,0.0,0.6589697089400822,17.79218214138222
2024-04-15,4.894690535614889,5.174797550859175,0.0,2.601763237749807,1.3394861113604941,0.9121433573339558,1.0719480006464008,1.1204280609771424,0.0,0.6805164024204119,17.795773256962274
2024-04-16,4.894690535614889,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9103477995439283,1.088108020756648,1.1204280609771424,0.0,0.7451564828614009,17.82091106602266
2024-04-18,4.894690535614889,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9103477995439283,1.088108020756648,1.1204280609771424,0.0,0.7541342718115382,17.829888854972797
2024-04-22,4.894690535614889,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9103477995439283,1.088108020756648,1.1204280609771424,0.001795557790027472,0.772089849711813,17.8496399906631
2024-04-23,4.903668324565026,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9103477995439283,1.088108020756648,1.1204280609771424,0.001795557790027472,0.772089849711813,17.858617779613237
2024-04-29,4.903668324565026,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9103477995439283,1.088108020756648,1.1204280609771424,0.001795557790027472,0.6859030757904944,17.772431005691917
2024-05-02,4.903668324565026,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9103477995439283,1.088108020756648,1.1204280609771424,0.001795557790027472,0.703858653690769,17.790386583592195
2024-05-03,4.903668324565026,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.9157344729140107,1.088108020756648,1.1204280609771424,0.001795557790027472,0.7218142315910437,17.813728834862548
2024-05-07,4.903668324565026,5.12093081715835,0.0,2.601763237749807,1.3394861113604941,0.8798233171134613,1.088108020756648,1.1204280609771424,0.001795557790027472,0.7577253873915932,17.813728834862548
2024-05-10,4.903668324565026,5.117339701578295,0.0,2.601763237749807,1.3394861113604941,0.8798233171134613,1.088108020756648,1.1204280609771424,0.001795557790027472,0.7882498698220602,17.840662201712963
2024-05-14,4.903668324565026,5.155046415168872,0.0,2.601763237749807,1.3394861113604941,0.8439121613129118,1.088108020756648,1.1204280609771424,0.001795557790027472,0.8115921210924174,17.86580001077335
2024-05-16,4.903668324565026,5.119135259368323,0.0,2.601763237749807,1.3394861113604941,0.8439121613129118,1.088108020756648,1.1204280609771424,0.001795557790027472,0.8475032768929669,17.86580001077335
2024-05-17,4.903668324565026,5.169410877489092,0.0,2.601763237749807,1.3394861113604941,0.806205447722335,1.088108020756648,1.1204280609771424,0.001795557790027472,0.863663297003214,17.894528935413785
2024-05-23,4.903668324565026,5.169410877489092,0.0,2.601763237749807,1.3394861113604941,0.806205447722335,1.088108020756648,1.118632503187115,0.001795557790027472,0.863663297003214,17.89273337762376
2024-05-24,4.903668324565026,5.169410877489092,0.0,2.601763237749807,1.3394861113604941,0.806205447722335,1.0863124629666205,1.118632503187115,0.001795557790027472,0.863663297003214,17.890937819833734
2024-05-27,4.903668324565026,5.185570897599339,0.0,2.601763237749807,1.3394861113604941,0.799023216562225,1.0863124629666205,1.118632503187115,0.001795557790027472,0.863663297003214,17.899915608783868
2024-05-28,4.903668324565026,5.208913148869696,0.0,2.601763237749807,1.3394861113604941,0.799023216562225,1.0863124629666205,1.118632503187115,0.001795557790027472,0.8654588547932416,17.925053417844254
2024-05-29,4.891099420034834,5.230459842350026,0.0,2.601763237749807,1.3394861113604941,0.7936365431921426,1.0863124629666205,1.118632503187115,0.001795557790027472,0.8654588547932416,17.92864453342431
2024-06-03,4.891099420034834,5.183775339809311,0.0,2.601763237749807,1.3394861113604941,0.7936365431921426,1.0845169051765933,1.118632503187115,0.001795557790027472,0.8654588547932416,17.880164473093565
2024-06-04,4.891099420034834,5.171206435279119,0.0,2.601763237749807,1.3394861113604941,0.7936365431921426,1.091699136336703,1.118632503187115,0.001795557790027472,0.8654588547932416,17.874777799723486
2024-06-07,4.891099420034834,5.171206435279119,0.0,2.601763237749807,1.3394861113604941,0.7936365431921426,1.091699136336703,1.118632503187115,0.001795557790027472,0.5961251862891207,17.605444131219365
2024-06-12,4.891099420034834,5.173001993069147,0.0,2.601763237749807,1.3394861113604941,0.7936365431921426,1.091699136336703,1.118632503187115,0.001795557790027472,0.5961251862891207,17.60723968900939
2024-06-14,4.891099420034834,5.173001993069147,0.0,2.601763237749807,1.3394861113604941,0.7954321009821701,1.091699136336703,1.1168369453970877,0.001795557790027472,0.5961251862891207,17.60723968900939
2024-06-18,4.891099420034834,5.171206435279119,0.0,2.6071499111198895,1.3394861113604941,0.7954321009821701,1.091699136336703,1.1168369453970877,0.001795557790027472,0.5961251862891207,17.610830804589444
2024-06-19,4.891099420034834,5.153250857378844,0.0,2.6071499111198895,1.3394861113604941,0.7954321009821701,1.091699136336703,1.1150413876070602,0.001795557790027472,0.5961251862891207,17.59107966889914
2024-06-21,4.891099420034834,5.153250857378844,0.0,2.6071499111198895,1.3394861113604941,0.8044098899323073,1.091699136336703,1.1150413876070602,0.001795557790027472,0.5961251862891207,17.60005745784928
2024-06-24,4.891099420034834,5.153250857378844,0.0,2.626901046810192,1.3394861113604941,0.8044098899323073,1.091699136336703,1.1150413876070602,0.001795557790027472,0.5961251862891207,17.61980859353958
2024-06-26,4.891099420034834,5.153250857378844,0.0,2.626901046810192,1.3394861113604941,0.8277521412026647,1.088108020756648,1.1150413876070602,0.001795557790027472,0.5961251862891207,17.639559729229884
2024-06-27,4.892894977824861,5.180184224229257,0.0,2.653834413660604,1.3394861113604941,0.9283033774442031,1.095290251916758,1.1168369453970877,0.001795557790027472,0.6140807641893955,17.822706623812685
2024-06-28,4.892894977824861,5.180184224229257,0.0,2.653834413660604,1.3394861113604941,0.9336900508142855,1.095290251916758,1.1168369453970877,0.001795557790027472,0.6104896486093404,17.824502181602714
2024-07-02,4.892894977824861,5.180184224229257,0.0,2.653834413660604,1.3394861113604941,0.9390767241843678,1.095290251916758,1.1168369453970877,0.001795557790027472,0.605102975239258,17.824502181602714
2024-07-03,4.892894977824861,5.180184224229257,0.0,2.653834413660604,1.3394861113604941,0.9390767241843678,1.095290251916758,1.1168369453970877,0.001795557790027472,0.5961251862891207,17.815524392652577
2024-07-08,4.892894977824861,5.158637530748927,0.0,2.653834413660604,1.3394861113604941,0.9283033774442031,1.095290251916758,1.1168369453970877,0.001795557790027472,0.5961251862891207,17.783204352432083
2024-07-09,4.892894977824861,5.140681952848652,0.0,2.653834413660604,1.3394861113604941,0.9300989352342306,1.1132458298170327,1.1168369453970877,0.001795557790027472,0.5961251862891207,17.784999910222112
2024-07-10,4.892894977824861,5.14965974179879,0.0,2.653834413660604,1.3394861113604941,0.9031655683838183,1.095290251916758,1.1168369453970877,0.001795557790027472,0.5961251862891207,17.74908875442156
2024-07-11,4.892894977824861,5.147864184008762,2.142100443502774,2.653834413660604,1.3394861113604941,0.9229167040741205,1.095290251916758,1.1168369453970877,0.001795557790027472,0.5961251862891207,19.90914477582461
2024-07-12,4.898281651194944,5.147864184008762,2.142100443502774,2.653834413660604,1.3394861113604941,0.9031655683838183,1.095290251916758,1.1168369453970877,0.001795557790027472,0.6033074174492307,19.9019625446645
2024-07-15,4.898281651194944,5.147864184008762,2.142100443502774,2.653834413660604,1.3394861113604941,0.8852099904835438,1.095290251916758,1.1168369453970877,0.001795557790027472,0.608694090819313,19.88939364013431
2024-07-16,4.898281651194944,5.13529527947857,2.142100443502774,2.653834413660604,1.3394861113604941,0.8798233171134613,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6104896486093404,19.85886915770384
2024-07-17,4.898281651194944,5.13529527947857,2.142100443502774,2.653834413660604,1.3394861113604941,0.8762322015334063,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6104896486093404,19.855278042123786
