date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,SUPREME CHINA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,100.0,0.0,0.0
2024-03-06,35.80649323246004,37.2980501380196,26.89545662952036,0.0,0.0
2024-03-07,30.49768964636853,31.79883093982164,22.907836404400747,0.0,14.795643009409076
2024-03-11,30.50237605442085,31.803717286921984,22.895990086189958,0.0,14.79791657246721
2024-03-13,30.511753192657242,31.813494487652132,22.87997210441829,0.0,14.794780215272333
2024-03-20,30.514098378144926,31.815939727200117,22.874044527294537,0.0,14.795917367360422
2024-03-28,26.17459396990759,27.291296429946915,19.6210558323539,14.168564846682974,12.744488921108621
2024-04-02,26.169417844820558,27.285899472719187,19.617175694253397,14.165762959324782,12.761744028882072
2024-04-03,26.15217887010005,27.267925021242057,19.604252976679533,14.15643133295844,12.81921179901991
2024-05-17,26.122979196612288,27.278706849265237,19.612004563349693,14.162028832875837,12.824280557896946
2024-07-12,26.116389141315466,27.278706849265237,19.618594618646515,14.162028832875837,12.824280557896946
2024-10-25,26.111519849615572,27.2805046496069,19.619887580087216,14.162962179915159,12.825125740775151
2024-11-18,26.065138702622527,27.40967421241029,19.58503733410077,14.137804914673346,12.802344836193068
2025-01-27,26.104030347217467,27.395256016592697,19.5747350991603,14.130368064526532,12.795610472503006
2025-03-17,28.139305439012325,21.734420313828387,21.100935086130907,15.232082465601382,13.793256695426997
2025-03-24,28.020141611819476,21.64237977956477,21.43505543453293,15.167577915314876,13.73484525876795
