date,CITIBANK N.A.,OSHIDORI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,PLANETREE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GET NICE SECURITIES LTD,KINGSTON SECURITIES LTD,IMAGI BROKERAGE LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,27.029267071193086,0.0,45.181945322612876,0.0,19.83341017261925,0.0,0.0,0.0,7.955377433574791,0.0
2024-03-04,26.963586904721204,0.0,45.19438996891208,0.0,19.853771774817915,0.0,0.0,0.0,7.988251351548806,0.0
2024-03-05,26.98292051916252,0.0,45.18305863236101,0.0,19.84831217710533,0.0,0.0,0.0,7.985708671371142,0.0
2024-03-06,26.983857435129792,0.0,45.18809975923658,0.0,19.850737489032532,0.0,0.0,0.0,7.977305316601098,0.0
2024-03-07,25.308364266793053,0.0,42.36688851618843,0.0,18.62896803084597,0.0,0.0,0.0,7.481498220521392,6.214280965651146
2024-03-08,25.29939918229525,0.0,42.37871099409856,0.0,18.628280564903317,0.0,0.0,0.0,7.483083470784997,6.2105257879178755
2024-03-11,25.29818610804922,0.0,42.369832748033396,0.0,18.639722705395005,0.0,0.0,0.0,7.482529819180408,6.209728619341974
2024-03-12,25.293613473215064,0.0,42.35499649320454,0.0,18.62924968603348,0.0,0.0,0.0,7.513434281767887,6.208706065779031
2024-03-14,25.280101761488865,0.0,42.36670965466211,0.0,18.644663261061062,0.0,0.0,0.0,7.503036112526426,6.205489210261538
2024-03-15,25.27569491760065,0.0,42.353823403045666,0.0,18.664963230886602,0.0,0.0,0.0,7.501390371202383,6.2041280772647
2024-03-18,25.270767750484385,0.0,42.34271112983965,0.0,18.6609152376489,0.0,0.0,0.0,7.522687218626041,6.202918663401024
2024-03-19,28.34044082365823,0.0,38.814888032791295,0.0,18.884088229086053,0.0,0.0,0.0,7.609339446140558,6.35124346832386
2024-03-20,28.326943476912085,0.0,38.81986968376487,0.0,18.893177813435692,0.0,0.0,0.0,7.609026643085424,6.350982382801935
2024-03-21,28.293009192905,0.0,38.83828520777715,0.0,18.9038581723398,0.0,0.0,0.0,7.614281911478398,6.350565515499658
2024-03-22,28.2814344841174,0.0,38.8504984626379,0.0,18.90267369347719,0.0,0.0,0.0,7.617165778029091,6.348227581738419
2024-03-25,28.277216366258696,0.0,38.843890430981666,0.0,18.899137152046592,0.0,0.0,0.0,7.630414219811529,6.3493418309015155
2024-03-26,28.295680970424602,0.0,38.817450629309064,0.0,18.82892007604328,0.0,0.0,0.0,7.634112649823155,6.4238356743999
2024-03-27,28.26671101151409,0.0,38.83125899302129,0.0,18.843510191257504,0.0,0.0,0.0,7.641354112338574,6.417165691868545
2024-03-28,23.48947746711305,0.0,32.05605856184879,0.0,15.678433325215476,17.064543518930773,0.0,0.0,6.345345710548258,5.366141416343647
2024-04-02,23.817728422637995,0.0,31.767826862342197,0.0,15.43993547090888,17.0997217040331,0.0,0.0,6.420555625159103,5.454231914918726
2024-04-03,23.973451917505425,0.0,31.42640938053139,0.0,15.271623001434593,17.209548848312416,0.0,0.0,6.481031380895587,5.63793547132059
2024-04-05,23.897682973528266,0.0,31.305211538309397,0.0,15.191150066273048,17.183228254049236,0.0,0.0,6.656209142915917,5.76651802492413
2024-04-08,24.044874334254995,0.0,30.446728851357786,0.0,15.63258917051332,17.29171048596693,0.0,0.0,6.78117359052664,5.80292356738033
2024-04-09,24.13866847305517,0.0,30.13747643287845,0.0,15.672147239818019,17.373446216078843,0.0,0.0,6.8132273410730155,5.865034297096501
2024-04-10,24.584111782474004,0.0,29.910151633266235,0.0,15.720991798829917,17.369323026800014,0.0,0.0,6.989479548835753,5.425942209794075
2024-04-11,24.60840871097153,0.0,29.483845926215725,0.0,15.891583425224715,17.561443171383317,0.0,0.0,6.953851563441018,5.500867202763693
2024-04-12,12.200378665157402,42.54483996077798,14.052290285898666,0.0,8.337828324969529,8.754922494964323,7.697734954071336,0.0,3.6683472954187835,2.743658018741982
2024-04-15,12.221827021502667,42.52642989498337,14.130061235538365,0.0,8.326482744459588,8.779084611138796,7.688813867041583,0.0,3.584829846331515,2.7424707790041083
2024-04-16,12.226744365030772,42.58711852682483,14.111535893043554,0.0,8.254568904076642,8.798610681856228,7.699786422114431,0.0,3.57525070193008,2.746384505123463
2024-04-17,12.218633172097533,42.5606932099276,14.152067966771261,0.0,8.22059872565115,8.80014441157847,7.695008702858379,0.0,3.608173438212872,2.7446803729027347
