date,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG SECURITIES LTD
2024-03-01,0.0,49.196477280896936,12.829925945956758,23.697009323117364,0.0,14.276587450028947,0.0,0.0,0.0
2024-03-04,0.0,44.16671153702339,11.518215726321472,21.273871103244215,0.0,12.81887913837783,0.0,0.0,10.222322495033092
2024-03-05,0.0,44.16544873677859,11.518839457065638,21.273262847643966,0.0,12.82041873679723,0.0,0.0,10.22203022171457
2024-03-06,0.0,44.16418600874288,11.518510123572211,21.27265462682482,0.0,12.82291127575135,0.0,0.0,10.221737965108737
2024-03-07,0.0,44.163186821132896,11.518249524348246,21.272529770688166,0.0,12.824527179271506,0.0,0.0,10.221506704559179
2024-03-08,89.93120944087674,4.444665602465777,1.1623832534120435,2.1409071254786203,0.0,1.2921230529592886,0.0,0.0,1.0287115248075316
2024-03-11,89.93167522129426,4.444074780134239,1.1623892737398083,2.141014126773967,0.0,1.2921297452479708,0.0,0.0,1.0287168528097512
2024-03-12,89.93167522129426,4.444074780134239,1.1669930930409653,2.141014126773967,0.0,1.2923215710521856,0.0,0.0,1.0239212077043793
2024-03-13,89.93193713864284,4.444087723074314,1.172175803594036,2.135453896916643,0.0,1.2924212479958257,0.0,0.0,1.0239241897763491
2024-03-14,89.93176462580968,4.444079198158824,1.1721735550561385,2.135449800560959,0.0,1.2926105947908244,0.0,0.0,1.0239222256235847
2024-03-15,89.92686506328377,4.443789126885341,1.1776723447761757,2.135266851408789,0.0,1.292540172215918,0.0,0.0,1.0238664414300134
2024-03-18,89.92643383108798,4.4437678172918025,1.1776666974067185,2.13525661202357,0.0,1.2930135105738312,0.0,0.0,1.023861531616095
2024-03-19,89.92108689544483,4.443503595310345,1.1775966745249933,2.1410755515982585,0.0,1.2929366292861804,0.0,0.0,1.0238006538354043
2024-03-20,89.92076006306569,4.443487444695379,1.1780719006690528,2.1410367454633894,0.0,1.2929319299039865,0.0,0.0,1.0237119162025061
2024-03-21,89.92084030493767,4.443491409894855,1.1780729519356854,2.1409494198402967,0.0,1.292933083667348,0.0,0.0,1.0237128297241498
2024-03-22,89.92067870028208,4.443471340557441,1.1779749335428837,2.1412332756743506,0.0,1.2929307600235187,0.0,0.0,1.0237109899197316
