date,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,KGI ASIA LTD,HANTEC SECURITIES CO LTD
2024-03-05,90.22138198541504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.778618014584957
2024-03-06,44.91080463530493,50.221550981600906,0.0,0.0,0.0,0.0,0.0,0.0,4.867644383094163
2024-03-12,44.92055398643264,50.21266307660509,0.0,0.0,0.0,0.0,0.0,0.0,4.866782936962277
2024-03-13,43.02627187935993,48.06680942056461,4.248119234185076,0.0,0.0,0.0,0.0,0.0,4.658799465890382
2024-03-15,43.03431405230742,48.06002451097303,4.247519587458245,0.0,0.0,0.0,0.0,0.0,4.658141849261311
2024-03-19,43.04235395517642,48.05324151656996,4.2469201099947655,0.0,0.0,0.0,0.0,0.0,4.657484418258857
2024-03-21,42.98245786073214,48.083357521893916,4.2847059405932555,0.0,0.0,0.0,0.0,0.0,4.649478676780686
2024-03-22,42.760114402326934,48.28815327764438,4.315057859402631,0.0,0.0,0.0,0.0,0.0,4.6366744606260575
2024-03-25,42.77135482526178,48.28815327764438,4.303817436467781,0.0,0.0,0.0,0.0,0.0,4.6366744606260575
2024-03-26,42.774993211758826,48.27323146034811,4.316533674373251,0.0,0.0,0.0,0.0,0.0,4.63524165351981
2024-03-27,42.75500183455284,48.29975645743961,4.313383171906607,0.0,0.0,0.0,0.0,0.0,4.631858536100941
2024-03-28,42.723055204787094,48.34073390858914,4.309028522333485,0.0,0.0,0.0,0.0,0.0,4.627182364290293
2024-04-03,42.76840013358122,48.30009875129178,4.308208354241825,0.0,0.0,0.0,0.0,0.0,4.623292760885182
2024-04-11,42.68075751064823,48.24124267576727,4.4656921686169335,0.0,0.0,0.0,0.0,0.0,4.612307644967569
2024-04-16,42.69514259138656,48.238545814995824,4.4542617934082545,0.0,0.0,0.0,0.0,0.0,4.612049800209357
2024-04-17,42.70632331817495,48.238545814995824,4.443081066619869,0.0,0.0,0.0,0.0,0.0,4.612049800209357
2024-04-18,38.43143950189738,43.398527058069085,3.9997988620840683,0.0,0.0,10.020935201985983,0.0,0.0,4.14929937596348
2024-04-24,38.532384498701404,43.25581455372085,4.008993211103775,0.0,0.0,10.043970354234343,0.0,0.0,4.158837382239621
2024-04-26,38.542466528718954,43.25581455372085,3.998911181086225,0.0,0.0,10.043970354234343,0.0,0.0,4.158837382239621
2024-04-30,38.54632499911248,43.24600438464809,4.008083994582985,0.0,0.0,10.041692439730744,0.0,0.0,4.157894181925702
2024-05-03,38.549604765362076,43.23837732899521,4.014935585573247,0.0,0.0,10.039921442659992,0.0,0.0,4.157160877409468
2024-05-07,38.55540242211827,43.230752963150145,4.026822854577402,0.0,0.0,10.030593928648935,0.0,0.0,4.156427831505248
2024-05-08,38.44306813577858,43.406201591229134,4.005043549294585,0.0,0.0,10.001368981177201,0.0,0.0,4.144317742520501
2024-05-10,38.444033737542895,43.4072918555309,4.002632375998346,0.0,0.0,10.00162019264398,0.0,0.0,4.144421838283876
2024-05-13,38.37273892435117,43.51314682509599,3.9989173211118154,0.0,0.0,9.979811902438117,0.0,0.0,4.135385027002911
2024-05-14,38.426671703968864,43.423715441256775,4.014577054650773,0.0,0.0,9.993838500774539,0.0,0.0,4.141197299349051
2024-05-16,38.43285259377656,43.41935645648836,4.014174061031849,0.0,0.0,9.992835293440477,0.0,0.0,4.140781595262761
2024-05-17,38.43903224280142,43.41499834676441,4.013771148311884,0.0,0.0,9.991832287495289,0.0,0.0,4.140365974626994
2024-05-20,38.413985652381186,43.37255258072453,4.095080204159434,0.0,0.0,9.982063521130328,0.0,0.0,4.136318041604521
2024-05-24,38.383791972010584,43.31162521926834,4.2009799493491355,0.0,0.0,9.971614592896382,0.0,0.0,4.13198826647556
2024-05-27,38.31704499552808,43.22502870463773,4.38252194017619,0.0,0.0,9.951677519082757,0.0,0.0,4.123726840575241
2024-05-28,38.314172319514114,43.22178807104562,4.389690500167466,0.0,0.0,9.950931429573217,0.0,0.0,4.123417679699592
2024-05-29,38.1473417190678,43.03358834181428,4.806004474268121,0.0,0.0,9.907602296646854,0.0,0.0,4.105463168202946
2024-05-30,38.10562405611746,42.98652711413533,4.91010795412485,0.0,0.0,9.896767412887419,0.0,0.0,4.100973462734936
2024-05-31,38.01869038996775,42.888458220379064,5.127044774714744,0.0,0.0,9.874189058758741,0.0,0.0,4.091617556179694
2024-06-03,38.02860946283122,42.878539147515596,5.127044774714744,0.0,0.0,9.874189058758741,0.0,0.0,4.091617556179694
2024-06-04,38.0107004947108,42.85834618223261,5.171723682374536,0.0,0.0,9.869538966642143,0.0,0.0,4.089690674039915
2024-06-05,37.969291785773144,42.811656466981084,5.275029236915466,0.0,0.0,9.858787129367391,0.0,0.0,4.085235380962906
2024-06-06,37.972614238391486,42.747302097811335,5.33847741529596,0.0,0.0,9.857078769315335,0.0,0.0,4.084527479185891
2024-06-07,37.9228594568057,42.641846582373724,5.561399681937037,0.0,0.0,9.794718677009334,0.0,0.0,4.079175601874202
2024-06-11,37.65701668239579,42.633390374538784,5.923968973677086,0.0,0.0,9.732401433439591,0.0,0.0,4.053222535948743
2024-06-12,37.46741705506666,42.41873516180738,6.397633166824189,0.0,0.0,9.683399684300493,0.0,0.0,4.032814932001266
2024-06-13,37.345353528526495,42.350814860295195,6.57318641613929,0.0,0.0,9.693587412146528,0.0,0.0,4.037057782892493
2024-06-14,36.83966970796722,42.025242813385766,7.464980762026833,0.0,0.0,9.650848340237268,0.0,0.0,4.01925837638292
2024-06-17,36.78858981510133,41.966972885409014,7.593284813243555,0.0,0.0,9.637466996072348,0.0,0.0,4.013685490173749
2024-06-18,36.747470613152075,41.92006572093364,7.696569293630786,0.0,0.0,9.626695043309752,0.0,0.0,4.0091993289737475
2024-06-19,36.755154285667196,41.914973433558984,7.695634344174763,0.0,0.0,9.625525629646257,0.0,0.0,4.008712306952806
2024-06-20,36.76283609164344,41.90988238321678,7.694699621839238,0.0,0.0,9.624356500059944,0.0,0.0,4.008225403240593
2024-06-21,31.436192361797204,35.818537779723684,6.576322180728574,14.517778021066139,0.0,8.225515255585085,0.0,0.0,3.4256544010993184
2024-06-24,31.441885850414604,35.81556343445078,6.575776087727469,14.516572475359737,0.0,8.224832214792967,0.0,0.0,3.4253699372544473
2024-06-25,31.44757839354422,35.812589583111794,6.575230085413164,14.515367129851983,0.0,8.224149287429846,0.0,0.0,3.425085520648994
2024-06-26,31.328497146255156,35.57873609962784,7.008301456259048,14.470909631359557,0.0,8.19896045815143,0.0,0.0,3.414595208346969
2024-06-27,31.292795562906704,35.61717681145568,7.007721370639324,14.469711856601455,0.0,8.19828182024064,0.0,0.0,3.4143125781562014
2024-06-28,31.28179132756641,35.604651890343966,7.040422473256075,14.464623525191236,0.0,8.195398862009737,0.0,0.0,3.4131119216325674
2024-07-02,31.05593348722525,35.4389771861709,7.557395749776057,14.397317089198225,0.0,8.153146375757911,0.0,0.0,3.397230111871653
2024-07-03,30.81824680491032,35.158276052429855,8.221345284184915,14.316550827296377,0.0,8.10740874621007,0.0,0.0,3.378172284968463
2024-07-04,30.822327427040268,35.148920849803204,8.233485507677754,14.312741361960125,0.0,8.10525146035553,0.0,0.0,3.377273393163117
2024-07-05,30.777440951831853,35.09074270697327,8.381289637254197,14.289051055369997,0.0,8.089792284605975,0.0,0.0,3.371683363964702
