date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,SUNCORP SECURITIES LTD,KINGSTON SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KGI ASIA LTD,SORRENTO SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,42.15267358913864,0.0,0.0,57.84732641086136,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,30.024239514481742,0.0,0.0,41.20312747800721,0.0,28.772633007511043
2024-03-12,0.0,0.0,0.0,0.0,30.046372623587338,0.0,0.0,41.15978391242018,0.0,28.793843463992484
2024-03-13,0.0,0.0,0.0,0.0,30.046542002498605,0.0,0.0,41.160015940408194,0.0,28.7934420570932
2024-03-14,0.0,0.0,0.0,0.0,30.05045127719839,0.0,0.0,41.152360428469386,0.0,28.797188294332223
2024-03-20,0.0,0.0,0.0,0.0,30.049343546091418,0.0,0.0,41.150192942025456,0.0,28.80046351188313
2024-03-25,0.0,0.0,0.0,0.0,30.057164571326446,0.0,0.0,41.134875940994434,0.0,28.807959487679124
2024-03-27,0.0,0.0,0.0,0.0,30.058468471360513,0.0,0.0,41.13232233228381,0.0,28.809209196355678
2024-04-03,0.0,0.0,0.0,0.0,30.06491139767777,0.0,0.0,41.141138899977435,0.0,28.793949702344797
2024-04-05,0.0,0.0,0.0,0.0,30.065563669656303,0.0,0.0,41.1398619301146,0.0,28.794574400229106
2024-04-09,0.0,0.0,0.0,0.0,30.11665795869168,0.0,0.0,41.109805035305236,0.0,28.77353700600308
2024-04-10,0.0,0.0,0.0,0.0,30.012552310294836,0.0,0.0,41.3133735036069,0.0,28.674074186098263
2024-04-11,0.0,0.0,0.0,0.0,29.825427735326894,0.0,0.0,41.67927740694382,0.0,28.49529485772929
2024-04-12,0.0,0.0,0.0,0.0,29.805973767945225,0.0,0.0,41.64994603826456,0.0,28.544080193790215
2024-04-16,0.0,0.0,0.0,0.0,29.800858520093275,0.0,0.0,41.659959970052626,0.0,28.539181509854107
2024-04-17,0.0,0.0,0.0,0.0,29.80136996586884,0.0,0.0,41.65895873154805,0.0,28.539671302583113
