date,EMPEROR SECURITIES LTD,SUNFUND SECURITIES LTD,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,47.15746166313427,52.84253833686573,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,47.47119020735882,52.528809792641184,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,47.49672745530511,52.50327254469489,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,47.44017807456872,52.55982192543127,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,47.336187204345556,52.663812795654444,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,47.48137189456402,52.51862810543598,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,47.78712144552984,52.21287855447015,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,37.24854495112166,40.69828219472227,22.053172854156074,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,37.33706692246925,40.640870104954296,22.02206297257646,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,37.53803459739674,40.47092466332337,21.991040739279878,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,0.0,37.5822763354897,40.36766575326987,22.05005791124043,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,37.67031510056702,40.31072808823944,22.018956811193547,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,26.062505123210777,27.889295709774505,15.233989234426415,30.814209932588305,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,25.33877232519814,28.862858595917068,15.151338686916333,30.64703039196846,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,25.28097533093946,28.859145866100018,15.165182971757629,30.69469583120289,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,25.326161771559047,28.6789351459173,15.209833501995677,30.78506958052798,0.0,0.0,0.0
