date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,TOTAL_CCASS_PCT
2024-03-01,25.083362621245346,19.950364231290266,19.9958024164792,4.791692942108991,3.5127637968066505,2.277295634977421,0.8658202626982686,1.7861081682784212,1.870499272506222,0.9978439941910466,81.13155334058183
2024-03-04,25.262806386644314,19.982694171543898,20.049078646108466,4.746872362888429,3.494676665495907,2.2743698606165954,0.8614277054672091,1.6693341424154247,1.9432568451803758,0.9913816569582092,81.27589844331882
2024-03-05,25.448722423285158,20.059522740080762,20.043763589527845,4.7615656527063805,3.5471015199411995,2.2759281365449056,0.8637372930038119,1.707063230497094,1.9863125656067036,1.00574640099249,81.69946355218636
2024-03-06,25.42043999344989,19.952006848903196,20.01283209061445,4.880263648466434,3.504165452845082,2.2789890356898006,0.8663529704549039,1.728322566376183,1.9886221531433064,1.012249114267684,81.64424387421091
2024-03-07,25.447755846987913,19.94479982273476,20.008392701626473,5.073991071898695,3.5214177934799444,2.2823844354585208,0.8538531209641844,1.787808386447987,1.7973716092990941,1.0014754171101943,81.71925020600777
2024-03-08,25.644323367431298,19.97755144358514,20.052317689583592,4.979954629243637,3.4907531493192687,2.277980831164184,0.8480722790127799,1.7877254082548044,1.794394189221787,1.008937972704516,81.862010959521
2024-03-11,25.736790041873075,19.970400070128427,20.04271759681097,4.947527129786349,3.494454054649006,2.2810695566649413,0.8495192495176394,1.787808386447987,1.7972379871382413,0.9809063139882792,81.88843038700492
2024-03-12,25.80081537016125,19.983200193825258,19.656599082860396,5.340943133388266,3.487608771106786,2.2765060343034618,0.8439261519892404,1.787808386447987,1.7148441474288407,0.9809769929321704,81.87322826444365
2024-03-13,25.66948754800224,19.987493466618602,19.674908825018044,5.254664317005096,3.4413335413071464,2.274558189393074,0.8487401115534843,1.787808386447987,1.7088336545625014,0.9621713851130528,81.60999942502123
2024-03-14,25.72318634867164,20.04058957624637,19.664395359940578,5.297640426227301,3.44687098612382,2.2727308047772157,0.8383066750754835,1.7881701290742018,1.6856562479737978,0.9236693365182297,81.68121589062864
2024-03-15,25.705259803260578,20.014189042858092,19.65551118365159,5.331855713396054,3.55333462365444,2.269196857582655,0.8281222288297418,1.7908701760362695,1.6977885391299272,0.9157601400859562,81.76188830848531
2024-03-18,25.6378132801718,20.029883107564643,19.999285747532443,5.103530390401928,3.473417329616818,2.270866438934416,0.8372770999085642,1.789283183308709,1.722152934580665,0.915177595325971,81.77868710734596
