date,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD,HANG SENG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,DBS VICKERS (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,5.1090361445783135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1090361445783135
2024-03-04,5.111546184738955,3.8980923694779115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.009638554216867
2024-03-05,5.114056224899598,3.8978413654618476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011897590361444
2024-03-06,5.116566265060241,3.898343373493976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.014909638554217
2024-03-07,5.119076305220884,3.896586345381526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01566265060241
2024-03-08,5.124096385542169,3.8604417670682736,0.0,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,9.434588353413655
2024-03-11,5.126606425702811,3.8596887550200805,0.0,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,9.436345381526104
2024-03-12,5.126104417670683,3.8604417670682736,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.25210843373494
2024-03-13,5.128614457831325,3.8473895582329316,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.241566265060241
2024-03-14,5.13062248995984,3.845632530120482,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.241817269076305
2024-03-15,5.133132530120482,3.845632530120482,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.24432730923695
2024-03-18,5.135642570281124,3.845632530120482,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.24683734939759
2024-03-19,5.133132530120482,3.848393574297189,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.247088353413655
2024-03-20,5.135642570281124,3.848393574297189,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.249598393574297
2024-03-21,5.138152610441767,3.8488955823293174,1.815512048192771,0.0,0.0,0.0,0.0,0.0,0.4500502008032129,11.252610441767068
2024-03-22,5.140662650602409,3.8383534136546187,1.815512048192771,1.4864457831325302,0.0,0.0,0.0,0.0,0.4490461847389558,12.730020080321285
2024-03-25,5.143172690763052,3.8373493975903616,1.815512048192771,1.4864457831325302,0.0,0.0,0.0,0.0,0.4490461847389558,12.73152610441767
2024-03-26,5.145682730923695,3.8373493975903616,1.815512048192771,1.4864457831325302,0.0,0.0,0.0,0.0,0.4490461847389558,12.734036144578315
2024-03-27,5.148192771084338,3.8373493975903616,1.815512048192771,1.4864457831325302,0.0,0.0,0.0,0.0,0.4490461847389558,12.736546184738955
2024-03-28,5.1507028112449795,3.828313253012048,1.815512048192771,1.4864457831325302,0.0,0.0,0.0,0.8948293172690762,0.4490461847389558,13.62484939759036
2024-04-02,5.153212851405622,3.828313253012048,1.815512048192771,1.4864457831325302,0.0,0.0,0.0,0.8948293172690762,0.4490461847389558,13.627359437751005
2024-04-03,5.155722891566265,3.829066265060241,1.7994477911646587,1.4864457831325302,0.0,0.0,0.0,0.8948293172690762,0.4490461847389558,13.614558232931728
2024-04-05,5.158734939759036,3.8162650602409633,1.801706827309237,1.4864457831325302,0.0,0.0,0.0,0.8948293172690762,0.45607429718875503,13.614056224899599
2024-04-08,5.161495983935743,3.745983935742972,1.8242971887550201,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.579668674698794
2024-04-09,5.164006024096386,3.745983935742972,1.8242971887550201,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.582178714859438
2024-04-10,5.166516064257029,3.745983935742972,1.8242971887550201,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.58468875502008
2024-04-11,5.169026104417671,3.7454819277108435,1.8242971887550201,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.586696787148595
2024-04-12,5.1715361445783135,3.744979919678715,1.8242971887550201,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.588704819277108
2024-04-15,5.174046184738955,3.744979919678715,1.8242971887550201,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.59121485943775
2024-04-16,5.176556224899598,3.7592871485943777,1.8094879518072289,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.593222891566265
2024-04-17,5.179066265060241,3.7592871485943777,1.8094879518072289,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.595732931726909
2024-04-18,5.181576305220884,3.7592871485943777,1.8094879518072289,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.59824297188755
2024-04-19,5.184086345381527,3.7592871485943777,1.809738955823293,1.4899598393574296,0.0,0.0,0.0,0.8948293172690762,0.4631024096385542,13.601004016064259
2024-04-22,5.186596385542169,3.7602911646586343,1.809738955823293,1.4899598393574296,0.0,0.0,0.0,0.8872991967871486,0.4631024096385542,13.596987951807229
2024-04-23,5.191616465863453,3.7181224899598395,1.809738955823293,1.502008032128514,0.0,0.0,0.0,0.8872991967871486,0.4631024096385542,13.571887550200804
2024-04-24,5.194377510040161,3.725903614457831,1.809738955823293,1.502008032128514,0.0,0.0,0.0,0.8637048192771085,0.4668674698795181,13.562600401606426
2024-04-25,5.197138554216867,3.718624497991968,1.809738955823293,1.502008032128514,0.0,0.0,0.0,0.8637048192771085,0.4668674698795181,13.55808232931727
