date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,18.86754157344835,17.944968517194454,10.393592730124317,7.960652259150772,4.516456396890929,3.479456604469867,3.0586064533985287,2.7557257190303757,2.1615886708028693,0.0,71.13858892451046
2024-03-04,18.998546947436402,17.895149572156747,10.104827363516849,7.950503955531979,4.533985284959752,3.5532624489701776,3.0493807228359895,2.759416011255391,2.1597435246903616,0.0,71.00481583135364
2024-03-05,19.082501095555504,18.02430980003229,10.10021449823558,7.884078695481699,4.513688677722167,3.4960629194824366,3.0493807228359895,2.7741771801554536,2.1597435246903616,0.0,71.08415711419148
2024-03-06,18.8684641465046,17.9440459441382,10.10021449823558,7.876698111031668,4.549669026916068,3.394579883294509,3.0918190834236685,2.7750997532117077,2.1597435246903616,1.1693613488018082,71.92969532024817
2024-03-07,18.73284590723528,18.134095993726504,10.122356251585671,7.873930391862906,4.518301543003437,3.348451230481814,3.0927416564799226,2.791706068224278,2.1597435246903616,1.1693613488018082,71.94353391609198
2024-03-08,18.69409783887262,17.9080655949443,10.130659409091958,7.868394953525382,4.509998385497151,3.3825864335632074,3.1093479714924923,2.791706068224278,2.1597435246903616,1.1693613488018082,71.72396152870355
2024-03-11,18.73284590723528,18.456073990359112,10.147265724104528,7.862859515187859,5.098599995387135,3.2312844523375697,3.1001222409299536,2.7640288765366607,2.164356389971631,1.1693613488018082,72.72679844085154
2024-03-12,18.506815508453077,18.647046613003667,10.152801162442051,7.8674723804691284,5.098599995387135,2.9729639965864796,3.096431948704938,2.7557257190303757,2.164356389971631,1.1813547985331088,72.44356851258159
2024-03-13,18.492054339553015,18.500357497059298,10.166639758285859,7.82780173905021,5.162257536268653,3.00617662661162,3.075212768411099,2.7612611573678993,2.1689692552529003,1.1813547985331088,72.34208547639366
2024-03-14,18.016006642526005,18.299236570795948,10.125123970754434,7.831492031275227,5.715456788984477,2.9489770971238785,3.0161680928108496,2.7077519201051734,2.169891828309154,1.1813547985331088,72.01145974121826
2024-03-15,18.15900546624536,18.494822058721773,10.123278824641927,7.8213437276564335,5.61517309776968,2.9176096132112463,3.0161680928108496,2.688377885923842,2.169891828309154,1.1924256752081557,72.19809627049843
