date,CMB WING LUNG BANK LTD,BOCOM INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,5.070711839898993,3.8816948077200744,0.0,0.0,2.1059154703952467,0.13006401953520627,0.8217854015013949,0.0,12.010171539050916
2024-03-04,0.0,0.0,5.085440179754251,3.8735533819324637,0.0,1.6190394751125308,2.1061789469579524,0.13251435156837058,0.8217854015013949,0.0,13.638511736826961
2024-03-05,0.0,0.0,5.0891551992884025,3.8751078936524284,0.0,1.6190394751125308,2.1058627750827053,0.13462216407001731,0.8222596593142654,0.0,13.64604716652035
2024-03-06,0.0,0.0,5.099193656327495,3.875134241308699,0.0,1.5947852455232696,2.105599298519999,0.13462216407001731,0.8395964171403097,0.0,13.64893102288979
2024-03-07,0.0,0.0,5.110154281336058,3.868468284272241,0.0,1.5947852455232696,2.10652146648947,0.13462216407001731,0.8354071397932868,0.0,13.649958581484341
2024-03-08,0.0,0.0,5.100590082109837,3.868916194428841,0.0,1.593942120522611,2.1055466032074586,0.1364928476652288,0.8480540148031672,0.0,13.653541862737143
2024-03-11,0.0,0.0,5.094688207105225,3.8653329131760414,0.0,1.6055350892816682,2.1057837321138932,0.13817909766654618,0.8484228819909554,0.0,13.657941921334329
2024-03-12,0.0,0.0,5.093713343823214,3.8656490850512886,0.0,1.607142296314174,2.1053358219572935,0.13817909766654618,0.8483965343346849,0.0,13.658416179147201
2024-03-13,0.0,0.0,5.083569496159038,3.8732108624009456,0.0,1.6163903236651487,2.1050459977383174,0.13817909766654618,0.8465258507394734,0.0,13.662921628369471
2024-03-14,0.0,0.0,5.091816312571732,3.868494631928512,0.0,1.6101722767852908,2.104887911800694,0.16516650137903632,0.8482384483970613,0.0,13.688776082862326
