date,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,0.0,29.299373138077378,0.0,0.0,5.8537435464741385,0.0,0.0,0.0,64.8468833154485
2024-03-04,0.0,29.299373138077378,0.0,0.0,5.8457582884104005,0.0,0.0,0.0,64.85486857351222
2024-03-05,0.0,29.299373138077378,0.0,0.0,5.837773030346663,0.0,0.0,0.0,64.86285383157596
2024-03-06,0.0,29.299373138077378,0.0,0.0,5.829787772282927,0.0,0.0,0.0,64.8708390896397
2024-03-07,0.0,29.299373138077378,0.0,0.0,5.821802514219189,0.0,0.0,0.0,64.87882434770343
2024-03-11,0.0,29.301712955473967,0.0,0.0,5.814281541541097,0.0,0.0,0.0,64.88400550298493
2024-03-12,0.0,29.33365653850646,0.0,0.0,5.774352062750485,0.0,0.0,0.0,64.89199139874306
2024-03-13,0.0,28.129495957717893,0.0,0.0,5.537312158624257,0.0,4.097389587235184,0.0,62.23580229642267
2024-03-14,0.0,28.125188263984246,0.0,0.0,5.521150389535507,0.0,4.096762121336905,0.0,62.25689922514335
2024-03-15,0.0,28.125188263984246,0.0,0.0,5.513493491345576,0.0,4.096762121336905,0.0,62.26455612333327
2024-03-19,0.0,28.125188263984246,0.0,0.0,5.505836593155646,0.0,4.096762121336905,0.0,62.27221302152321
2024-03-21,0.0,28.125188263984246,0.0,0.0,5.498179694965715,0.0,4.096762121336905,0.0,62.279869919713136
2024-03-22,0.0,28.125188263984246,0.0,0.0,5.490522796775784,0.0,4.096762121336905,0.0,62.28752681790306
2024-03-26,0.0,28.125188263984246,0.0,0.0,5.482865898585853,0.0,4.096762121336905,0.0,62.29518371609299
2024-03-27,0.0,25.277986536154796,0.0,10.10267085887346,4.920936283006964,0.0,3.6820339395770194,0.0,56.01637238238776
2024-03-28,0.0,25.246023571112836,0.0,10.104200623287841,4.914798611715556,0.0,3.6825914797138792,0.0,56.05238571416989
2024-04-02,43.19353961354089,14.381957563979011,0.0,5.756082108246658,2.8155078716606186,0.0,2.097869957125335,0.0,31.75504288544748
2024-04-03,43.19353961354089,14.381957563979011,0.0,5.756082108246658,2.8115869272167706,0.0,2.097869957125335,0.0,31.75896382989133
2024-04-05,43.19337025473578,14.381901173343515,0.0,5.75605953905699,2.804126137950659,0.0,2.0978617315260353,0.0,31.766681163387016
2024-04-08,43.19337025473578,14.381901173343515,0.0,5.75605953905699,2.8002052088805565,0.0,2.0978617315260353,0.0,31.770602092457125
2024-04-09,43.19337025473578,14.381901173343515,0.0,5.75605953905699,2.796284279810453,0.0,2.0978617315260353,0.0,31.774523021527223
2024-04-10,43.19337025473578,14.381901173343515,0.0,5.75605953905699,2.79236335074035,0.0,2.0978617315260353,0.0,31.778443950597328
2024-04-11,43.19252348063115,14.381619226799005,0.0,5.75398626966177,2.796229460723557,0.0,2.097820604497075,0.0,31.777820957687442
2024-04-12,42.90070041218276,14.453732341537485,0.0,5.783784325320065,2.802827925213266,0.0,2.108684546850138,0.0,31.95027044889629
2024-04-15,42.90070041218276,14.453732341537485,0.0,5.783784325320065,2.7988867681698,0.0,2.108684546850138,0.0,31.954211605939754
2024-04-16,42.90070041218276,14.453732341537485,0.0,5.779843168276599,2.7949456111263338,0.0,2.108684546850138,0.0,31.962093920026685
2024-04-19,42.90577336390971,14.45544147648723,0.0,5.780526627173548,2.7637431251491265,0.0,2.108933896040495,0.0,31.985581511239893
2024-04-22,42.90661897250788,14.45572637161076,0.0,5.778669702322837,2.759855893627434,0.0,2.1089754599722377,0.0,31.990153599958855
2024-04-23,42.90661897250788,14.45572637161076,0.0,5.778669702322837,2.755914192863808,0.0,2.1089754599722377,0.0,31.99409530072248
2024-04-24,42.91000174024041,14.456866064410875,0.0,5.759415236333407,2.7600734813024124,0.0,2.1091417320837564,0.0,32.004501745629135
2024-04-25,42.90661897250788,14.45572637161076,0.0,5.758961198504705,2.759855893627434,0.0,2.1089754599722377,0.0,32.00986210377699
2024-04-26,42.90831028970222,14.456296195548294,0.0,5.759188208470297,2.7560228270366265,0.0,2.1090585927508934,0.0,32.01112388649167
2024-04-29,41.89690392084877,14.115541923392335,0.0,5.623436425327475,2.7257001478270584,2.3224935240022906,2.0593452556702374,0.0,31.256578802931834
2024-04-30,41.89690392084877,14.115541923392335,0.0,5.623436425327475,2.7141533239010665,2.3224935240022906,2.0593452556702374,0.0,31.268125626857827
2024-05-02,41.89851657016075,14.116085243228426,0.0,5.623652876426092,2.7104087046326684,2.3225829188556824,2.059424521711374,0.0,31.269329164985
2024-05-08,41.89851657016075,14.116085243228426,0.0,5.623652876426092,2.7065596151748106,2.3225829188556824,2.059424521711374,0.0,31.273178254442858
2024-05-09,41.893678994615684,14.114455409182861,0.0,5.6230035731128485,2.6947011824238354,2.3223147549384504,2.059186741891975,0.0,31.292659343834345
2024-05-10,41.895291395671855,14.114998645378757,0.0,5.623219990890369,2.690956102728046,2.3224041360301446,3.9836625811675836,0.0,29.369467148133243
2024-05-14,41.895291395671855,14.114998645378757,0.0,5.623219990890369,2.6871073095571725,2.3224041360301446,3.9836625811675836,0.0,29.373315941304117
2024-05-16,43.14058532198245,14.534552287265784,0.0,5.790364351692869,2.7669787772200523,2.391435181493543,4.102072804644661,0.0,27.274011275700644
2024-05-17,43.137166102357774,12.591588903592408,0.0,5.78990542126164,2.723167788389033,2.391245642060022,6.083187898263539,0.0,27.28373824407558
2024-05-20,43.135456695786765,12.591089933753727,0.0,5.789675983325241,2.723059876782128,2.391150883609647,6.082946838353824,0.0,27.286619788388666
2024-05-21,43.133747424688494,12.590591003459068,0.0,5.789446563572103,2.7229519737273606,2.3910561326690045,6.082705797548426,0.0,27.289501104335546
2024-05-22,43.133747424688494,12.590591003459068,0.0,5.789446563572103,2.7189894073626952,2.3910561326690045,6.082705797548426,0.0,27.293463670700213
2024-05-23,43.13032928884575,12.589593261483012,0.0,5.788987778606963,2.722736193270175,2.3908666533133482,6.082223773241503,0.0,27.295263051239242
2024-05-27,43.12862042406909,12.589094449792215,0.0,5.78875841339064,2.7226283158657227,2.3907719248965487,6.081982789735434,0.0,27.29814368225035
2024-05-29,43.12742429929434,12.588745305126448,0.0,5.788597868553239,2.734438763203792,2.3907056194710097,6.072701546042804,0.0,27.297386598308364
2024-05-30,43.12745847336718,12.588676040647215,0.0,5.788602455425013,2.738402918584652,2.3907075138607,6.072706358037685,0.0,27.293446240077557
2024-05-31,43.12574983606733,12.58817729849546,0.0,5.788373120740813,2.7382944276711054,2.3906127980537457,6.07246576763515,0.0,27.296326751336398
2024-06-03,43.12745847336718,12.588676040647215,0.0,5.788602455425013,2.7344409299668433,2.3907075138607,6.072706358037685,0.0,27.297408228695364
2024-06-04,43.12574983606733,12.58817729849546,0.0,5.788373120740813,2.7343325960206157,2.3906127980537457,6.07246576763515,0.0,27.300288582986887
2024-06-05,43.124041334148785,12.587678595860785,0.0,5.788143804227602,2.738185945353673,2.390518089751455,6.072225196295435,0.0,27.299207034362265
2024-06-06,43.12233296759545,12.587179932738499,0.0,5.787914505883219,2.742038989384495,2.390423388952937,6.071984644016272,0.0,27.29812557142913
2024-06-11,43.12233296759545,12.567372343972691,0.0,5.787914505883219,2.7618465781503025,2.390423388952937,6.071984644016272,0.0,27.29812557142913
2024-06-13,43.12233296759545,12.571333861725853,0.0,5.787914505883219,2.7578850603971414,2.390423388952937,6.071984644016272,0.0,27.29812557142913
2024-06-14,41.668459425501155,15.5189996249523,0.0,5.5927744198788085,2.6649027042602045,2.309830037887872,5.867267106387408,0.0,26.377766681132254
2024-06-17,41.66686443676113,15.522233395679654,0.0,5.592560339196484,2.6648006968938374,2.309741622022428,5.867042518651302,0.0,26.376756990795165
2024-06-18,41.66766191586757,15.522530482033178,0.0,5.592667377488957,2.6629377588298664,2.3097858291090363,5.867154810370117,0.0,26.377261826301268
2024-06-20,41.66606698818008,15.521936320697808,0.0,5.592453305001153,2.66283582862869,2.3096974166279503,5.866930231230716,0.0,26.380079909633608
2024-06-21,41.67098294709763,15.51196920067662,0.0,5.593113128994225,2.6631500025472756,2.309969925612668,5.867622439304905,0.0,26.383192355766678
2024-06-24,41.67098294709763,15.51196920067662,0.0,5.593113128994225,2.659321815912274,2.309969925612668,5.867622439304905,0.0,26.38702054240168
