date,SILVERBRICKS SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,YUET SHEUNG INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,USMART SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FULBRIGHT SECURITIES LTD
2024-03-01,0.0,62.518764188861375,0.0,37.481235811138625,0.0,0.0,0.0
2024-03-12,0.0,56.805834815331465,0.0,34.05622164459493,0.0,0.0,9.137943540073595
2024-03-14,0.0,57.18925845120911,0.0,34.28609169878347,0.0,0.0,8.52464985000741
2024-03-15,0.0,57.27198915337679,0.0,33.9718648557355,0.0,0.0,8.756145990887713
2024-03-18,0.0,57.10931133509883,0.0,33.87536971143792,0.0,0.0,9.015318953463245
2024-03-19,0.0,57.130477752039866,0.0,33.887924935491256,0.0,0.0,8.981597312468882
2024-03-21,0.0,57.088065899275975,0.0,33.92145107731586,0.0,0.0,8.990483023408176
2024-03-22,0.0,57.42871211003116,0.0,34.09431903129476,0.0,0.0,8.47696885867409
2024-03-27,0.0,57.13399551763862,0.0,33.934040489211334,0.0,0.0,8.931963993150049
2024-04-10,0.0,57.03832823376843,0.0,34.00977363774118,0.0,0.0,8.951898128490388
2024-04-11,0.0,57.24596078880817,0.0,33.767600692856895,0.0,0.0,8.986438518334936
2024-04-16,0.0,57.537705204511546,0.0,33.93231392640948,0.0,0.0,8.529980869078976
2024-04-19,0.0,57.231713994373,0.0,33.75919695468899,0.0,0.0,9.00908905093801
2024-05-02,0.0,57.22639146331863,0.0,33.76339830084858,0.0,0.0,9.010210235832794
2024-05-03,0.0,57.22106760731693,0.0,33.767600692856895,0.0,0.0,9.011331699826169
2024-05-09,0.0,57.72277612649624,0.0,33.78442072719166,0.0,0.0,8.492803146312095
2024-05-17,0.0,57.76981007985135,0.0,33.726797677591414,0.0,0.0,8.503392242557243
2024-05-23,0.0,57.32283564972348,0.0,34.08377017050428,0.0,0.0,8.593394179772245
2024-05-24,0.0,56.612830804755674,0.0,33.67641109702609,0.0,0.0,9.710758098218243
2024-05-27,0.0,56.62693055923017,0.0,33.68479840289474,0.0,0.0,9.688271037875088
2024-05-28,0.0,56.67134609486527,0.0,33.68899362270464,0.0,0.0,9.639660282430091
2024-05-29,0.0,56.75482312049871,0.0,33.70158555432181,0.0,0.0,9.543591325179484
2024-05-30,0.0,56.79389301180912,0.0,33.70998540613105,0.0,0.0,9.496121582059837
2024-05-31,0.0,56.80097160672193,0.0,33.7141869024285,0.0,0.0,9.484841490849572
2024-06-05,0.0,57.05720666856752,0.0,33.77733526069348,0.0,0.0,9.165458070739005
