date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,SORRENTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SUNCORP SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,TOTAL_CCASS_PCT
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.22491714867138934,0.0,0.0,0.22491714867138934
2024-03-21,0.0,0.0,0.0,0.0,0.20886021111527703,0.0,0.22491714867138934,0.0,0.0,0.43377735978666637
2024-03-28,0.0,0.0,0.0,0.0,0.21112574377541068,0.0,0.22491714867138934,0.0,0.0,0.4360428924468
2024-04-03,0.0,0.0,0.0,0.0,0.2110029015600612,0.0,0.22491714867138934,0.0,0.0,0.4359200502314506
2024-04-25,0.0,0.0,0.0,0.0,0.21150635326231312,0.0,0.22491714867138934,0.0,0.0,0.4364235019337025
2024-05-08,0.0,0.0,0.0,0.0,0.21150635326231312,0.0,0.22471576799048854,0.0,0.0,0.43622212125280174
2024-05-24,0.0,0.0,0.0,0.0,0.21612552263047458,0.0,0.22547014002114288,0.0,0.0,0.4415956626516174
2024-05-27,0.0,0.0,0.0,0.0,0.21537034507709668,0.0,0.2300012053414102,0.0,0.0,0.4453715504185069
2024-05-30,0.0,0.0,0.0,0.0,0.213356538268089,0.0,0.2259735917233948,0.0,0.0,0.43933012999148374
2024-06-03,0.0,0.0,0.0,0.0,0.213356538268089,0.0,0.2252184141700169,0.0,0.0,0.4385749524381059
2024-06-04,0.0,0.0,0.0,0.0,0.21084733498406538,0.0,0.2252184141700169,0.0,0.0,0.43606574915408225
2024-06-06,0.0,0.0,0.0,0.0,0.2107592309361713,0.0,0.2252184141700169,0.0,0.0,0.43597764510618814
2024-06-11,0.0,0.0,0.0,0.0,0.2120178601918011,0.0,0.2252184141700169,0.0,0.0,0.43723627436181806
2024-06-20,0.0,0.0,0.0,0.0,0.2120178601918011,0.0,0.22516806899979172,0.0,0.0,0.43718592919159277
2024-06-28,0.0,0.0,0.0,0.0,0.21201181877137407,0.0,0.22516806899979172,0.0,0.0,0.43717988777116584
2024-07-04,0.0,0.0,0.0,0.0,0.21201181877137407,0.0,0.2251177238295665,0.0,0.0,0.43712954260094056
2024-07-23,0.0,0.0,0.0,0.0,0.21201181877137407,0.0,0.22501703348911614,0.0,0.0,0.4370288522604902
2024-08-15,0.0,0.0,0.0,0.0,0.21198161166923898,0.0,0.22501703348911614,0.0,0.0,0.4369986451583551
2024-08-20,0.0,0.0,0.0,0.0,0.21198161166923898,0.0,0.224986826386981,0.0,0.0,0.43696843805621993
2024-08-21,0.0,0.0,0.0,0.0,0.21198161166923898,0.0,0.22473510053585502,0.0,0.0,0.43671671220509406
2024-09-09,0.0,0.0,0.0,0.0,0.211729885818113,0.0,0.22473510053585502,0.0,0.0,0.4364649863539681
2024-09-10,0.0,0.0,0.0,0.0,0.211729885818113,0.0,0.224986826386981,0.0,0.0,0.43671671220509406
2024-09-17,0.0,0.0,0.0,0.0,0.211729885818113,0.0,0.2285109883027445,0.0,0.0,0.44024087412085755
2024-09-20,0.0,0.0,0.0,0.0,0.21171981678406795,0.0,0.2285109883027445,0.0,0.0,0.44023080508681245
2024-09-24,0.0,0.0,0.0,0.0,0.21155871223934733,0.0,0.2285109883027445,0.0,0.0,0.4400697005420918
2024-09-25,0.0,0.0,0.0,0.0,0.21155871223934733,0.0,0.22846970526315982,0.0,0.0,0.44002841750250715
2024-10-04,0.0,0.0,0.0,0.0,0.26200457280499057,0.0,0.2884811481715897,0.0,0.2937977491828807,0.8442834701594608
2024-10-07,1.40360421471369,0.0,0.0,0.0,0.4346129889220641,0.024588581137984167,0.4939901330308267,0.5821373770809674,0.02057451037075932,2.9595078052562918
2024-10-08,1.40360421471369,0.0,0.0,0.0,0.5621121325173649,0.024588581137984167,0.5481162255399314,0.3435012702135534,0.03240562537367963,2.914328049496204
2024-10-09,1.40360421471369,0.0,0.0,0.0,0.5027048316516374,0.024588581137984167,0.5961958631049906,0.3435012702135534,0.03039181856467192,2.9009865793865277
2024-10-10,1.40360421471369,0.0,0.0,0.0,0.5768884399784591,0.024588581137984167,0.48694684371632224,0.3435012702135534,0.03165044782030174,2.867179797580311
2024-10-14,1.40360421471369,0.0,0.0,0.0,0.6086058972203305,0.024588581137984167,0.4777608639570336,0.3435012702135534,0.03165044782030174,2.8897112750628935
2024-10-15,1.40360421471369,0.0,0.0,0.0,0.5824264087032301,0.024588581137984167,0.47247462108338834,0.3435012702135534,0.03165044782030174,2.858245543672148
2024-10-16,1.40360421471369,0.0,0.0,0.0,0.5844402155122379,0.024588581137984167,0.46316076459172767,0.3435012702135534,0.03165044782030174,2.850945493989495
2024-10-17,1.40360421471369,0.0,0.0,0.0,0.619178382967621,0.024588581137984167,0.4576227958669564,0.3435012702135534,0.03165044782030174,2.880145692720107
2024-10-18,1.40360421471369,0.0,0.0,0.0,0.6131369625405978,0.024588581137984167,0.4563641666113266,0.3435012702135534,0.03165044782030174,2.872845643037454
2024-10-21,1.40360421471369,0.0,0.0,0.0,0.6274853360547777,0.024588581137984167,0.4548538115045709,0.3435012702135534,0.03165044782030174,2.885683661444878
2024-10-22,1.40360421471369,0.0,0.0,0.0,0.5922437168971428,0.024588581137984167,0.42917777468972246,0.3435012702135534,0.06185754995541743,2.85497310760751
2024-10-23,1.40360421471369,0.0,0.0,0.0,0.5864540223212455,0.024588581137984167,0.4392468087347611,0.3435012702135534,0.06185754995541743,2.859252447076652
2024-10-24,1.40360421471369,0.0,0.0,0.0,0.6000472182820477,0.024588581137984167,0.4379881794791312,0.3435012702135534,0.06185754995541743,2.871587013781824
2024-10-25,1.40360421471369,0.0,0.0,0.0,0.604578283602315,0.024588581137984167,0.439750260437013,0.3435012702135534,0.06185754995541743,2.877880160059973
2024-10-28,1.40360421471369,0.0,0.0,0.0,0.6091093489225824,0.024588581137984167,0.43421229171224185,0.3435012702135534,0.06185754995541743,2.8768732566554696
2024-10-29,1.40360421471369,0.0,0.0,0.0,0.6108714298804641,0.024588581137984167,0.4367295502235014,0.3435012702135534,0.06185754995541743,2.8811525961246103
2024-10-30,1.40360421471369,0.0,0.0,0.0,0.6141438659451016,0.024588581137984167,0.43270193660548595,0.3435012702135534,0.06185754995541743,2.8803974185712327
2024-10-31,1.40360421471369,0.0,0.0,0.0,0.6166611244563613,0.024588581137984167,0.43295366245661193,0.3435012702135534,0.06185754995541743,2.883166402933618
