date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MAGNUM RESEARCH LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,SOFI SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,99.78929337473453,0.0,0.13590559679545194,0.0,0.0,0.07480102847001627,0.0,0.0
2024-03-14,99.78934998459363,0.0,0.13590608254291225,0.0,0.0,0.07474393286345424,0.0,0.0
2024-03-15,99.78935091409012,0.0,0.1359054828551924,0.0,0.0,0.07474360305467871,0.0,0.0
2024-03-18,99.67749140511818,0.0,0.1357411342529178,0.11211424396947976,0.0,0.07465321665942126,0.0,0.0
2024-03-20,99.61544156788074,0.0,0.13565603478643556,0.11204395678351085,0.06225202583348961,0.07460641471582571,0.0,0.0
2024-03-21,99.50617438177005,0.110205289572382,0.13504040831292918,0.11189879306425425,0.06217137234836941,0.07450975493201002,0.0,0.0
2024-03-25,99.5057345107332,0.110205289572382,0.13504040831292918,0.11189879306425425,0.06261124338521935,0.07450975493201002,0.0,0.0
2024-03-26,99.50617438177005,0.110205289572382,0.13416066623922931,0.11233866410110419,0.06261124338521935,0.07450975493201002,0.0,0.0
2024-04-03,99.50659019740658,0.11020575009739884,0.13416122686879,0.1123391335410501,0.06261150502460187,0.07409218706157046,0.0,0.0
2024-04-05,99.50658802702115,0.11020623486473256,0.13416181701023164,0.11233962769260017,0.06261178043684056,0.07409251297443742,0.0,0.0
2024-04-09,99.50698235996248,0.11021641596398607,0.13373429573342285,0.11235000587946994,0.06261756465360332,0.07409935780703206,0.0,0.0
2024-04-10,99.50829778015392,0.1102173856905948,0.1328556337453486,0.11235099437822706,0.062178196270091274,0.07410000976180965,0.0,0.0
2024-04-11,99.50873553830371,0.11021787056029822,0.1324162969531802,0.11235148863412854,0.06217846980519099,0.07410033574350057,0.0,0.0
2024-04-12,99.51493748904869,0.11021808390431923,0.13197663116187341,0.106632718757755,0.062178590161397304,0.07405648696596591,0.0,0.0
2024-04-15,99.5153665233409,0.11021855908260714,0.13197720014681144,0.10576212895764979,0.06261878222965714,0.07405680624238078,0.0,0.0
2024-04-17,99.51426340390431,0.1102183117954358,0.13285675006873798,0.10598625240582898,0.0626186417376959,0.0740566400879846,0.0,0.0
2024-04-18,99.51435533908,0.11021841361943077,0.13285687280700925,0.10598635032008168,0.06261869958725065,0.07396432458623334,0.0,0.0
2024-04-24,99.47161356397055,0.11016771885324789,0.13103688120965862,0.10593760208399648,0.06258989822611681,0.07424250679006296,0.0444118288663608,0.0
2024-04-25,99.47297183265873,0.11016873616707162,0.13059836609571435,0.10593858033595793,0.06259047619550162,0.07419921984845401,0.043532788698571454,0.0
2024-04-29,99.47341155779709,0.11016873616707162,0.13015864095734495,0.10593858033595793,0.06259047619550162,0.07419921984845401,0.043532788698571454,0.0
2024-04-30,99.47647351922288,0.11017212734884764,0.13016264746251657,0.10594184130631584,0.06259240283721151,0.07112333311009267,0.043534128712125475,0.0
2024-05-02,99.47515430320131,0.11017212734884764,0.13148186348409613,0.10594184130631584,0.06259240283721151,0.07112333311009267,0.043534128712125475,0.0
2024-05-03,99.4742748258536,0.11017212734884764,0.13236134083181583,0.10594184130631584,0.06259240283721151,0.07112333311009267,0.043534128712125475,0.0
2024-05-06,99.47471225463408,0.11017261182042981,0.13192218227081082,0.10594230717561248,0.06259267808142403,0.07112364586826982,0.043534320149367575,0.0
