date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE BANK OF EAST ASIA LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,44.574390324938534,33.31782842713801,22.107781247923448,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,44.57070707070707,33.32004253056884,22.109250398724082,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,44.54491057775414,33.335549498038695,22.119539924207167,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,44.592169115203085,33.29123180216712,22.116599082629797,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,41.51503898997401,30.993934892932295,20.590419606386927,0.0,0.0,0.0,0.0,0.0,6.900606510706771
2024-03-19,33.06273062730627,24.63960639606396,16.3690036900369,20.44280442804428,0.0,0.0,0.0,0.0,5.485854858548586
2024-03-20,33.067336584404714,24.58499581301414,16.38835525343579,20.466972070341363,0.0,0.0,0.0,0.0,5.492340278804
2024-03-22,33.05084745762712,24.59105242412298,16.39239258967284,20.472014189988176,0.0,0.0,0.0,0.0,5.493693338588884
2024-03-25,33.05577453685456,24.59105242412298,16.39239258967284,20.46708711076074,0.0,0.0,0.0,0.0,5.493693338588884
2024-03-28,31.256688224072953,23.221513981296233,15.418973619317915,19.32722281673103,0.0,0.0,0.0,5.587865816777556,5.187735541804309
2024-04-02,31.267159942296058,23.225836474475315,15.417190190329935,19.33082041974964,0.0,0.0,0.0,5.570291777188329,5.188701195960724
2024-04-03,31.31190996605125,23.21071478398363,15.407152490350185,19.318234664930475,0.0,0.0,0.0,5.566665116495373,5.18532297818909
2024-04-09,31.353411414761105,23.196690834727647,15.397843465328128,19.3065625580963,0.0,0.0,0.0,5.5633017289459,5.1821899981409185
2024-04-11,31.47417753236509,23.159018143009604,15.363556215488842,19.275207646976938,0.0,0.0,0.0,5.5542666233585445,5.173773838800984
2024-04-12,28.20033250207814,20.74397339983375,13.761429758935995,17.265170407315043,0.0,10.41978387364921,0.0,4.975062344139651,4.634247714048213
2024-04-15,28.204488778054866,20.74397339983375,13.757273482959267,17.265170407315043,0.0,10.41978387364921,0.0,4.975062344139651,4.634247714048213
2024-04-22,28.386131204789223,20.749147750893822,13.877109836201878,16.953521243867964,0.0,10.422382971647128,0.0,4.976303317535545,4.635403675064438
2024-04-23,28.399118246475062,20.758640768622886,13.883458802977996,16.961277710768208,0.0,10.427151353824398,0.0,4.932828681944849,4.637524435386599
2024-04-26,28.411595890695835,20.758640768622886,13.879299588237739,16.952959281287693,0.0,10.427151353824398,0.0,4.932828681944849,4.637524435386599
2024-04-29,28.41991432017635,20.758640768622886,13.870981158757226,16.952959281287693,0.0,10.427151353824398,0.0,4.932828681944849,4.637524435386599
2024-04-30,28.443113772455092,20.754324683965404,13.859780439121758,16.949434464404526,0.0,10.424983366600134,0.0,4.931803060545575,4.636560212907518
2024-05-02,28.444296585852708,20.755187757308605,13.856198278371522,16.950139310516903,0.0,10.42541689191999,0.0,4.93200815070487,4.636753025325405
2024-05-06,28.48593159054071,20.74311125888367,13.848135987697935,16.940276796475626,0.0,10.419350816674285,0.0,4.9291384397988445,4.634055109928931
2024-05-07,28.49250197316496,20.76184937481826,13.841232916545506,16.931832343289162,0.0,10.414156939309601,0.0,4.92668134424459,4.631745108627924
2024-05-09,28.471702817252552,20.76788830715532,13.845258871436883,16.93675725089338,0.0,10.417186071636333,0.0,4.928114352198122,4.6330923294274085
2024-05-13,28.563118091913903,20.688938751765974,13.832793152164879,16.93675725089338,0.0,10.417186071636333,0.0,4.928114352198122,4.6330923294274085
2024-05-14,28.5506523726419,20.688938751765974,13.845258871436883,16.93675725089338,0.0,10.417186071636333,0.0,4.928114352198122,4.6330923294274085
2024-05-16,28.497668221185872,20.686209193870752,13.882411725516322,16.913724183877417,0.0,10.438874083944038,0.0,4.938374417055297,4.6427381745503
2024-05-17,28.52445369406868,20.678459937565037,13.877211238293444,16.90738813735692,0.0,10.434963579604577,0.0,4.936524453694069,4.640998959417273
2024-05-20,28.536351908111037,20.67501768696159,13.874901161097009,16.90457364018478,0.0,10.433226517957468,0.0,4.935702692579799,4.640226393108327
2024-05-21,28.528028632069585,20.67501768696159,13.883224437138459,16.90457364018478,0.0,10.433226517957468,0.0,4.935702692579799,4.640226393108327
2024-05-22,28.47806177670469,20.68104237782033,13.920572808259097,16.909499625343436,0.0,10.436266755474149,0.0,4.937140954125385,4.637415702272916
2024-05-23,28.51138207998668,20.67501768696159,13.904032627242083,16.90457364018478,0.0,10.433226517957468,0.0,4.935702692579799,4.636064755087602
2024-05-24,28.517331779784445,20.673296991386124,13.902875452540469,16.903166742957012,0.0,10.432358203986517,0.0,4.935291914610295,4.635678914735133
2024-05-28,28.607700312174817,20.570239334027054,13.906347554630594,16.90738813735692,0.0,10.434963579604577,0.0,4.936524453694069,4.636836628511967
2024-05-29,28.661253383302103,20.57880491359567,13.912138246929004,16.914428482198627,0.0,10.439308765354987,0.0,4.855298771601083,4.63876743701853
2024-06-03,28.66719407086647,20.577091227047507,13.910979722696423,16.913019944206187,0.0,10.4384394387309,0.0,4.85489444976475,4.638381146687763
2024-06-04,28.825637606267712,20.5950991831972,13.931488581430237,16.92782130355059,0.0,10.44757459576596,0.0,4.6299383230538425,4.642440406734456
2024-06-05,28.84110513814227,20.594240946785014,13.930908030170439,16.91461432679085,0.0,10.44713922573655,0.0,4.629745384839771,4.642246947535108
2024-06-06,28.874531054606084,20.54606085869112,13.93497290537724,16.91954981242184,0.0,10.450187578157566,0.0,4.631096290120883,4.643601500625261
2024-06-11,28.8863882637326,20.54263565891473,13.932649829123948,16.916729182295573,0.0,10.448445444694507,0.0,4.630324247728599,4.642827373510045
2024-06-13,26.914720260727865,19.123923333591993,12.970435322417941,15.74842864902615,6.882905253356094,9.726856522076512,0.0,4.310545510980058,4.322185147823388
2024-06-14,26.910970349356855,19.15439319162165,12.975556678195312,15.773520382388373,6.796720164768974,9.742354175572222,0.0,4.317413437997901,4.329071620098706
2024-06-17,26.84738643434972,19.170037336652147,12.990043559427505,15.786403235843185,6.8022713130056,9.750311138767891,0.0,4.320939639079029,4.3326073428749226
2024-06-18,26.941153622062536,19.145465138861915,12.973392891823654,15.76616818799767,6.793552146047777,9.737813167605362,0.0,4.315401048747329,4.327053796853758
2024-06-20,27.006250727957447,19.136545405132583,12.975113561361958,15.71999844702411,6.790387079240595,9.733276390884031,0.0,4.31339053461195,4.32503785378732
2024-06-25,27.014015607407693,19.136545405132583,12.975113561361958,15.71999844702411,6.782622199790349,9.733276390884031,0.0,4.31339053461195,4.32503785378732
2024-06-26,27.021780486857942,19.136545405132583,12.975113561361958,15.71999844702411,6.774857320340101,9.733276390884031,0.0,4.31339053461195,4.32503785378732
2024-06-27,27.068369763559417,19.136545405132583,12.975113561361958,15.71999844702411,6.728268043638623,9.733276390884031,0.0,4.31339053461195,4.32503785378732
2024-07-03,27.774323904258623,19.152160397886227,13.009014609884986,15.73282561392602,5.944979794839913,9.741218526577557,0.0,4.316910164749767,4.328566987876904
