date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,OCBC SECURITIES BROKERAGE (HK) LTD,DBS BANK (HONG KONG) LTD,DAH SING SECURITIES LTD,THE BANK OF EAST ASIA LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-01,42.741991661616694,15.489787809314171,16.784214492272174,13.437147051553547,6.51742705352178,0.0,5.029431931721631,0.0,0.0,0.0
2024-03-04,42.76957168936762,15.499782869465298,16.795044804185082,13.443351617562888,6.500671612732834,0.0,4.991577406686273,0.0,0.0,0.0
2024-03-05,40.66360078718012,14.77647546707376,15.99562040352189,12.79641795900993,6.197313563294016,0.0,4.758642215382455,4.811929604537828,0.0,0.0
2024-03-06,40.71374702615383,14.798866603759528,15.910759060029475,12.801778211430012,6.186469526923814,0.0,4.767496515939454,4.82088305576389,0.0,0.0
2024-03-07,40.50306288249553,14.847489218765613,15.940854704602813,12.860896383813442,6.21503843086022,0.0,4.789512651214714,4.843145728247666,0.0,0.0
2024-03-08,40.5142266611117,14.851003211409383,15.94462746680806,12.86394020453081,6.212564817699444,0.0,4.769345670703485,4.844291967737118,0.0,0.0
2024-03-11,40.52973417106435,14.82511927138837,15.950730544405985,12.862945018950125,6.214153572285711,0.0,4.771171218950393,4.846146202955072,0.0,0.0
2024-03-12,40.52011963089953,14.820973445658828,15.94352016275565,12.888455464968132,6.212323600224723,0.0,4.7646529962262685,4.849954699266871,0.0,0.0
2024-03-13,40.54733934343188,14.81513759760774,15.943640965497941,12.900454743597633,6.214679701390858,0.0,4.726953543429464,4.851794105044483,0.0,0.0
2024-03-14,37.15850274175466,13.580591307103534,14.604055634456273,11.823882591677455,5.6960506117503185,4.415036456186783,4.332478569529637,4.446900903668489,0.0,3.9425011838728525
2024-03-15,37.15804764537046,13.580689657369977,14.604161396623052,11.823968219907993,5.696091862391228,4.415068429758626,4.332509945219549,4.446933108001779,0.0,3.942529735357329
2024-03-18,35.81176218453507,13.044920169413984,14.07683724038647,11.385502485789871,5.484262766789956,4.26008628622567,4.180425852102857,4.2719654737703,3.6801024237525612,3.804135117233256
2024-03-19,35.71750921013462,13.059172239478837,14.091196106383155,11.405308037503413,5.487942284813658,4.2692000031092014,4.188318743311102,4.281104604118446,3.687975365599051,3.81227340554851
2024-03-20,35.688177587741556,13.06933103596704,14.098653642526543,11.414180284619352,5.4750414059253805,4.272521035499594,4.191576857758233,4.284434897158495,3.690844260388519,3.8152389924152854
2024-03-21,35.72346646097497,13.090390025064297,14.063765874679357,11.407957951004075,5.4646287092241,4.271503233527597,4.190578338346356,4.283414257060767,3.6899650257316647,3.8143301243868186
2024-03-22,35.75641973088224,13.099796809445492,13.97536389143797,11.4397834225919,5.431702502004482,4.281447535887014,4.200334242949271,4.293386288960101,3.6985554740833195,3.823210101758206
2024-03-25,35.865095623387454,12.901590509979895,14.016799309539065,11.452153650802327,5.406737586879045,4.29424945303173,4.212893623978148,4.3062239040612615,3.709614491001658,3.834641847339414
