date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,THE BANK OF EAST ASIA LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BNP PARIBAS,INTERACTIVE BROKERS HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,KGI ASIA LTD
2024-03-01,37.02729027196807,25.559335030955182,19.905683515384982,0.0,6.601655684886362,7.668515143961355,3.2375203528440464,0.0,0.0,0.0
2024-03-04,36.40568981407327,24.8643316036842,19.789737528016563,0.0,6.541332690164159,7.538695538044688,3.1991569708137315,0.0,1.6610558552033885,0.0
2024-03-05,36.253722962374205,24.88624305886461,19.880516136646673,0.0,6.555368425228,7.576342591066404,3.202559195041853,0.0,1.6452476307782598,0.0
2024-03-06,34.45546713933984,23.70614103274085,19.092321486958497,0.0,6.316850057885634,7.14241632829226,3.051854778425518,0.0,1.5654895155336528,4.669459660823757
2024-03-07,34.51955271714348,23.580636697310677,19.148620742271255,0.0,6.212356520151621,7.2307409225252455,3.082081354235424,0.0,1.5532435824946171,4.672767463867667
2024-03-08,34.50971117274991,23.623354966157738,19.14255449674207,0.0,6.118368967375218,7.285610114822689,3.0895156548806852,0.0,1.5518411734132793,4.679043453858412
2024-03-11,34.46983850133249,23.613698431438824,19.275377690347433,0.0,6.092814066509476,7.22025085407692,3.099876562105505,0.0,1.5510130960747235,4.677130798114628
2024-03-12,34.494774613882754,23.5002183115778,19.318264798464973,0.0,6.122328134585652,7.267360200046529,3.1071280741319294,0.0,1.5088699556141294,4.681055911696231
2024-03-13,34.49852374060485,23.516070402922864,19.30548440291098,0.0,6.1250994535392795,7.250720436173376,3.1092239898974308,0.0,1.5106640521885721,4.684213521762644
2024-03-14,34.549939695855834,23.500549208535045,19.368324898509144,0.0,6.0835024997931075,7.181850518521219,3.1224404808592476,0.0,1.511768603861353,4.681624094065054
2024-03-15,34.546233446323264,23.51406503129344,19.328591776117648,0.0,6.146655164298404,7.161129555452906,3.1278481030194,0.0,1.4924358132333087,4.68304111026163
2024-03-18,34.351590932748806,23.49490702963609,19.41320769234268,0.0,6.158509645474404,7.277407811975446,3.129279868028191,0.0,1.4951376955077174,4.679959324286662
2024-03-19,34.30633507434608,23.22997580236377,19.43782747116697,0.0,6.261324856329152,7.4426166441786235,3.1378348436346744,0.0,1.5052473081420734,4.678837999838655
2024-03-20,34.29977601990074,23.22763442163083,19.366864994073936,0.0,6.357802362667204,7.428104596243943,3.1398445313510575,0.0,1.5023819788282953,4.6775910953039945
2024-03-21,34.297869727371975,23.225487322826268,19.37634796788981,0.0,6.383132154941694,7.39479590396687,3.141660003995897,0.0,1.5035872369327798,4.677119682074706
2024-03-22,34.290027742285076,23.208938556561627,19.38955036875314,0.0,6.385548006858004,7.379541534278203,3.1415229808887517,0.0,1.5288205213295092,4.676050289045691
2024-03-25,34.24094186527625,22.941693216997155,19.604738418120487,0.0,6.438665905325925,7.4121488887886695,3.1523280680610983,0.0,1.5360865921862576,4.673397045244161
2024-03-26,34.17852499336097,22.92625877140894,19.677695217421142,0.0,6.55503872310942,7.324852082392905,3.134892308563105,0.0,1.5325243944899094,4.670213509253605
