date,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT
2024-05-21,100.0,0.0,0.0,0.0,0.0
2024-05-23,99.49735034735548,0.0,0.0,0.5026496526445265,0.0
2024-05-28,99.50454331259326,0.0,0.0,0.49545668740674864,0.0
2024-05-29,99.50885959095879,0.0,0.0,0.4911404090412049,0.0
2024-06-04,99.50958255264842,0.0,0.0,0.4904174473515756,0.0
2024-06-11,99.51030197400893,0.0,0.0,0.48969802599106915,0.0
2024-06-26,99.54988617483879,0.0,0.0,0.4501138251612117,0.0
2024-07-10,99.54268670517492,0.0,0.0,0.45731329482509425,0.0
2024-07-22,98.45821446173682,0.0,0.0,1.5417855382631864,0.0
2024-08-30,98.42523934860439,0.0,0.0,1.5747606513955996,0.0
2024-09-17,91.65935325295077,0.0,5.9143133739788825,1.4665094419926628,0.9598239310776944
2024-10-09,91.65996364216245,0.0,5.914352759300183,1.465853275682378,0.9598303228549857
2024-12-04,91.6558345176655,0.0,5.918591156691988,1.465787241500942,0.9597870841415763
2025-02-19,91.58569932374108,0.0,5.990582404042809,1.4646656187152722,0.9590526535008359
2025-03-03,91.58982213128807,0.0,5.986350490772345,1.4647315518741741,0.9590958260654067
2025-04-07,91.59010193813111,0.0,5.9861513247311215,1.4646828202161977,0.9590639169215758
2025-04-09,68.93623697951547,24.738956319354024,4.503412053891168,1.099885990070424,0.7215086571689199
2025-04-10,68.935459458601,24.739575531389846,4.503524773559291,1.0999135200371006,0.7215267164127579
2025-04-24,68.93297113009497,24.74155721822471,4.503885514419332,1.1000016251923157,0.7215845120686738
2025-05-02,68.92434461371201,24.7384609720426,4.515836236731366,1.0998639670893,0.7214942104247289
