date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,THE BANK OF EAST ASIA LTD,VALUABLE CAPITAL LTD,LUEN FAT SECURITIES CO LTD,TAI TAK SECURITIES (ASIA) LTD,HANG SENG SECURITIES LTD
2024-03-01,84.03996759384283,0.0,0.0,15.96003240615717,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,84.06266882766073,0.0,0.0,15.937331172339276,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,79.59079283887468,0.0,0.0,15.089514066496163,0.0,0.0,0.0,0.0,0.0,5.319693094629156
2024-03-07,79.67791411042946,0.0,0.0,15.00511247443763,0.0,0.0,0.0,0.0,0.0,5.316973415132924
2024-03-12,79.61685823754789,0.0,0.0,15.070242656449553,0.0,0.0,0.0,0.0,0.0,5.312899106002554
2024-03-18,79.59652706843718,0.0,0.0,15.091930541368745,0.0,0.0,0.0,0.0,0.0,5.3115423901940755
2024-03-22,79.57620628031657,0.0,0.0,15.088077610416134,0.0,0.0,0.0,0.0,0.0,5.335716109267297
2024-03-27,78.93536121673004,0.0,0.0,15.133079847908744,0.0,0.0,0.6337135614702154,0.0,0.0,5.297845373891001
2024-03-28,78.88466413181241,0.0,0.0,15.183776932826362,0.0,0.0,0.6337135614702154,0.0,0.0,5.297845373891001
2024-04-02,43.7007874015748,44.58661417322835,0.0,8.42238470191226,0.0,0.0,0.3515185601799775,0.0,0.0,2.938695163104612
2024-04-05,43.73153229210637,44.61798227100042,0.0,8.357956943858168,0.0,0.0,0.3517658646404953,0.0,0.0,2.9407626283945403
2024-04-08,43.306087936865836,44.68714768883878,0.0,8.38500563697858,0.0,0.0,0.3523111612175874,0.0,0.0,3.269447576099211
2024-04-09,43.221533258173615,44.68714768883878,0.0,8.469560315670801,0.0,0.0,0.3523111612175874,0.0,0.0,3.269447576099211
2024-04-16,43.221533258173615,44.96899661781285,0.0,8.455467869222097,0.0,0.0,0.3523111612175874,0.0,0.0,3.001691093573845
2024-04-17,43.1850183047029,44.93100535060546,0.0,8.448324415657561,0.0,0.0,0.29569135454801465,0.0,0.14080540692762603,2.9991551675584343
2024-04-18,43.207440811724915,44.96899661781285,0.0,8.455467869222097,0.0,0.0,0.2254791431792559,0.0,0.14092446448703494,3.001691093573845
2024-04-19,43.23181049069374,44.64184997179921,0.0,8.460236886632826,0.0,0.1551043429216018,0.2256063169768754,0.0,0.2820078962210942,3.003384094754653
2024-04-23,43.23181049069374,44.64184997179921,0.0,8.403835307388608,0.0,0.21150592216582065,0.2256063169768754,0.0,0.2820078962210942,3.003384094754653
2024-04-29,43.207786711807024,44.66074199463958,0.0,8.407391733671886,0.0,0.21159542953872196,0.2257017915079701,0.0,0.28212723938496265,3.004655099449852
2024-04-30,43.24438797119864,44.698574050543556,0.0,8.329803755470845,0.0,0.21177467174925876,0.2258929831992094,0.0,0.2823662289990117,3.007200338839475
2024-05-02,43.24858757062147,44.717514124293785,0.0,8.290960451977401,0.0,0.211864406779661,0.211864406779661,0.0,0.3531073446327684,2.9661016949152543
2024-05-03,43.70615486432826,43.891462607544675,0.0,7.796161482461946,0.0,0.9000661813368629,0.5956320317670417,0.0,0.3309066843150232,2.7796161482461947
2024-05-06,41.26170307623718,39.74587605884975,6.5983058403923325,6.564868479714668,0.0,1.8724921979491753,0.9473918858671422,0.0,0.6687472135532769,2.3406152474364688
2024-05-07,44.80697132434897,36.133346843651836,5.998581416556895,6.099908805350086,0.0,3.2222109636234677,0.9524774546559935,0.0,0.8612828047421217,1.9252203870706253
2024-05-08,42.82726494913965,37.71271033368191,5.627911398421903,6.1792946097537795,0.0,3.812149443863485,1.2358589219507559,0.0,0.9981937446525335,1.6066165985359826
2024-05-09,39.85667521896842,36.176236397416616,5.237547553746793,6.706184198885251,4.804034327169778,3.547730690967,1.185525966557551,0.0,0.9289569140936035,1.5571087321949924
2024-05-10,39.20240137221269,35.06861063464837,5.085763293310463,6.509433962264151,5.343053173241852,3.4476843910806174,1.1320754716981132,1.6295025728987993,1.072041166380789,1.509433962264151
2024-05-13,38.7452310300975,34.667231877914375,5.027554048325562,6.460364561254769,5.281899109792285,3.4082238236540907,1.1360746078846968,2.721492157693938,1.05977108944468,1.4921576939381094
2024-05-16,37.765473927774565,33.7905958185274,4.900421452772498,6.346582927030823,7.627468804231055,3.322039500867697,1.1073465002892322,2.6526733327824146,1.0329724816130899,1.4544252541112306
2024-05-20,37.77483881633328,33.69978508844437,4.901636634154405,6.348156720119028,7.629360224830551,3.3228632831873037,1.1406844106463878,2.65333112911225,1.0332286328318732,1.4961150603405522
2024-05-21,37.771716670799236,33.53169683444913,4.901231506736094,6.388957765104554,7.628729647078271,3.3225886436895613,1.1901810066947682,2.6531118274237544,1.0331432349780973,1.5786428630465328
2024-05-23,37.765473927774565,33.52615486323444,4.900421452772498,6.404429386001157,7.627468804231055,3.322039500867697,1.1899842988182796,2.6526733327824146,1.0329724816130899,1.5783819519048015
2024-05-28,37.75721014792166,33.52615486323444,4.900421452772498,6.3961656061482515,7.627468804231055,3.322039500867697,1.1899842988182796,2.6526733327824146,1.0329724816130899,1.5949095116106107
2024-05-31,37.79651210843871,33.44078022977106,4.901231506736094,6.397222910984379,7.628729647078271,3.3225886436895613,1.1901810066947682,2.6531118274237544,1.0331432349780973,1.6364988842053063
2024-06-04,37.79338842975207,33.438016528925615,4.900826446280992,6.3966942148760335,7.62809917355372,3.322314049586777,1.1900826446280992,2.652892561983471,1.0330578512396695,1.6446280991735538
2024-06-05,37.78089887640449,33.42696629213483,4.899206873760741,6.427627230667548,7.6255783212161266,3.3212161269001985,1.1896893588896233,2.6520158625247854,1.0327164573694647,1.6440846001321878
2024-06-12,37.767495662232506,33.42972816657027,4.89961166652896,6.436420722135009,7.626208378088077,3.321490539535652,1.1897876559530693,2.652234983062051,1.0328017846814839,1.6442204412129224
2024-06-13,37.75923324795505,33.42972816657027,4.89961166652896,6.469470379244815,7.626208378088077,3.329752953813104,1.156737998843262,2.652234983062051,1.0328017846814839,1.6442204412129224
2024-06-14,37.75611368142763,33.42696629213483,4.899206873760741,6.477197620621282,7.6255783212161266,3.329477858559154,1.1566424322538005,2.6520158625247854,1.0327164573694647,1.6440846001321878
2024-06-17,37.75299463031805,33.424204874019,4.89880214787278,6.484923585295332,7.624948368442793,3.3292028087567123,1.1565468814539448,2.65179677819083,1.0326311441553075,1.64394878149525
2024-06-18,37.74473358116481,33.424204874019,4.89880214787278,6.493184634448575,7.624948368442793,3.3292028087567123,1.1565468814539448,2.65179677819083,1.0326311441553075,1.64394878149525
2024-06-19,37.73538156590684,33.415923356458535,4.897588371324744,6.5163528245787905,7.6230591344565575,3.328377931945821,1.1562603237528906,2.651139742319128,1.0323752890650808,1.643541460191609
2024-06-21,37.34710743801653,33.438016528925615,4.900826446280992,6.545454545454546,7.62809917355372,3.3305785123966944,1.1570247933884297,2.652892561983471,1.0330578512396695,1.9669421487603305
2024-06-26,37.33476536682089,33.42696629213483,4.899206873760741,6.55981493721084,7.6255783212161266,3.329477858559154,1.173165895571712,2.6520158625247854,1.0327164573694647,1.9662921348314606
2024-07-19,37.34093538258139,33.43249049743844,4.900016526194017,6.544372830937036,7.626838539084449,3.3300280945298297,1.1733597752437614,2.6524541398116015,1.0328871260948602,1.9666170880846143
2024-07-26,37.371816076744956,33.369169698974524,4.904068805822031,6.5580549123387355,7.6331458815745945,3.3327820046311607,1.1743301356268607,2.654647700959312,1.0337413165729408,1.9682434667548794
2024-07-29,37.38109024733229,33.37745057490281,4.905285797005543,6.534866407477873,7.635040119116552,3.3336090660931426,1.1746215567871618,2.6553064769625276,1.0339978492844735,1.9687319050376375
2024-07-30,37.387275585339616,33.38297344254158,4.906097460081079,6.535947712418301,7.636303466534293,3.334160668486804,1.1582692148589393,2.655745842640854,1.0341689418383386,1.969057665260197
2024-08-21,37.387275585339616,33.38297344254158,4.906097460081079,6.560767767022421,7.636303466534293,3.334160668486804,1.1582692148589393,2.655745842640854,1.0341689418383386,1.9442376106560768
2024-08-26,37.3285973897241,33.33057987774657,4.898397488848505,6.732198909631587,7.6243185197422765,3.328927804394515,1.1564513464397819,2.651577730051214,1.0325458450355196,1.9164050883859245
2024-08-28,37.3285973897241,33.33057987774657,4.898397488848505,6.75698000991244,7.6243185197422765,3.328927804394515,1.1564513464397819,2.651577730051214,1.0325458450355196,1.891623988105072
2024-08-29,37.3285973897241,33.33057987774657,4.898397488848505,6.75698000991244,7.6243185197422765,3.328927804394515,1.1564513464397819,2.651577730051214,0.8673385098298365,2.056831323310755
2024-09-12,37.3285973897241,33.33057987774657,4.898397488848505,6.781761110193292,7.6243185197422765,3.328927804394515,1.1564513464397819,2.651577730051214,0.8673385098298365,2.0320502230299025
2024-09-20,37.310105680317044,33.31406869220608,4.895970937912813,6.827939233817701,7.620541611624835,3.3272787318361954,1.1558784676354028,2.6502642007926025,0.8669088507265521,2.031043593130779
2024-09-27,37.307025509782875,33.311318418228346,4.895566746470734,6.827375546933047,7.619912490712458,3.327004045240651,1.180549822504747,2.650045405762404,0.8668372822587302,2.014364732106002
2024-10-02,37.27932684375516,33.33608315459495,4.891932024418413,6.822306550074245,7.614255073420227,3.3245339052961556,1.17967332123412,2.648077874938129,0.8661936974096683,2.037617554858934
2024-10-07,37.28757630754001,33.33608315459495,4.891932024418413,6.822306550074245,7.614255073420227,3.3245339052961556,1.171423857449266,2.648077874938129,0.8661936974096683,2.037617554858934
2024-10-10,37.28757630754001,33.30308529945554,4.891932024418413,6.822306550074245,7.614255073420227,3.3245339052961556,1.171423857449266,2.648077874938129,0.8661936974096683,2.07061540999835
2024-10-14,37.28757630754001,33.30308529945554,4.891932024418413,6.855304405213661,7.614255073420227,3.3245339052961556,1.1384260023098498,2.648077874938129,0.8661936974096683,2.07061540999835
2024-10-21,37.29372937293729,33.3003300330033,4.8927392739273925,6.8481848184818475,7.615511551155116,3.3250825082508246,1.1386138613861385,2.6485148514851486,0.8663366336633664,2.070957095709571
2024-10-23,37.29372937293729,33.29207920792079,4.8927392739273925,6.856435643564357,7.615511551155116,3.3250825082508246,1.1386138613861385,2.6485148514851486,0.8663366336633664,2.070957095709571
2024-10-24,36.253993610223645,32.46805111821086,6.333865814696487,7.044728434504792,7.372204472843451,3.218849840255591,1.1022364217252396,2.5638977635782747,1.6373801916932909,2.0047923322683703
