date,ORIENT SECURITIES (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,68.71609822585837,0.0,31.283901774141615,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,68.71159871181517,0.0,31.288401288184826,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,68.69020833252375,0.0,31.309791667476254,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,48.50513633123676,0.0,22.14516294536469,29.34970072339855,0.0,0.0,0.0
2024-03-14,0.0,0.0,48.51685284959834,0.0,22.138674053730117,29.344473096671546,0.0,0.0,0.0
2024-03-15,0.0,0.0,48.48022437812951,0.0,22.150783858886662,29.36899176298382,0.0,0.0,0.0
2024-03-19,0.0,0.0,48.472352437134205,0.0,22.15416837796564,29.373479184900148,0.0,0.0,0.0
2024-03-20,0.0,0.0,48.48022437812951,0.0,22.150783858886662,29.36899176298382,0.0,0.0,0.0
2024-03-22,0.0,0.0,48.4750152594316,0.0,22.152978142135467,29.372006598432932,0.0,0.0,0.0
2024-03-25,0.0,0.0,48.47370316898077,0.0,22.153542270610696,29.372754560408538,0.0,0.0,0.0
2024-03-26,0.0,0.0,48.472391011703124,0.0,22.154106427817865,29.373502560479015,0.0,0.0,0.0
2024-03-28,0.0,0.0,48.45130849322439,0.0,22.161718427486242,29.38697307928937,0.0,0.0,0.0
2024-04-03,0.0,0.0,31.52707162005125,34.90929303314648,14.427562706804734,19.136072639997533,0.0,0.0,0.0
2024-04-05,0.0,0.0,31.513618248589747,34.91276831133177,14.427339800281278,19.14627363979721,0.0,0.0,0.0
2024-04-08,0.0,0.0,31.46168043912654,34.932474631726315,14.433823102111157,19.17202182703599,0.0,0.0,0.0
2024-04-09,0.0,0.0,31.388090074129916,34.95220321093343,14.438652658510637,19.221054056426016,0.0,0.0,0.0
2024-04-10,0.0,0.0,31.385810616767994,34.95336440957971,14.439132346266511,19.22169262738578,0.0,0.0,0.0
2024-04-15,0.0,0.0,31.419891275561007,34.937694734955656,14.429338491643815,19.213075497839526,0.0,0.0,0.0
