date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,TOTAL_CCASS_PCT
2024-03-01,31.526381628914802,0.0,7.685447772863334,0.0,3.061251842916499,6.93227002635929,6.1261370236340085,0.0,1.2641280212661394,0.0,56.59561631595407
2024-03-04,31.499128803109507,0.0,7.675172117231828,0.0,3.168922843229236,6.928472501451995,6.13015793235938,0.0,1.2645731135236564,0.0,56.6664273109056
2024-03-05,31.506053701469867,0.0,7.672714895232989,0.0,3.1876870839476386,6.926462047089308,6.130381316177456,0.0,1.2853478086047447,0.0,56.708646852522
2024-03-06,31.496448197292587,0.0,7.688351762498325,0.0,3.263414198275477,6.926015279453157,6.094863289103338,0.0,1.2882517982397357,0.0,56.75734452486262
2024-03-07,31.47209936112228,0.0,7.679863177411428,0.0,3.323727829156056,6.925345127998927,6.092182683286422,3.9668498413974893,1.2927194746012598,0.0,60.75278749497386
2024-03-08,31.49064021802261,0.0,7.694829893222535,0.0,3.3192601527945316,6.9233346736362416,6.0890553098333555,3.9668498413974893,1.2954000804181747,0.0,60.779370169324935
2024-03-11,31.554304606174327,0.0,7.675395501049905,0.0,3.3409283831479244,6.9233346736362416,6.079003038019925,3.96617968994326,1.2974105347808604,0.0,60.836556426752445
2024-03-12,31.594960461064204,0.0,7.658865098512265,0.0,3.3672876736809187,6.918643613456641,6.0725249072957155,3.955457266675602,1.300091140597775,0.0,60.86783016128312
2024-03-13,31.567707635258902,0.0,7.664002926328017,0.0,3.403922619845418,6.90747442255283,6.0725249072957155,3.955457266675602,1.2983040700531654,0.6752892820444086,61.544683130054054
2024-03-14,31.654827324308627,0.0,7.688429946834652,0.0,3.369074744225528,6.899432605102087,6.072301523477639,3.955457266675602,1.2983040700531654,0.6752892820444086,61.61311676272171
2024-03-15,31.629361569047937,0.0,7.708757874279587,0.0,3.387392217307778,6.870392708752178,6.071184604387258,3.955457266675602,1.2983040700531654,0.6752892820444086,61.596139592547914
2024-03-18,31.598981369789573,0.0,7.837650337309565,0.0,3.4588750390921676,6.82772639949962,6.071184604387258,3.95501049903945,1.1647205468435868,0.6752892820444086,61.58943807800563
2024-03-19,31.686771210293525,0.0,7.794760644238931,0.0,3.5122637716123846,6.8165572085958095,6.055489880713042,3.95501049903945,1.1667310012062726,0.6752892820444086,61.66287349774382
2024-03-20,31.661975606487065,0.0,7.7013303623285525,0.0,3.464459634544074,6.808515391145066,6.011148192824912,3.9489791359513915,1.159806437921637,0.6752892820444086,61.43150404324711
