date,CAITONG INTERNATIONAL SECURITIES CO LTD,CCB INTERNATIONAL SECURITIES LTD,PRIME CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,RICHES DEPOT SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,HUNG SING SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,52.23246477133775,0.0,0.0,19.208505558186253,0.0,0.0,28.559029670475994
2024-03-05,0.0,0.0,0.0,52.452684312799946,0.0,0.0,19.357332109663837,0.0,0.0,28.18998357753622
2024-03-06,0.0,0.0,0.0,52.940801743338326,0.0,0.0,18.606510204768377,0.0,0.0,28.4526880518933
2024-03-07,0.0,0.0,0.0,26.059120829949162,50.41690868272977,0.0,9.398162612147317,0.0,0.0,14.125807875173745
2024-03-08,0.0,0.0,0.0,26.062906725324243,50.41886660312963,0.0,9.398527586017796,0.0,0.0,14.119699085528334
2024-03-11,0.0,0.0,0.0,20.460661565960624,39.9784138193757,20.846000804571396,7.452333827419171,0.0,0.0,11.262589982673108
2024-03-12,0.0,0.0,0.0,20.434401759166633,39.95029524911889,20.831338898752794,7.447092274483873,0.0,0.0,11.336871818477809
2024-03-13,0.0,0.0,0.0,20.35090077757444,39.979410411177504,20.847986826353708,7.452519601042663,0.0,0.0,11.369182383851681
2024-03-14,0.0,0.0,0.0,20.33581197193803,39.949768403693625,20.832529465297732,7.520404608786861,0.0,0.0,11.361485550283756
2024-03-15,0.0,0.0,0.0,20.362463820704342,39.97706556837216,20.846764065652312,7.525543204860331,0.0,0.0,11.288163340410856
2024-03-18,0.0,0.0,0.0,20.34806756008646,39.947075855183186,20.83112538716607,7.593156823015537,0.0,0.0,11.280574374548742
2024-03-19,0.0,0.0,0.0,35.00645366637915,25.292703405906273,20.829019624804776,7.59238925124281,0.0,0.0,11.279434051666987
2024-03-20,0.0,0.0,0.0,35.028006890843564,25.308275943445064,20.750222938912195,7.597063831287759,0.0,0.0,11.316430395511412
2024-03-21,0.0,0.0,0.0,35.02816093791126,25.308387244830545,20.75031419477519,7.600762096570768,0.0,0.0,11.312375525912241
2024-03-22,0.0,0.0,0.0,35.02709276832502,25.30337965147079,20.746208475411514,7.599258186999778,0.0,0.0,11.324060917792893
2024-03-25,0.0,0.0,25.901820228038485,26.04615395105565,18.81536253128666,15.312584764254456,5.541754604766471,0.0,0.0,8.382323920598274
2024-03-26,0.0,0.0,25.89880007955532,26.054014155992828,18.81316866274349,15.311235206399527,5.541108436983035,0.0,0.0,8.381673458325803
2024-03-27,0.0,0.0,25.885965253322468,26.041102409373945,18.803845306065426,15.313776681797265,5.538362396096678,0.0,0.0,8.416947953344216
2024-03-28,0.0,0.0,25.94018368802176,26.00963876968676,18.84323016379993,15.295644414675055,5.448020236187923,0.0,0.0,8.463282727628568
2024-04-02,0.0,0.0,23.95682104322492,23.80647939204872,17.49610200647849,13.777664791323986,5.0562641560607355,0.0,7.983144661769156,7.923523949093996
2024-04-03,0.0,53.636888511666925,11.152224105685974,11.101043286051288,8.144672041425585,6.2985540888556475,2.3470364507790493,0.0,3.7162617767827024,3.603319738752827
2024-04-05,0.0,53.86680848446935,11.212555725333045,10.674441726302101,8.19218680479732,6.183175329326696,2.5038203623661244,0.0,3.7365232542249953,3.6304883131803667
2024-04-08,0.0,53.809200908815704,11.198411612273874,10.61686570426626,8.18185274544392,6.1643242511968825,2.6098996863859725,0.0,3.7318098054225444,3.6876352861948507
2024-04-09,0.0,53.696292812594095,11.176817028506655,10.620809348059886,8.16607517710656,6.209236898458849,2.6516735736792616,0.0,3.775521135244587,3.703574026350108
