date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-12,0.0,79.47339872305909,0.0,0.0,0.0,20.526601276940916,0.0,0.0
2024-03-13,0.0,69.14989889542713,0.0,0.0,0.0,18.102697998259355,12.747403106313515,0.0
2024-03-14,0.0,61.98875126635588,0.0,0.0,0.0,16.243512958556682,11.380706364578522,10.38702941050891
2024-03-15,0.0,62.00800624347211,0.0,0.0,0.0,16.217496476398665,11.384241445317201,10.390255834812017
2024-03-18,0.0,61.99837725989852,0.0,0.0,0.0,16.277092577711006,11.335887790239491,10.388642372150985
2024-03-19,0.0,61.99837725989852,0.0,0.0,0.0,16.292621191122294,11.335887790239491,10.373113758739699
2024-03-28,0.0,61.98875126635588,0.0,0.0,0.0,16.305617768186035,11.334127757356509,10.371503208101572
2024-04-02,0.0,62.00800624347211,0.0,0.0,0.0,16.341744677711816,11.275524269168196,10.374724809647873
2024-04-03,0.0,61.99837725989852,0.0,0.0,0.0,16.35473564476744,11.273773336594342,10.373113758739699
2024-04-08,0.0,61.98811545651337,0.0,0.0,0.0,16.310350590146477,11.317132319506896,10.384401633833251
2024-04-09,0.0,49.32781607489122,0.0,20.609310682884438,0.0,12.867830115448015,8.931525998224828,8.263517128551504
2024-04-10,0.0,49.321714715095446,0.0,20.60676151631626,0.0,12.878607497472085,8.930421257371153,8.262495013745056
2024-04-11,0.0,49.278155344310775,0.0,20.61441090856222,0.0,12.858640946085147,8.98323068404332,8.265562116998538
2024-04-12,0.0,49.205094069788636,0.0,20.5838473632351,0.0,12.938418342604919,9.019332878248273,8.253307346123078
2024-04-16,0.0,49.18686258950378,0.0,20.57622063241619,0.0,12.970676415464277,9.015991033411657,8.250249329204092
2024-04-22,0.0,48.89817028361999,0.0,20.662989249912407,0.0,13.112192217891593,9.041608141168153,8.285040107407855
2024-04-23,0.0,48.78654549175372,0.0,20.538961703394325,0.0,13.347844556275948,9.041608141168153,8.285040107407855
2024-04-26,0.0,48.37725458824405,0.0,20.538961703394325,0.0,13.75713545978562,9.041608141168153,8.285040107407855
2024-04-29,0.0,48.41811366226796,0.0,20.572131346101884,0.0,13.667547649143295,9.043787210122085,8.29842013236477
