date,CITIC SECURITIES BROKERAGE (HK) LTD,SINOMAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CAITONG INTERNATIONAL SECURITIES CO LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING
2024-06-07,0.0,0.0,32.94134416648849,0.0,9.82823747416435,0.0,0.0,35.26477086451429,0.0,21.965647494832872
2024-06-11,0.0,0.0,32.73023981836242,0.0,10.373208457499645,0.0,0.0,35.10713778913013,0.0,21.789413935007804
2024-06-12,0.0,0.0,24.457552138192543,0.0,7.731198651780072,25.721508321044873,0.0,26.06909627132926,0.0,16.020644617653254
2024-06-13,0.0,0.0,24.453573497656294,0.0,7.731605835571707,25.72286301153421,0.0,26.070469268446832,0.0,16.021488386790963
2024-06-14,0.0,0.0,24.403476428759546,0.0,7.732420331840927,25.72557282064788,0.0,26.07321569660258,0.0,16.065314722149065
2024-06-17,0.0,0.0,24.382146809295463,0.0,7.7462191073404645,25.736417768878116,0.0,26.084207198187283,0.0,16.05100911629868
2024-06-18,0.0,0.0,24.11597558408756,0.0,8.119343296148179,25.69985266259735,0.0,26.03662386865923,0.0,16.028204588507684
2024-06-19,0.0,0.0,24.2239966157263,0.0,8.169848236476126,25.826238697054627,0.0,25.67288879488129,0.0,16.107027655861668
2024-06-20,0.0,0.0,24.2284929190446,0.0,8.132530120481928,25.808497146480658,0.0,25.655252589304588,0.0,16.17522722468823
2024-06-21,0.0,0.0,24.106058205250093,0.0,8.128664237046426,25.79622880684519,0.0,25.643057096075633,0.0,16.325991654782655
2024-06-24,0.0,0.0,24.00402095127242,0.0,8.115972699857151,25.839902650653407,0.0,25.686471615258448,0.0,16.353632082958576
2024-06-25,0.0,0.0,23.948869638706952,0.0,8.102683287555463,25.79759137967462,0.0,25.644411578280163,0.0,16.506444115782802
2024-06-26,0.0,0.0,23.851562087011683,0.0,8.061531955384046,25.818047259079137,0.0,25.66474599566527,0.0,16.60411270285986
