date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD
2024-03-01,34.58847098367064,13.305432819041302,20.95199739713872,9.050629792924196,7.396141259387344,8.059147879601463,4.538111963015362,2.1100679052209763,0.0,0.0
2024-03-04,34.58871389401377,13.372119596969794,20.865388407201955,9.056187486157368,7.403140808640335,8.06444816348972,4.539427580405317,2.1105740631217405,0.0,0.0
2024-03-05,33.53442882382239,12.984215870377863,20.22247115392897,8.779316411314543,7.176835165724549,7.817409508435367,4.401435234159823,2.0467306082056993,2.1635080456237703,0.8736491784070253
2024-03-06,33.53931784931141,12.991625555198768,20.223491052468766,8.77729749708463,7.172349607148078,7.809626469438621,4.403573241062435,2.0462599367597556,2.1630105197373344,0.8734482717901997
2024-03-07,33.555140626798504,13.000815518451434,20.264935301046645,8.78327648567999,7.138209367969157,7.806575248494389,4.405625198330163,2.047044718633889,2.124459740084329,0.8739177945114983
2024-03-08,33.548098752486965,13.007900812869936,20.273504927467748,8.790099769300683,7.141586382923096,7.800803541947602,4.393277534131915,2.0470189109193586,2.123802591188277,0.8739067767644222
2024-03-11,33.54097048356691,13.004988851394355,20.253688716543003,8.792885488819621,7.181048992322644,7.800128002474245,4.3869484753385635,2.0470070557186206,2.1184322182420563,0.8739017155799799
2024-03-12,33.55558174269623,13.020542238865987,20.25932302031994,8.789823519939313,7.1485018171009145,7.801957139596592,4.388253094702809,2.0432236483233406,2.118757766695916,0.8740360117589571
2024-03-13,33.56047722028717,13.002670263610783,20.262706712921787,8.790527819053825,7.151911735131537,7.802897538748678,4.387028438416139,2.0487466908349985,2.118927535658349,0.8741060453367347
2024-03-14,33.5506959422446,13.00674589062053,20.259239900095984,8.792255356748342,7.153191779650844,7.814927159007266,4.385341846324604,2.0475813600392736,2.1190265614674737,0.8709942038010796
2024-03-15,33.54700646978153,13.01347107749672,20.27769922297726,8.786492293696076,7.145984766874508,7.810574923001214,4.383253249347638,2.0469212820753095,2.1180173374148263,0.8705793773349199
2024-03-18,33.540829398270155,12.9948880082153,20.331364853932104,8.784514354319882,7.148888952990363,7.811022838589735,4.38273602813098,2.01686687552213,2.118224260182706,0.8706644298466414
2024-03-19,33.52770449954611,13.033291701947306,20.29717714165497,8.78354572593357,7.146231403911604,7.813768976941772,4.38461484288387,2.0267766114682404,2.1161644811750415,0.870724614537514
2024-03-20,33.512406078214326,13.054424323535283,20.2628600188007,8.781436478792411,7.177175973472881,7.811892293191254,4.388918568999781,2.0262899090695856,2.1156563135145756,0.8689400424092022
2024-03-21,33.52010723390237,13.03149538852221,20.315297807340738,8.77493993261136,7.151447366423858,7.809544970500607,4.389765667708509,2.025517647908851,2.1148499929613926,0.8670339921201045
2024-03-22,33.63187609316542,13.05321026102395,20.221091433961323,8.773982596563785,7.114726870441846,7.807958733990171,4.389759459528431,2.0255147833417504,2.114847002056959,0.8670327659263701
2024-03-25,33.68014270151209,13.063923867911459,20.139322603649255,8.789751817202932,7.112650467233047,7.816586995119132,4.38913848729005,2.0259550902830963,2.115306728059726,0.8672212417392112
2024-03-26,33.695549444899534,13.113437280277202,20.175122583232987,8.77579601189938,7.045674209402788,7.8017307848255415,4.3876740074231755,2.024552517844497,2.113842297317806,0.866620862877081
2024-03-27,33.93202324585407,13.272286443458704,20.04755448011201,8.750363077481873,6.786895619193584,7.794481737594033,4.390549275287991,2.0422828410799494,2.1149240088839147,0.8686392710538747
2024-03-28,33.97007301831119,13.284438688631104,20.117429355495755,8.751458254178882,6.7226562332462505,7.721518896857389,4.3925097607370756,2.0429895973958545,2.1127769867344743,0.8841492084120217
