date,GREAT BAY SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,0.0,71.17471609516228,0.0,0.0,0.0,28.82528390483772,0.0,0.0,0.0,0.0
2024-03-11,0.0,49.02075737540334,0.0,31.098403570671284,0.0,19.880839053925374,0.0,0.0,0.0,0.0
2024-03-12,0.0,46.464731210366104,0.0,29.47687959851399,0.0,18.85737447340832,5.201014717711587,0.0,0.0,0.0
2024-03-18,0.0,46.49992458787651,0.0,29.457501887801158,0.0,18.84497788488449,5.197595639437845,0.0,0.0,0.0
2024-03-19,0.0,46.50603907885347,0.0,29.44822592720505,0.0,18.84745589852127,5.1982790954202125,0.0,0.0,0.0
2024-03-20,0.0,46.52713326539625,0.0,29.436613656205374,0.0,18.840023811913095,5.196229266485281,0.0,0.0,0.0
2024-03-21,0.0,46.59732722884685,0.0,29.39797214118527,0.0,18.81529246639864,5.189408163569237,0.0,0.0,0.0
2024-03-22,0.0,46.83361367078792,0.0,28.741620913571204,0.0,19.235357252071644,5.189408163569237,0.0,0.0,0.0
2024-03-25,0.0,47.004264989967574,0.0,28.58409661894383,0.0,19.235357252071644,5.176281139016956,0.0,0.0,0.0
2024-03-26,0.0,40.474015034668554,0.0,24.61294005032264,0.0,16.563010586033748,4.468449492363351,13.881584836611708,0.0,0.0
2024-04-02,0.0,40.47515879199806,0.0,24.613635588696063,0.0,16.57478226216103,4.468575766513668,13.867847590631177,0.0,0.0
2024-04-03,0.0,40.562114711367045,0.0,24.461445198796262,0.0,16.605753611498727,4.47692566933095,13.893760809007016,0.0,0.0
2024-04-05,0.0,40.55752167631649,0.0,24.458675316703463,0.0,16.615196726075034,4.476418726419707,13.892187554485307,0.0,0.0
2024-04-12,0.0,40.55292968132919,0.0,24.455906061832646,0.0,16.62463770231877,4.475911898302427,13.890614656216968,0.0,0.0
