date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UOB KAY HIAN (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,17.444479735261822,11.086873754826476,0.0,0.0,0.0,8.439376078772701,3.4235860563804383,0.0,0.5485525955874524,40.94286822082889
2024-03-04,17.817747069269384,10.94082487337963,0.20773008439946913,0.0,0.0,8.41174348934517,3.3802830374507113,0.8152335438609043,0.525011064854385,42.098573162559646
2024-03-05,17.774396201699954,11.055061969510147,0.20773008439946913,0.0,0.0,8.405140377066383,3.403058989948557,0.8106400744495743,0.5132402994878513,42.169267996561935
2024-03-06,17.75343849751076,11.21561138121849,0.20658171704663655,0.0,0.0,8.421887400961857,3.3884173061999414,0.7675762987183533,0.5141015750024758,42.26761417665851
2024-03-07,17.743596797902423,11.35755494507624,0.20198824763530634,0.0,0.0,8.404661890669368,3.389278581714566,0.769011757909394,0.5080726464001049,42.37416486730741
2024-03-08,17.82366460623853,11.58443903134272,0.18935620675414822,0.0,0.0,8.396049135523125,3.362866132599417,0.7349435264420282,0.46931524824200604,42.560633887141975
2024-03-11,17.82902365388508,11.767989188458227,0.184762737342818,0.0,0.0,8.397953511383239,3.3544447720119788,0.7360918937948607,0.43802223787731887,42.708287994753526
2024-03-12,17.900476027551115,11.949398214644377,0.1683985025649541,0.0,0.0,8.259192456249306,3.453907739359188,0.877053986355057,0.4084517785418806,43.016878705265874
2024-03-13,17.890677965902192,11.969174057432948,0.1626566658007913,0.0,0.0,8.317553442093049,3.3808955000388883,0.8869108061335365,0.3915133600876004,42.99938179748901
2024-03-14,17.865839545638657,12.13981302470328,0.1052382981591635,0.0,0.0,8.414399088848594,2.6473176694712164,0.9167683573071829,0.429983666407491,42.519359650535584
2024-03-15,17.90292224140721,12.274239184474828,0.10983176757049372,0.0,0.0,8.382460121847938,2.50176210749969,0.9457646329662049,0.4365867786862782,42.553566834452646
2024-03-18,17.891028026550245,12.449010168875208,0.10983176757049372,0.0,0.0,8.343607026410439,2.4681723624293377,0.9285391226737166,0.42653856434899334,42.61672703885843
2024-03-19,17.947629522214893,12.328113499071055,0.10983176757049372,0.0,0.0,8.374230155819305,2.4176441989047053,0.9908189121090023,0.37465149945684234,42.5429195551463
2024-03-20,17.83430796195642,12.589041892485053,0.10983176757049372,0.0,0.0,8.262455733476937,2.3124030298271596,1.0396245246043858,0.39647047916066086,42.544135389081106
2024-03-21,17.84601173922737,12.610201422236505,7.28712772277397,0.0,0.0,8.26041738142566,2.348921111647235,1.0393374327661777,0.3694838463690958,49.76150065644602
2024-03-22,17.857782504593906,12.585404534592234,7.28712772277397,0.0,0.0,8.273910697821442,2.4043901257074296,1.0401987082808022,0.3313006318874134,49.780114925657195
