date,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,FB SECURITIES (HONG KONG) LTD,QUAM SECURITIES LTD
2024-03-01,0.0,0.0,0.0,55.24282485705735,0.0,21.163241731422904,11.78156283969899,11.812370571820763,0.0,0.0
2024-03-04,0.0,0.0,0.0,55.28233308661754,0.0,21.17837713072094,11.730006374853007,11.809283407808511,0.0,0.0
2024-03-05,0.0,0.0,0.0,55.28360848651916,0.0,21.177712196863784,11.729123460848138,11.809555855768924,0.0,0.0
2024-03-06,0.0,47.46240945075043,0.0,29.070937691947357,0.0,11.079648694864892,6.175382751017736,6.211621411419586,0.0,0.0
2024-03-07,0.0,47.45730893219191,0.0,29.086913930006116,0.0,11.072796039260675,6.175201514913242,6.207779583628064,0.0,0.0
2024-03-08,0.0,47.35210376922214,0.0,29.028089083784813,0.0,11.050869886421884,6.384920172928549,6.184017087642612,0.0,0.0
2024-03-11,71.48490195617758,10.356923491181062,6.540134123421031,6.371953492782878,0.0,2.4521031948089544,1.4026401202937446,1.3913436213347523,0.0,0.0
2024-03-12,69.08705207979762,10.020399220832358,6.320755494225075,6.158216221319111,0.0,2.384574755007029,1.3450922081129584,1.3446731631103737,0.0,3.339236857595481
2024-03-13,69.06848199588237,10.027945527963865,6.315472621851479,6.173072480246453,0.0,2.376510005267758,1.3518984583205718,1.3482796148144083,0.0,3.3383392956530957
2024-03-14,69.07058532375964,10.02625657981688,6.315618129652494,6.173214707163721,0.0,2.372980776750118,1.356665583514456,1.355222646338972,0.0,3.3294562530037055
2024-03-15,69.05900556447423,10.01817677015033,6.314559309355299,6.178578657725053,0.0,2.372582943923671,1.3692359305809028,1.3590907357098927,0.0,3.3287700880806224
2024-03-18,69.06704910757023,10.019343622118953,6.31529478808862,6.179298298317894,0.0,2.370555415783817,1.366451574909996,1.3528493916746633,0.0,3.329157801535823
2024-03-19,69.05379152108969,10.017420384970922,6.314082552038506,6.197307408053245,0.0,2.3707402233247272,1.3661892812379783,1.3519498676101034,0.0,3.3285187616748257
