date,KGI ASIA LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,44.82831457445565,0.0,0.0,0.0,29.955032265407766,11.775086123457479,5.926203972147862,0.0,3.68646147817603,3.8289015863552134
2024-03-04,42.47281776187241,0.0,0.0,5.273303986008079,28.377648122033357,11.145194596855584,5.609190098293124,0.0,3.4892594514646063,3.6325859834728447
2024-03-05,42.47324279687643,0.0,0.0,5.27335675714263,28.376931381110055,11.145306129315161,5.60924623071526,0.0,3.489294369265757,3.6326223355747165
2024-03-06,35.87513785562067,0.0,15.532593206857422,4.454312279010368,23.969497933229704,9.41424527705158,4.738454892640089,0.0,2.947345963849383,3.0684125917407816
2024-03-07,35.8689682964651,0.0,15.528458487565585,4.453126557433383,23.963117340871403,9.434978601575699,4.737193533342438,0.0,2.946561391173452,3.067595791572939
2024-03-08,35.86815536019765,0.0,15.528655329043833,4.453183006050939,23.963421101572738,9.435098201028321,4.737253582843076,0.0,2.9465987423052757,3.067634676958167
2024-03-11,35.83846742493003,0.0,15.519110112798753,4.521003039813171,23.942176434023317,9.42673355544089,4.733053791125599,0.0,2.9439864479080575,3.0754691939601786
2024-03-12,35.840705270830924,0.0,15.519896346919962,4.523343014311608,23.935790052239017,9.427211135631955,4.733293578610902,0.0,2.9441355970912837,3.0756250043643476
2024-03-13,35.77064261267615,0.0,15.504937943124848,4.599585478062517,23.939157726263925,9.411288122213298,4.724875622473427,0.0,2.949435459367232,3.1000770358186087
2024-03-14,34.776384282245346,1.7580711125083879,15.086264056192968,4.574168590232644,23.314322323695507,9.247211513225077,4.593545945264081,0.7453140246366513,2.8674548025672704,3.037263349432072
2024-03-15,34.785612642673705,1.7584962034945881,15.089911823806066,4.554783582556931,23.31995958614676,9.249037612887353,4.594656636954615,0.7454942370703279,2.8681481358353254,3.03389953857433
2024-03-18,34.78616502371365,1.7585034101982016,15.08997366557851,4.554802249060296,23.32005515646228,9.249075517474607,4.594675466866514,0.7454972922694243,2.8681598901362406,3.033092328240276
2024-03-19,34.809041777732375,1.759556223177958,15.099008006966288,4.575982230766057,23.334016833542332,9.225908210744322,4.549858482077258,0.7459436202214332,2.8698770525499384,3.0308075622220363
2024-03-20,34.76707375219482,1.7577822390705828,15.092557463854892,4.711601272838832,23.339872671065372,9.20626803966711,4.544212280234729,0.745017932475428,2.869592111491572,2.9660222371066682
2024-03-21,29.300373326330053,1.4816890385613668,12.721983679773308,3.9715544991103746,35.38184234737986,7.763700485556292,3.8304571378988586,0.6279986676075229,2.418867981614928,2.5015328361674336
2024-03-22,29.279183767345536,1.480997384170279,12.713013930013082,4.035358532416851,35.35708795231085,7.757233760777312,3.8277772138758097,0.6275592974083077,2.4220054868401277,2.4997826748418417
2024-03-26,29.328034908134697,1.4798210212723117,12.686172214024191,4.081530697769605,35.320775931067594,7.729622900006775,3.823501421431122,0.6269147888285957,2.4229644036388103,2.5006617138263
2024-03-27,29.79684783687621,1.466578693494563,12.596557197247362,4.080186322713778,35.02178188517498,7.688802210569475,3.806022366078534,0.6213047785617807,2.420067493080665,2.5018512162026454
2024-03-28,29.780228603239696,1.461939963419565,12.564205113469615,4.151376784153854,34.89092169062723,7.664482834996182,3.8171359842535377,0.6193396162593152,2.412412915857175,2.6379564937238325
2024-04-02,29.739858291291416,1.4630577589079685,12.60772465940175,4.181321455531373,34.885101809804034,7.673416759418308,3.8164992777568942,0.6192363090785054,2.4120105201913016,2.60177315861845
