date,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,54.8162644053055,36.63839965209828,0.0,0.0,0.0,0.0,0.0,8.545335942596216
2024-03-04,54.87168334058287,36.58112222705524,0.0,0.0,0.0,0.0,0.0,8.547194432361897
2024-03-05,54.84221980413493,36.60500544069641,0.0,0.0,0.0,0.0,0.0,8.552774755168661
2024-03-07,54.852045256744994,36.5970409051349,0.0,0.0,0.0,0.0,0.0,8.550913838120104
2024-03-13,54.81481481481482,36.62309368191721,0.0,0.0,0.0,0.0,0.0,8.562091503267974
2024-03-22,41.89256610676867,27.956095127224344,23.615499750540494,0.0,0.0,0.0,0.0,6.53583901546649
2024-04-18,42.15865624480293,27.956095127224344,23.349409612506236,0.0,0.0,0.0,0.0,6.53583901546649
2024-04-22,37.05051681467463,24.472266705488426,20.439656427427575,12.316203231911487,0.0,0.0,0.0,5.721356820497888
2024-04-23,34.61486211112621,22.836571118054614,19.07349544898791,11.493003667979893,0.0,6.6431191414210025,0.0,5.338948512430377
2024-04-29,34.6858461120912,22.81177907450129,19.052788709458543,11.480526530058352,0.0,6.635907178721672,0.0,5.333152395168951
2024-04-30,34.73013289937619,22.79631136425278,19.03986981285598,11.472742066720912,0.0,6.631407648494711,0.0,5.32953620829943
2024-05-13,34.635734635734636,22.873422873422875,19.047619047619047,11.477411477411477,0.0,6.634106634106635,0.0,5.331705331705332
2024-05-16,34.46739570676387,22.76225192385581,19.427568516268394,11.421628189550425,0.0,6.615363845011475,0.0,5.30579181855002
2024-05-17,34.46739570676387,23.39678682327528,18.793033616848927,11.421628189550425,0.0,6.615363845011475,0.0,5.30579181855002
2024-05-20,34.46739570676387,23.707303901714592,18.793033616848927,11.421628189550425,0.0,6.304846766572162,0.0,5.30579181855002
2024-05-21,34.46739570676387,23.720804644255434,18.793033616848927,11.421628189550425,0.0,6.291346024031322,0.0,5.30579181855002
2024-05-27,34.45389496422303,23.734305386796272,18.793033616848927,11.421628189550425,0.0,6.291346024031322,0.0,5.30579181855002
2024-05-30,34.293405114401075,24.024226110363394,18.73485868102288,11.386271870794078,0.0,6.271870794078062,0.0,5.289367429340511
2024-06-17,35.04523682810005,23.74933475252794,18.520489622139436,11.255987227248536,0.0,6.20010643959553,0.0,5.228845130388504
