date,YUANTA SECURITIES (HONG KONG) CO LTD,CITIBANK N.A.,FUBON SECURITIES (HONG KONG) LTD,CATHAY SECURITIES (HONG KONG) LTD,KGI ASIA LTD,DAH SING SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,35.87614231212847,25.71732765504392,0.0,0.0,19.602519740928045,18.804010291899566,0.0,0.0
2024-03-05,0.0,0.0,28.830489582440194,20.71079482122953,19.426105347394895,0.0,15.737803309611593,15.294806939323788,0.0,0.0
2024-03-06,8.036249822785914,0.0,21.99962921360568,15.70934708878153,14.842361255002888,15.588296236518099,12.00475479023305,11.819361593072838,0.0,0.0
2024-03-07,0.8986625329198423,87.66631362897705,2.461320563833119,1.7295106836052339,1.659988744983585,1.743415071329564,1.3421393203379406,1.346652147932679,1.1519973060809838,0.0
2024-03-08,0.9198641775670399,87.6410865611737,2.46427028481308,1.7318174594359315,1.6595110626573983,1.7429133820444416,1.3422408359832947,1.3466304317405076,1.1516658045846078,0.0
2024-03-11,0.9196629233698966,87.64514756594593,2.4645064100011904,1.7268982127770454,1.6595879590379596,1.7429941430190006,1.3427907865485682,1.3466928302435877,1.1517191690568198,0.0
2024-03-12,0.9196438595139895,87.64333075413185,2.464577259148337,1.7173513812509982,1.6478476687181192,1.7429580121841641,1.349835259191178,1.3627605109955379,1.1516952948658241,0.0
2024-03-13,0.9191704534329296,87.63307252443735,2.466483389434695,1.7194668927927586,1.6369256543030257,1.7427540073445145,1.3496772674761282,1.3808893162994245,1.1515604944791755,0.0
2024-03-14,0.9190673632087913,87.6232439740801,2.465597217256639,1.7257351894924593,1.6367420637274483,1.7425585475137901,1.349160168275858,1.3896337542402193,1.148261722204698,0.0
2024-03-15,0.909260794290786,86.69979267707966,2.44069818409124,1.6935555255827324,1.6223875939521188,1.724193923267776,1.3409727049788627,1.3749885638260373,1.1361603238933144,1.0579897090374746
2024-03-18,0.9189939037985438,86.65137496816628,2.4607770647167624,1.6434113730265973,1.661976906436669,1.7232190556075544,1.3650489272872772,1.399286664225331,1.1185196202431713,1.0573915164918049
2024-03-19,0.9188886656471731,86.64084941899493,2.4657991006793356,1.644549136222535,1.664679584492649,1.7230217219940565,1.3685088575485185,1.398041551118446,1.1183915334989398,1.057270429803405
2024-03-20,0.9247396239999048,86.62435131422585,2.466655269699733,1.6461642804919456,1.6643625970857139,1.7293221510197618,1.3722253823619075,1.3977753367849466,1.1181785699740403,1.0562254743562056
2024-03-21,0.9247073051010604,86.62132386349818,2.470063980887702,1.6461067483872518,1.6643044289646352,1.7292617126150287,1.3721774241992275,1.3977264856721099,1.118139490541133,1.0561885601336756
2024-03-22,0.9246805601344865,86.6188185470607,2.469992540142895,1.6458181167413894,1.6673895777428327,1.7292116978195942,1.372137737220287,1.397686059747136,1.1181071510071696,1.0561580123835057
2024-03-25,0.9246794457944527,86.61871416202078,2.4702305851550492,1.6456956225425579,1.6673875683581454,1.729209613932569,1.3721360836459844,1.3976843753843429,1.1181058035671843,1.0561567395989293
2024-03-26,0.9246749884611758,86.618296624377,2.4703391878620673,1.6431569748036141,1.6702717763680301,1.7292012784346944,1.3721294693886286,1.3976776379737672,1.118100413839719,1.0561516484912998
2024-03-27,0.9246694168550088,86.61765419847993,2.471047359912936,1.6431470740020913,1.670261712186944,1.7291908591753582,1.3721212016566051,1.3976692163018887,1.1180936767534577,1.0561452846757848
