date,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,MERRILL LYNCH FAR EAST LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-04,63.047005113771114,0.0,26.789224918894977,0.0,0.0,0.0,0.0,0.0,0.0,10.163769967333907
2024-03-06,63.04382905352697,0.0,26.787875383067185,0.0,0.0,0.0,0.0,0.0,0.0,10.168295563405849
2024-03-07,63.035762124181396,0.0,26.781380619916195,0.0,0.0,0.0,0.0,0.0,0.0,10.182857255902412
2024-03-08,56.40866846779199,0.0,23.96387825365785,0.0,0.0,0.0,10.515871055886343,0.0,0.0,9.111582222663824
2024-03-11,56.40866846779199,0.0,23.963892674581686,0.0,0.0,0.0,10.515871055886343,0.0,0.0,9.111567801739985
2024-03-15,56.48324984551918,0.0,23.863360650065275,0.0,0.0,0.0,10.529774737229173,0.0,0.0,9.123614767186378
2024-03-27,56.43231971002945,0.0,23.841843400358993,0.0,0.0,0.0,10.610448754878526,0.0,0.0,9.115388134733044
2024-03-28,56.42288942483056,0.0,23.84700400063507,0.0,0.0,0.0,10.612745401318744,0.0,0.0,9.117361173215627
2024-04-03,56.426451720228,0.0,23.842196032274796,0.0,0.0,0.0,10.613415443822465,0.0,0.0,9.11793680367474
2024-04-10,39.16478179339579,0.0,16.958682384027156,0.0,20.794496786017582,0.0,7.464795319963594,0.0,9.204272101562061,6.4129716150338165
2024-04-11,38.78986692911884,0.0,17.070548063061146,0.0,20.91915878285997,0.0,7.509546404838709,0.0,9.25945126513927,6.4514285549820665
2024-04-12,38.662233304196064,0.0,17.198175944470794,0.0,20.91915878285997,0.0,7.509546404838709,0.0,9.25945126513927,6.4514342984951885
2024-04-16,38.619428177237594,0.0,17.198175944470794,0.0,20.961963909818447,0.0,7.509546404838709,0.0,9.25945126513927,6.4514342984951885
2024-04-18,38.619428177237594,0.0,17.198183602488292,0.0,20.961963909818447,0.0,7.509546404838709,0.0,9.25945126513927,6.451426640477694
2024-04-19,38.64840809793928,0.0,17.13604933001427,0.0,20.977693714233734,0.0,7.515181549365424,0.0,9.266399533823451,6.456267774623847
2024-04-22,38.68027502182282,0.0,17.067725190970847,0.0,20.994990534510258,0.0,7.52137807155588,0.0,9.274039994663923,6.461591186476268
2024-04-24,38.68027502182282,0.0,16.983034690232603,0.0,20.994990534510258,0.0,7.52137807155588,0.0,9.274039994663923,6.54628168721451
2024-04-30,38.68021110446377,0.0,16.983034690232603,0.0,20.995054451869304,0.0,7.52137807155588,0.0,9.274039994663923,6.54628168721451
