date,CELESTIAL SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,1.7584660202967901,2.414222940559434,0.0,0.0,0.0,4.172688960856224
2024-03-04,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.398503637636638,0.0,0.0,0.0,5.5535052781423895
2024-03-05,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.398503637636638,0.0,0.14029477858595518,0.0,5.693800056728344
2024-03-06,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.3827843347138415,0.0,0.11671582420176103,0.0,5.654501799421354
2024-03-07,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.369684915611512,0.0,0.11671582420176103,0.0,5.641402380319024
2024-03-11,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.369684915611512,0.0,0.08527721835616883,0.0,5.609963774473432
2024-03-12,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.369684915611512,0.0,0.08265733453570281,0.0,5.607343890652966
2024-03-13,0.0,0.0,0.0,1.3965356202089612,1.7584660202967901,2.369684915611512,0.0,0.06955791543337274,0.0,5.594244471550636
2024-03-18,0.0,0.0,0.0,1.3965356202089612,1.763705787937722,2.3690299446563956,0.0,0.07217779925383874,0.0,5.601449152056917
2024-03-20,0.0,0.0,0.0,1.3965356202089612,1.763705787937722,2.367392517268604,0.0,0.07217779925383874,0.0,5.5998117246691255
2024-03-21,0.0,0.0,0.0,1.3965356202089612,1.763705787937722,2.3883515878323323,0.0,0.07217779925383874,0.0,5.620770795232854
2024-03-28,0.0,0.0,0.0,1.3926057944782622,1.763705787937722,2.3883515878323323,0.0,0.07217779925383874,0.0,5.616840969502155
2024-04-03,0.0,0.0,0.0,1.3926057944782622,1.763705787937722,2.3883515878323323,0.0,0.09575675363803289,0.0,5.640419923886349
2024-04-05,0.0,0.0,0.0,1.3926057944782622,1.763705787937722,2.3883515878323323,0.0,0.10361640509943094,0.0,5.648279575347747
2024-04-08,0.0,0.0,0.0,1.3926057944782622,1.763705787937722,2.3883515878323323,0.0,0.12195559184269306,0.0,5.66661876209101
2024-04-11,0.0,0.0,0.0,1.219693462327505,1.7622648518364659,2.3719773139544196,0.0,0.14291466240642117,0.10793921340319988,5.604789503928012
2024-04-12,0.0,0.0,5.616113951741976,1.219693462327505,1.7622648518364659,2.3719773139544196,0.0,0.14291466240642117,0.10793921340319988,11.220903455669987
