date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
2024-03-04,0.0,81.53457460819354,0.0,0.0,0.0,18.465425391806455
2024-03-05,0.0,53.89111919824212,33.874863376096364,0.0,0.0,12.23401742566151
2024-03-12,0.0,53.87464862087769,33.8806686518762,0.0,0.0,12.244682727246103
2024-03-14,0.0,53.90229846068616,33.860358886577544,0.0,0.0,12.237342652736295
2024-03-15,0.0,53.86674257328687,33.88647591774544,0.0,0.0,12.246781508967688
2024-03-18,49.210983006316134,27.360396913466673,17.209133159423885,0.0,0.0,6.219486920793306
2024-03-19,48.3296301333423,28.657074448156006,16.900923121239913,0.0,0.0,6.112372297261779
2024-03-25,48.32136836569575,28.66927025169327,16.898033972296403,0.0,0.0,6.111327410314582
2024-03-26,49.20669972534542,27.353663532100498,17.207635291507394,0.0,0.0,6.232001451046684
2024-03-27,49.15749553246675,27.426306167584038,17.190428532862832,0.0,0.0,6.225769767086388
2024-03-28,49.093463841904914,27.520839386904317,17.168036582489478,0.0,0.0,6.217660188701298
2024-04-03,48.871466742925016,27.640854358781613,17.24290426361901,0.0,0.0,6.244774634674361
2024-04-08,48.865073906876376,27.65031959863491,17.240648733607202,0.0,0.0,6.243957760881515
2024-04-09,48.85868274309215,27.659782362531722,17.23839379360624,0.0,0.0,6.243141100769887
2024-04-10,48.86091227200591,27.65857652177843,17.237642278012757,0.0,0.0,6.242868928202901
2024-04-12,48.887554519702526,27.642166248729232,17.23013072440045,0.0,0.0,6.240148507167791
2024-04-15,48.79674897702586,27.632588476342207,17.345434076182485,0.0,0.0,6.225228470449454
2024-04-16,48.75647744058621,27.692312677468596,17.331119038908398,0.0,0.0,6.2200908430367985
2024-04-17,48.73742464115525,27.72056869464193,17.32434647550152,0.0,0.0,6.217660188701298
2024-04-18,48.74595220415343,27.74980113508605,17.296559235786514,0.0,0.0,6.207687424974006
2024-04-19,48.6636553570692,27.693243272589257,17.45579852634865,0.0,0.0,6.187302843992888
2024-04-23,48.665758079020094,27.690118949037057,17.456552778992894,0.0,0.0,6.1875701929499565
2024-04-24,47.14472129451802,28.510578897652948,17.97379152478605,0.0,0.0,6.370908283042977
