date,CHINA MERCHANTS SECURITIES (HK) CO LTD,WINBULL SECURITIES INTERNATIONAL (HONG,CHINA CITIC BANK INTERNATIONAL LTD,ZINVEST GLOBAL LTD,FIRST SHANGHAI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,"CHINA MINSHENG BANKING CORP., LTD.",CITIC SECURITIES BROKERAGE (HK) LTD
2025-01-13,21.563725816102654,41.48128448906323,0.0,0.1156837976198391,15.175852669370387,8.341200718037364,5.9583804268333225,3.158034705139286,0.0,4.205837377833921
2025-01-14,18.636802427139838,35.85087799944838,0.0,13.673347430357635,13.115978670589318,7.209019030982808,5.149627654684196,2.7293831019582604,0.0,3.63496368483957
2025-01-15,18.517333577092714,35.639525583308576,0.0,13.557211088004752,13.04074590369981,7.381338696039672,5.36461070865422,2.713727461779291,0.17139331337553418,3.6141136680454307
2025-01-16,29.511650112711273,30.70570053254846,0.0,11.667831513874807,11.234705228031146,6.351206355143867,4.742732829988089,2.3428194552452575,0.3297666039946056,3.1135873684625
2025-01-17,26.3712280409588,27.334500537951318,12.06939243274513,9.047223579578448,10.003484083872198,5.671168219896091,4.590225720427469,2.0816853324451476,0.03856595984319431,2.7925260922822064
2025-01-20,26.375254514411704,27.341368208108957,12.072037715255084,9.03780949938741,10.02934723765564,5.5707150074189995,4.662243759602508,2.082141581244069,0.038574412452521696,2.7905080644631033
2025-01-21,26.340122893605795,27.42264188275642,12.109087311619932,8.81756125443813,10.036384421751508,5.498994207072428,4.782078199026085,2.0885317621711934,0.03869279896232949,2.8659052685961766
2025-01-22,26.354212261650506,27.437274132989614,12.115160006774635,8.672413375946086,10.041417658483581,5.563339543415956,4.82758772383242,2.0886993359537387,0.03871220336224285,2.8611837575912213
2025-01-23,26.424670891174536,27.457393585761984,12.123266414722242,8.367430937220057,10.048136498999632,5.749307226197525,4.833459158810828,2.089216499792003,0.03873810619083359,2.8683806811303603
2025-01-24,26.65602518484032,26.26051677696119,12.211100395730105,8.432487557225677,10.209615022225178,5.908017691463536,4.7531952157671284,2.1061266114639796,0.532074091317216,2.930841453005664
