date,REALORD ASIA PACIFIC SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,SHUN LOONG SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,25.390084221336473,21.114621851505465,15.643339036976316,17.769581646259528,0.0,10.255946668448123,9.826426575474098,0.0,0.0
2024-03-04,0.0,24.994237566609474,20.788219077163863,15.440073737075313,17.462257939904045,0.0,10.103252335827577,9.712434725216955,1.4995246182027686,0.0
2024-03-05,0.0,24.990956302659395,20.789259564312964,15.435041024313193,17.457346477944167,0.0,10.11488819279758,9.713180678588248,1.4993277593844567,0.0
2024-03-06,0.0,23.685569242941177,19.703077082370974,14.635621826535699,16.58269967837746,0.0,9.591090345873292,9.200944454795202,1.421011306357467,5.179986062748732
2024-03-07,0.0,23.658905343090098,19.703251857604958,14.661663381079485,16.60976651849272,0.0,9.60530733378215,9.159610861859296,1.419749258620332,5.181745445470965
2024-03-08,0.0,23.626765372191354,19.69780693438487,14.649231248729233,16.6778152803977,0.0,9.610747099512409,9.129147355909604,1.425671613441333,5.182815095433499
2024-03-11,0.0,23.610646184408996,19.685782775078682,14.67222657236662,16.68959187398112,0.0,9.605337999823451,9.122712425839442,1.4328023355200543,5.180899832981639
2024-03-12,0.0,23.593508977824108,19.648667011271197,14.682547179148647,16.676375265625957,0.0,9.652457464626773,9.111879746519467,1.4318728210239577,5.202691533959893
2024-03-13,0.0,23.58518324228043,19.645058618155712,14.734222210387504,16.657187091234995,0.0,9.616404963058958,9.12960498799562,1.43148329152626,5.200855595360519
2024-03-14,0.0,23.58977468935351,19.656569975232745,14.718301823438045,16.643202034236214,0.0,9.62473200871073,9.155276050604842,1.4336961245438455,5.178447293880064
2024-03-15,0.0,23.577360828239865,19.648199106612058,14.786775516404568,16.599590803251225,0.0,9.620494414199204,9.146645753646746,1.4453535205533707,5.175580057092964
2024-03-18,0.0,23.577116952464635,19.614495180830815,14.805595140534933,16.610636531373032,0.0,9.602956026946632,9.16435020907051,1.4453450302093342,5.179504928570107
2024-03-19,0.0,23.59910229195334,19.624684758280413,14.84780219945673,16.50567828185894,0.0,9.64044413308056,9.152937074963514,1.4462263993377371,5.183124861068763
2024-03-20,0.0,23.602152960018863,19.642133404797946,14.792372423133788,16.54776101494611,0.0,9.653030587488418,9.117615271875062,1.444939123964569,5.199995213775245
2024-03-21,0.0,23.601555457098577,19.63080796541967,14.847975139684557,16.43575415140824,0.0,9.703653955677439,9.11442732095718,1.44976251966024,5.216063490094096
2024-03-22,0.0,23.603665989371798,19.628351064626756,14.84735873277218,16.443336668481738,0.0,9.6651747282331,9.14990308083621,1.4456798072447015,5.216529928433512
2024-03-25,0.0,23.602752022720953,19.62920348719928,14.868855384843242,16.44938843467013,0.0,9.640337363858409,9.144271393284022,1.4456238285195229,5.219568084904442
2024-03-26,0.0,23.598243796983354,19.55158486935675,14.93279129277361,16.465961332471736,0.0,9.646270887789612,9.144468515979574,1.445347708237263,5.215331596408105
2024-03-27,0.0,23.589758191443675,19.533242943578607,14.923851854855135,16.486271146223217,0.0,9.662880077367106,9.142475635824631,1.444827980980214,5.216692169727416
2024-03-28,0.0,23.586909007934644,19.446150943455674,14.938973165193156,16.508160711331186,0.0,9.649026018795857,9.191424753138552,1.463150090820589,5.216205309330346
2024-04-02,0.0,23.64721892620716,19.49709859134157,14.988944711601404,16.575173467040337,0.0,9.70946771204992,8.881096045659707,1.4534588442046663,5.247541701895238
2024-04-03,0.0,23.64558581586326,19.518595809123845,15.050885953120325,16.492730937758935,0.0,9.709564565626502,8.856094931714901,1.4535133103168012,5.273028676475431
2024-04-05,0.0,23.641368729868763,19.569671799435127,15.027607540258634,16.463916852405934,0.0,9.701939173158653,8.871042382200004,1.4539880812163095,5.2704654414565715
2024-04-08,0.0,23.629523362404697,19.55986653154797,15.054789668366784,16.45242370360256,0.0,9.717103130077845,8.865209328847628,1.4532595691192658,5.267824706033252
