date,VICTORY SECURITIES CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TIGER BROKERS (HK) GLOBAL LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,92.29955948668005,0.0,0.0,2.891982187667347,2.2176858226671885,2.5907725029854096,0.0,0.0,0.0
2024-03-04,91.88012625433466,0.0,0.0,2.9250136632462214,2.202714370893583,2.5832407402349986,0.0,0.0,0.40890497129054315
2024-03-05,91.88286868950134,0.0,0.0,2.9251009689635743,2.202780117443998,2.5803330478176107,0.0,0.0,0.4089171762734793
2024-03-07,88.61627416362263,3.5522938678570286,0.0,2.829744628933111,2.1244674833699246,2.4828403911472807,0.0,0.0,0.3943794650700267
2024-03-11,88.74869354605491,3.5522938678570286,0.0,2.878682226788516,2.1244674833699246,2.3014834108596043,0.0,0.0,0.3943794650700267
2024-03-12,88.75416208378047,3.551475982193924,0.0,2.8780194345169563,2.1239783426735137,2.2980754943063135,0.0,0.0,0.39428866252882294
2024-03-13,88.35006341641345,3.5361087278355976,0.0429834934501896,2.8884907598527407,2.114787877749328,2.28526614390524,0.0,0.389717007281719,0.3925825735117317
2024-03-14,88.32747337055463,3.536007401201618,0.04871323000034644,2.8855425064911095,2.114727278838569,2.2622767870255007,0.0,0.38970584000277153,0.43555358588545046
2024-03-15,88.41327928308877,3.5424256528755014,0.06023557790314618,2.888439378498486,2.1168503091677087,2.152681872937523,0.0,0.3900970759441848,0.43599084958467715
2024-03-18,88.41327928308877,3.5424256528755014,0.06597229960820772,2.888439378498486,2.1168503091677087,2.1469451512324613,0.0,0.3900970759441848,0.43599084958467715
2024-03-19,88.30666422173948,3.537703672242572,0.07746796362574974,2.946651801616481,2.1174576724371597,2.1877297229972283,0.0,0.39020900196673947,0.43611594337459114
2024-03-20,88.18732703789455,3.5511530346215534,0.08352265855963102,2.957854149680726,2.1255076557588857,2.2622889695628166,0.0,0.39169246772792476,0.4406540261939154
2024-03-21,88.17038719154134,3.5510507611042263,0.08640026182735344,2.963528980678223,2.125446440952895,2.270863841625786,0.0,0.3916811869506689,0.44064133531950256
2024-03-22,88.18122646303294,3.551255314030192,0.09216558803646889,2.9636996902977026,2.125568874091064,2.253713603557269,0.0,0.39170374915499273,0.4406667177993669
2024-03-25,88.11806243159019,3.550335011396921,0.09214170345880086,2.9629316518470654,2.125018036018595,2.319356406326138,0.0,0.3916022396999037,0.4405525196623916
2024-03-26,88.07796058721318,3.54941518563024,0.09211783125723251,2.959285329138594,2.1244674833699246,2.3648144198489516,0.0,0.39150078284323814,0.44043838069864294
2024-03-27,88.01647335749581,3.549721741256838,0.09212578728322694,2.9595409164736655,2.1246509692194215,2.425476211869389,0.0,0.3915345959537145,0.4404764204479288
2024-03-28,87.91447605635724,3.548393715837897,0.15540410434326557,2.9584336900903145,2.123856092691296,2.4677365970651013,0.0,0.3913881146422985,0.44031162897258574
2024-04-02,87.81516595965493,3.5521760939009828,0.26504476937460697,2.9615872056206087,2.0886680195281526,2.484771665515691,0.0,0.39180531124941903,0.4407809751555964
2024-04-03,87.77464316587734,3.549721741256838,0.27349843099708,2.965298778178867,2.098740591546014,2.5176019991526153,0.0,0.3915345959537145,0.4289606970375255
2024-04-05,87.7260546997812,3.5496195501644587,0.3310675168442115,2.965213411735111,2.0986801719950448,2.508892977300831,0.0,0.391523324267937,0.4289483479111957
2024-04-08,87.71958993516374,3.5527029519708244,0.35411868970211624,2.959626122063215,2.0988010145759572,2.4946423713606998,0.0,0.3915458682885188,0.42897304687492127
