date,CHINA GALAXY INTERNATIONAL SECURITIES,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,CITRUS SECURITIES LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG,CMB WING LUNG BANK LTD,CITIBANK N.A.
2024-03-01,0.0,76.35084014995378,10.2438132089352,0.0,0.0,0.0,13.405346641111024,0.0,0.0,0.0
2024-03-04,0.0,71.14921891280103,9.54592388339049,0.0,0.0,0.0,12.491600511845192,0.0,0.0,6.813256691963293
2024-03-05,0.0,71.12795753493124,9.543510921435697,0.0,0.0,0.0,12.486102458670576,0.0,0.0,6.8424290849624825
2024-03-06,0.0,71.12982993538992,9.543042821321029,0.0,0.0,0.0,12.485166258441238,0.0,0.0,6.841960984847814
2024-03-07,46.48664452815525,36.35112363059737,4.870623503246973,0.0,0.0,0.0,6.373910809700474,0.0,2.42542608568834,3.492271442611589
2024-03-08,46.48575605088702,36.3554459071981,4.8750696385840895,0.0,0.0,0.0,6.359215685997191,0.0,2.4253797296657704,3.499132987667826
2024-03-11,46.51231396618464,36.376216244932394,4.818094058294687,0.0,0.0,0.0002390430831914559,6.365239219222087,0.0,2.42676538055966,3.5011320877233327
2024-03-12,46.5118692325596,36.37562938814513,4.819004152643029,0.0,0.0,0.00023904079754948567,6.365178357147705,0.0,2.426742176722379,3.501337651984619
2024-03-13,46.499642389796705,36.39402753835273,4.820366110840497,0.0,0.0,0.00023897795951924143,6.361115326483169,0.0,2.426104245039339,3.49850541152804
2024-03-14,46.47420893618269,36.43526634935029,4.825133827128204,0.0,0.0,0.00023884724808715657,6.369578411988291,0.0,2.4247772625808137,3.470796365521615
2024-03-15,46.36601210293805,36.30754881387214,4.885864347818909,0.0,0.0,0.00023829118664009215,6.504396230527955,0.0,2.4856153678428012,3.450324845813509
2024-03-18,46.33675175810011,36.260583873488876,4.901355993047155,0.0,0.0,0.00023814080747275182,6.539108432394293,0.0,2.512623659645005,3.4493381425170853
2024-03-19,46.31689785987934,36.222909703055656,4.889734359228704,0.0,0.0,0.00023803877133136546,6.517501559052786,0.0,2.604858274679132,3.447860205333053
2024-03-20,46.319985126536665,36.21389752930019,4.889822231294643,0.0,0.0,0.0002380546378767482,6.523411241736532,0.0,2.6050319022852557,3.4476139142088367
2024-03-21,46.32075700750916,36.196884664636286,4.896569356728346,0.0,0.0,0.0002380586048435961,6.532804234117965,0.0,2.605075312803472,3.4476713655999283
2024-03-22,46.31744912731342,36.200726878606545,4.895505555747034,0.0,0.0,0.00023804160448791833,6.537098542447213,0.0,2.601318653843972,3.447663200437332
2024-03-25,46.30642627130569,36.23471095707551,4.881965281465008,0.0,0.0,0.0002379849541675843,6.529593187496011,0.0,2.6006995791433614,3.4463667385602554
2024-03-26,46.31535438087225,36.25312267004257,4.871243037577136,0.0,0.0,0.00023803083885178672,6.51180965846833,0.0,2.6012010069723255,3.447031215228529
2024-03-27,46.33851737281119,36.27482563969541,4.828907040339454,0.0,0.0,0.0002381498815855679,6.506254764917715,0.0,2.6025019059670864,3.4487551263875593
2024-03-28,46.3490034820175,36.290418716998694,4.799986115578458,0.0,0.0,0.00023820377337596948,6.507727088631486,0.0,2.6030908354525946,3.4495355575478865
2024-04-02,46.33233830991722,36.23903317507201,4.88945948235677,0.0,0.0,0.00023811812521570673,6.488957030253224,0.0,2.601440517981596,3.448533366293962
2024-04-03,46.34547078889085,36.2478756850001,4.873219619375048,0.0,0.0,0.000238185617627847,6.481268841271344,0.0,2.6019396869666003,3.449987192878433
2024-04-05,46.30400194703384,36.24923402900729,4.8748084889576875,0.0,0.0,0.00023797249471546974,6.501646528121349,0.0,2.6234087817433385,3.4466622526417807
2024-04-08,46.30003541845762,36.165225102421786,4.958625946115731,0.0,0.0,0.0002379521093349205,6.505848621326062,0.0,2.623184053308164,3.4468429062613057
2024-04-09,46.30223896154318,36.16218703397166,4.9588619404474565,0.0,0.0,0.00023796343411513894,6.506158252142013,0.0,2.623308897685292,3.447006950776271
2024-04-10,46.300916810523155,36.163533996464075,4.958720341152913,0.0,0.0,0.00023795663911765715,6.505972470115864,0.0,2.6232339896330523,3.447384435471824
2024-04-11,46.299704905084305,36.16306333323111,4.953593590278389,0.0,0.0,0.00023795041071085612,6.5010431710312995,0.0,2.6350628482120206,3.4472942017521713
2024-04-12,46.297171125980945,36.170363846074295,4.959984748784432,0.0,0.0,0.0002379373887320005,6.490218152442778,0.0,2.6349186428181737,3.4471055465106435
2024-04-15,46.29001194501268,36.16596013084352,5.025829926277627,0.0,0.0,0.00023790059519184197,6.4178443564903205,0.0,2.6535432387698057,3.4465725020108606
2024-04-16,46.29254494053136,36.165560000789014,5.034669830422861,0.0,0.0,0.00023791361314358134,6.4032069841463475,0.0,2.653688441003506,3.4500918894937618
2024-04-17,46.291443604070814,36.16660285697808,5.0400219345422865,0.0,0.0,0.00023790795298951218,6.398058579746952,0.0,2.653625307645019,3.450009809063856
2024-04-18,46.29651018573648,36.152954163103814,5.040573563109901,0.0,0.0,0.0002379339919284367,6.384482805415742,0.0,2.6760436072191274,3.4491977414230024
2024-04-19,46.292985489789004,36.15733920364431,5.040189808715896,0.0,0.0,0.00023791587728062084,6.3839967350709,0.0,2.6758398717751426,3.4494109751274626
2024-04-22,46.26447722074511,36.21329881568911,5.042792410385755,0.0,0.0,0.000237769363294375,6.372218936289249,0.0,2.6594503284475843,3.447524519079899
2024-04-23,46.25919769115397,36.210117258010165,5.031280803146316,0.0,0.0,0.00023774222994142716,6.371491762430247,0.0,2.680543642589591,3.447131100439766
2024-04-24,40.70968837245289,32.72442813216673,4.531594499139421,10.734816969717377,0.0,0.00021473946337338218,5.756091315723509,0.0,2.4295622886064456,3.1136036827302593
2024-04-25,40.71790748956064,32.771629011050344,4.480746750029892,10.73698428470631,0.0,0.0002147828183797132,5.748232568296265,0.0,2.4300528071480754,3.114232306390096
2024-04-26,40.72700484888168,32.81740569502288,4.4368482181041395,10.73938318509399,0.0,0.00021483080602434563,5.733404551177736,0.0,2.4305957393594464,3.1151429315541104
2024-04-29,40.72481761253345,32.81370986883372,4.436609937981892,10.738806428483798,0.0,0.0002148192685751912,5.737822663643358,0.0,2.4330430358826156,3.114975633372594
2024-04-30,40.718229070912535,32.855179822538325,4.414574268131801,10.735370243552229,0.0,0.0002147505310726946,5.730188420612709,0.0,2.4322645149293387,3.113978908791992
2024-05-02,36.493359315686995,32.82872622929102,4.355944302540148,15.059325147760166,0.0,0.00021516408014698462,5.70765755405906,0.0,2.434796730943278,3.119975555639183
