date,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA SYSTEM SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,89.80246529532994,0.0,10.197534704670062,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,58.040438243769024,37.596659449427776,0.0,4.362902306803197,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,57.94610496204918,37.69808376810181,0.0,4.35581126984901,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,57.94845955676195,37.69961560028931,0.0,4.351924842948744,0.0,0.0,0.0
2024-03-08,0.0,0.0,32.14798932876274,39.22674596771964,25.519802520111444,0.0,3.105462183406176,0.0,0.0,0.0
2024-03-13,0.0,26.25313795608616,23.7081333401748,28.928494233130742,18.820053558385837,0.0,2.2901809122224672,0.0,0.0,0.0
2024-03-18,0.0,26.240363073115773,23.696596866730236,28.914417510989725,18.810895644306882,0.0,2.3377269048573837,0.0,0.0,0.0
2024-03-22,0.0,26.241858531847452,23.69611642398171,28.913831278194397,18.810514257964513,0.0,2.3376795080119304,0.0,0.0,0.0
2024-03-25,0.0,26.21475214733727,23.671639649884053,28.88396489402278,18.894378494029848,0.0,2.3352648147260546,0.0,0.0,0.0
2024-03-28,0.0,26.215814087809576,23.672598570725604,28.885134962354886,18.89514389150945,0.0,2.331308487600482,0.0,0.0,0.0
2024-04-03,0.0,26.214319585785134,23.673078060280858,28.885720032070623,18.895526613503993,0.0,2.331355708359392,0.0,0.0,0.0
2024-04-08,0.0,26.21485056876965,23.67355756926067,28.886305125488065,18.895909351002953,0.0,2.3293773854786677,0.0,0.0,0.0
2024-04-11,0.0,26.228132137870798,23.685551610191837,28.900940168193905,18.85481853564564,0.0,2.3305575480978185,0.0,0.0,0.0
2024-04-18,0.0,26.27019049499339,23.723532789447397,28.947284530666344,18.885053349443485,0.0,2.173938835449383,0.0,0.0,0.0
2024-04-19,0.0,26.27125701424417,23.724495919289236,28.948459734790415,18.885820046318145,0.0,2.169967285358036,0.0,0.0,0.0
2024-04-22,0.0,26.249943069359972,23.705248168861647,28.924973767790995,18.95162820920591,0.0,2.168206784781472,0.0,0.0,0.0
2024-04-26,0.0,26.247281257699306,23.702844395800955,28.92204070114563,18.949706465420697,0.0,2.178127179933413,0.0,0.0,0.0
2024-04-30,0.0,26.25260542095922,23.707652429518756,28.927907429398008,18.9535503428097,0.0,2.1582843773143177,0.0,0.0,0.0
2024-05-02,0.0,26.25313795608616,23.7081333401748,28.928494233130742,18.953934816319123,0.0,2.156299654289179,0.0,0.0,0.0
2024-05-06,0.0,26.29638262969758,23.701402365949118,28.92028114666471,18.94855360621315,0.0,2.133380251475442,0.0,0.0,0.0
2024-05-07,0.0,26.278796432394664,23.685551610191837,28.900940168193905,18.935881406883826,0.0,2.198830382335768,0.0,0.0,0.0
2024-05-10,0.0,26.167433051450278,23.585177793086874,28.778464756586626,18.855635579033315,0.0,2.613288819842906,0.0,0.0,0.0
2024-05-13,0.0,26.168489203114632,23.582093591381028,28.779626292889798,18.856396617032726,0.0,2.613394295581817,0.0,0.0,0.0
2024-05-14,0.0,22.67279391268236,20.43189975076328,24.95610628650577,16.337480972455168,0.0,2.264286249633922,13.337432827959505,0.0,0.0
