date,YUE XIU SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD
2024-03-01,0.0,41.23800560677458,19.518864964112915,12.885158132840079,9.417432746417532,8.704907300804013,5.862351044605487,2.3732802044454,0.0,0.0
2024-03-04,0.0,41.05186461832661,19.570445293988215,12.898976680125958,9.519084315450137,8.716401080760628,5.86710888721489,2.376119124133562,0.0,0.0
2024-03-05,0.0,41.06648643099427,19.57183478767604,12.89986149346603,9.506617555214634,8.719026029942572,5.866899071731126,2.36927463097533,0.0,0.0
2024-03-06,35.98406850361463,26.241579098054572,12.547778997967002,8.268231379911818,6.0898230907251145,5.5907287017260625,3.7614083229919286,1.5163819050088674,0.0,0.0
2024-03-07,36.02243554698976,26.083768247556826,12.585584026640776,8.276095050257911,6.138351888527938,5.598831909805202,3.7747447741857996,1.5201885560357888,0.0,0.0
2024-03-08,36.040196240191726,26.06332350495274,12.59015057000688,8.279812607962302,6.131042902992933,5.604540140257898,3.7742437867818377,1.5166902468536847,0.0,0.0
2024-03-11,36.03818247336126,26.074059518648983,12.59536331461991,8.3087353576262,6.102986333638557,5.604846124429772,3.7740331368563362,1.5017937408189888,0.0,0.0
2024-03-12,35.196643339175914,25.41207758742665,12.341621753699547,8.116431789185487,5.770073788144511,5.468844365849234,3.689570024932429,1.4920413842353415,2.512695967350884,0.0
2024-03-13,34.36315927582282,24.732780370383058,12.048543610324487,7.929648099751447,5.708844201210193,5.335341540811981,3.5967297137184326,1.4975141338093438,2.4531933601091453,2.33424569405909
2024-03-14,34.42138788085733,24.69264998616262,12.06139066714773,7.9244205736722435,5.653715353432863,5.341243533080715,3.6028592869596676,1.5067813167692412,2.457350312794796,2.3382010891227942
2024-03-15,34.41064931001445,24.668927371746012,12.079792753446599,7.925859244207854,5.654043409572099,5.3395772050910475,3.6016390179280386,1.525456372423512,2.45658368390374,2.337471631666652
2024-03-18,34.42403011283652,24.649480551641155,12.07611842654113,7.929617929388462,5.654426847861749,5.3411810432291125,3.6029030593106715,1.5263225143051322,2.4575389423062792,2.33838057257979
2024-03-19,34.42823335205279,24.590186139986006,12.082329348851326,7.948330609009973,5.658074673790793,5.356347268431926,3.6033384307307776,1.527555349224006,2.4669387346498515,2.3386660932725456
2024-03-20,34.42495312302788,24.57375208394663,12.103345809057267,7.947118370791855,5.6576720705557735,5.3580206553866905,3.6029905649562126,1.5270003593952264,2.4667036913945872,2.3384432714878702
2024-03-21,34.433216015644845,24.591936832519465,12.095966755593118,7.941699551341477,5.653940304253736,5.365358912063563,3.6038553772925357,1.5077259269729533,2.467295765046714,2.339004559271592
2024-03-22,34.42972403784808,24.557853155116028,12.113305077132821,7.940269800317642,5.653321420286293,5.365542803894385,3.6035039589709688,1.530666843737941,2.4670455490336156,2.3387673536622238
2024-03-25,34.44154269718569,24.53666667108629,12.11929795811455,7.943450611343487,5.6528496720758294,5.3665653371824815,3.604012671223939,1.5315564039204748,2.46448779771149,2.339570180155764
2024-03-26,34.437631389009354,24.515062022908516,12.132017732188087,7.944386623412904,5.652799357092245,5.37655996050083,3.6045545213337116,1.5334759821680626,2.4642079214191175,2.3393044899671676
2024-03-27,34.45176897755944,24.401330832095944,12.133332204317828,7.94582459163575,5.7370091836912485,5.38475033608988,3.606075266187153,1.5344242239556243,2.4652195460950814,2.3402648383720543
2024-03-28,34.452948186708895,24.40457324098732,12.136669476448047,7.9452798320470945,5.737298658761597,5.386287843427659,3.6061999810617156,1.5271467539512407,2.4632502509787098,2.3403457756277177
2024-04-02,34.45073050389729,24.425043590819325,12.136966733618257,7.943675726114748,5.733013918937434,5.379624532009053,3.6059820604127246,1.5247720359702386,2.4599957670191,2.3401951312018268
2024-04-03,34.43702687875857,24.41658041670607,12.142021051981366,7.9454310405863104,5.724043465192463,5.411725290580705,3.607096266286259,1.5226636822089559,2.452782339204224,2.3406295684950726
2024-04-05,34.48998695481748,24.39350322739123,12.168363603568737,7.954172310894083,5.642342931164277,5.416857267647238,3.6126767363117174,1.5213133596878936,2.4565544284643543,2.3442291800529937
2024-04-08,34.484021634913695,24.390332339482622,12.186159431951689,7.95411817125992,5.631932198209784,5.4173786940652935,3.6142849402457893,1.5218193153882338,2.4561295476708054,2.34382372681217
