date,NANYANG COMMERCIAL BANK LTD,BOCI SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA CONSTRUCTION BANK (ASIA),TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,2.230102025222053,0.0,0.0,0.0,0.0,2.230102025222053
2024-03-04,0.0,0.0,9.066111732594887,3.832976336750475,0.0,2.225089401969594,1.7677443806659452,1.6995238007910165,0.0,0.0,18.59144565277192
2024-03-05,0.0,0.0,9.066111732594887,3.832976336750475,0.0,2.223133256310098,1.7677443806659452,1.6995238007910165,0.0,0.0,18.58948950711242
2024-03-06,0.0,8.575936474169708,9.065744955283733,3.832976336750475,0.0,2.2177538557464835,1.7677443806659452,1.6995238007910165,0.0,0.0,27.15967980340736
2024-03-07,37.360233025851684,8.575936474169708,9.06513365976514,3.8306534137798236,2.0867183822675397,2.230468802533209,1.7683556761845378,1.6995238007910165,0.0,0.0,66.61702323534267
2024-03-08,37.360233025851684,8.575936474169708,9.065622696180014,3.8306534137798236,2.0864738640601024,2.2312023571555195,1.7715344128812192,1.6958560276794612,0.0,0.0,66.61751227175753
2024-03-11,37.360233025851684,8.582049429355633,9.069412728395287,3.8306534137798236,2.0864738640601024,2.2237445518286902,1.7511171425602279,1.6958560276794612,0.0,0.0,66.59954018351092
2024-03-12,37.360233025851684,8.583272020392819,9.07246920598825,3.832976336750475,2.0768153948663404,2.2237445518286902,1.7385244548772212,1.6940221411236835,0.0,0.0,66.58205713167918
2024-03-13,37.360233025851684,8.583272020392819,9.05906752981594,3.832976336750475,2.0707024396804146,2.227656843147683,1.7385244548772212,1.6940221411236835,0.0,0.0,66.56645479163991
2024-03-14,37.360233025851684,8.583272020392819,9.05906752981594,3.8217284992083727,2.0707024396804146,2.227656843147683,1.7376686411511917,1.7052699786657866,0.0,0.0,66.5655989779139
2024-03-15,37.360233025851684,8.58302750218538,9.05564427491182,3.8217284992083727,2.06617885284283,2.22215518348035,1.7459822602040505,1.7089377517773416,0.9367492526912284,0.0,67.50063660315307
2024-03-18,37.360233025851684,8.58302750218538,9.05564427491182,3.8165936168521952,2.0588433066197194,2.225822956591905,1.7364460501140064,1.7089377517773416,0.9509313087225758,0.0,67.49647979362663
