date,HANG SENG BANK LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,23.303249330044324,0.0,76.69675066995568,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,7.4472812540720055,11.171417883480238,30.910612932488647,36.81750571442262,0.0,0.0,13.653182215536491,0.0,0.0
2024-03-06,0.0,6.265961091290043,9.401593031473867,26.007436987423866,30.977352729733553,0.0,0.0,11.48745503442184,0.0,15.860201125656834
2024-03-08,0.0,5.807107089003033,8.713117867406533,24.085115998418026,28.708892700504695,0.0,0.0,10.646232970983952,7.340768882815583,14.698764490868173
2024-03-12,0.0,5.805664634406146,8.715093486738365,24.07913338336444,28.722461121800453,0.0,0.0,10.64358850318731,7.338945474764482,14.695113395738801
2024-03-13,0.0,5.8158492484317,8.74904426300429,24.116812422969353,28.790680480427884,0.0,0.0,10.454901365022431,7.351819853792872,14.720892366351467
2024-03-14,0.0,5.819340966382832,8.743487240709342,24.098997405396556,28.808377023558883,0.0,0.0,10.44628017914875,7.345757490958784,14.737759693844849
2024-03-15,0.0,5.819292738944667,8.743414779584846,24.134019305723704,28.807931089871435,0.0,0.0,10.412007916891831,7.345696613435501,14.737637555548016
2024-03-18,0.0,5.819123949205898,8.74771913481041,24.13290493373945,28.807095510122956,0.0,0.0,10.411705914539448,7.345483550049953,14.735967007531888
2024-03-19,0.0,5.821053558482338,8.717460070183026,24.14090735431582,28.816647882474673,0.0,0.0,10.41515841434726,7.3479192969633775,14.740853423233503
2024-03-20,0.0,5.822948231931635,8.719053587541183,24.148764890025916,28.826027307881457,0.0,0.0,10.41626792861717,7.350310944361853,14.716627109640784
2024-03-25,0.0,5.809043508586981,8.711466763060132,24.132085162540864,28.901763581568712,0.0,0.0,10.406214555194754,7.343216712416117,14.696209716632435
2024-03-28,71.59289376854359,6.6215886087658795,2.04579210157864,5.583770883042071,6.702964327179668,0.0,0.0,2.4125696036168485,1.7006185263730118,3.3398021809002967
2024-04-02,71.59676069649242,6.623865006094047,2.0452310388761537,5.583592790969665,6.70332637261089,0.0,0.0,2.4123833198061972,1.705507249484626,3.3293335256659966
2024-04-03,71.64336150128243,6.628176338577549,2.054434220130313,5.561019085773008,6.676739087773721,0.0,0.0,2.3778575621061186,1.7535612322744594,3.304850972082406
2024-04-05,71.64521854156877,6.628156140425803,2.045175249910721,5.56212325376125,6.673936081899848,0.0,0.0,2.3779191976463205,1.762534898921576,3.3049366358657197
2024-04-08,71.64398050401458,6.628041605131141,2.044947907780708,5.561067133295285,6.6656607016218254,0.0,0.0,2.377878106931163,1.7668244706530314,3.311599570572268
2024-04-09,71.64150455726237,6.627812546416502,2.048333139748345,5.5608749481876085,6.665430342827555,0.0,0.0,2.3777959297610134,1.766763410906224,3.311485124890387
2024-04-10,71.64177965400602,6.6276460012328435,2.0483410051579307,5.5607043060623695,6.665455937462869,0.0,0.0,2.377805060277206,1.7667701951141237,3.3114978406866307
2024-04-11,71.63002115328457,6.626558211668383,2.0586588069189373,5.565550548419338,6.664361942187654,0.0,0.0,2.3774147932758583,1.7664802167144493,3.310954327530804
2024-04-12,71.62981489825025,6.6265391308281245,2.0597086772940636,5.565534522697149,6.664342752493457,0.0,0.0,2.3774079476298304,1.7664751302237311,3.3101769405834007
2024-04-15,71.6729480340353,6.630529416333133,2.0609489666090868,5.568885905869434,6.668355802105127,0.0,0.0,2.378839545072421,1.7073221089172912,3.3121702210582074
2024-04-16,71.66640937164406,6.629924518746,2.0698838633475396,5.5683778611212755,6.667747453648834,0.0,0.0,2.378622525553973,1.7071663513662276,3.3118680545720816
2024-04-17,71.66840525786272,6.630109159989975,2.0700375423032007,5.568532938635702,6.665052147373881,0.0,0.0,2.378688769418563,1.7072138953945037,3.31196028902147
2024-04-18,71.66654701540052,6.629937252294726,2.068063252224589,5.57290200685375,6.66487933366513,0.0,0.0,2.3786270939779035,1.707169630179713,3.311874415403661
2024-04-19,71.67143371132389,6.630389324965898,2.0681082289408335,5.573282003918661,6.66533378891693,0.0,0.0,2.3787892843973863,1.7072860362187883,3.305377621317625
2024-04-22,71.70156010518004,6.633176344980429,2.0562952700887207,5.557321860302807,6.668135497498852,0.0,0.0,2.3797891854621707,1.7080036773889011,3.295718059098075
2024-04-23,64.49622166675212,13.84046198568225,2.061115001725676,5.550254764417439,6.6683789077248425,0.0,0.0,2.3798074771934123,1.708016805587154,3.2957433909171088
2024-04-24,64.49925819368826,13.84111360425063,2.070820345539133,5.550516074268763,6.6543764850584335,0.0,0.0,2.3799195201832277,1.7080972202053055,3.295898556806249
2024-04-25,64.49823565779074,13.840894174819681,2.071315964289978,5.550428079428285,6.654270990219856,0.0,0.0,2.379881790243214,1.7080701409679155,3.2969032022403186
2024-04-26,64.48565802031038,13.83685021804899,2.085801774818854,5.551074834752836,6.651916666996642,0.0,0.0,2.3794176955265365,1.707737054538418,3.301543735007348
2024-04-29,64.49104783565383,13.83935171579689,2.088570021638972,5.551538802544054,6.6524726449243845,0.0,0.0,2.3796165710966637,1.7078797899568305,3.289522618388374
2024-04-30,23.76165369568333,13.40376242422128,0.9836247734989083,2.6390521075687565,3.1666540793427527,0.0,0.0,1.1291931627202663,0.8163088726140117,1.56488188150028
2024-05-02,50.05455357517974,28.237781491233015,2.0859547398395817,5.559233241834037,6.656237606724985,0.0,0.0,2.3690732199659403,1.7407009473544752,3.296465177868223
2024-05-03,49.943778599935115,28.17528888422262,2.095709648078346,5.523936101867537,6.648692439537,0.219009078607029,0.0,2.363830259864413,1.7367528197354198,3.2930021681525123
2024-05-06,49.93038405916762,28.1677324864855,2.089304832194682,5.522454624306413,6.6659701263613105,0.21895034204135275,0.0,2.3726788148401794,1.740405704533878,3.2921190100690585
2024-05-07,49.916834184439736,28.16008845863048,2.0974517333159226,5.519998396338384,6.681014378329005,0.21889092431881385,0.0,2.3714029321363848,1.7430933823232269,3.291225610168051
2024-05-08,49.92108864578128,28.16248857093085,2.101078046991286,5.520468871282685,6.669613162743585,0.2189095806096373,0.0,2.3716050491629317,1.743241947902975,3.2915061245947683
2024-05-09,49.90675066180522,28.15439993903579,2.1004745901319217,5.518883321040012,6.667697563359673,0.21884670693952846,0.0,2.370923893440673,1.7714625628917173,3.2905607613554677
2024-05-10,49.83624179500321,28.110320951144875,2.151617970269999,5.5254265347276865,6.7476464788510295,0.21853751763938303,0.0,2.3665225968510257,1.7644665063247493,3.279219649188039
2024-05-13,49.75256607086686,28.065509388967865,2.2088972931104633,5.516149268830362,6.693368243783708,0.21817059019098806,0.09231138493929027,2.362549173397646,1.8072206030199989,3.2832579828928186
2024-05-14,49.67273001094412,28.020473728171027,2.287205775355192,5.615640994981023,6.641653496637069,0.21782050010142245,0.0921632563533382,2.3587580801481214,1.8169940251471868,3.2765601321615
2024-05-16,49.663123369302376,28.015054604847645,2.3021019506778315,5.613030612520774,6.641226442134747,0.21777837389885135,0.09214543209894091,2.3583018993907814,1.8213108654519057,3.2759264496761524
2024-05-17,23.44410291773425,54.168895064974585,2.3061672424918527,5.64630165390217,6.616710888266848,0.21759563541402846,0.14537471210652445,2.356323041214304,1.8253988290782772,3.2731300148171596
2024-05-20,23.442830944819274,54.165956101278745,2.331361381082914,5.645995310648229,6.6144481910837705,0.21758382964113815,0.14536682472021792,2.3559096420149097,1.807595345393108,3.2729524293176993
2024-05-21,23.441469863530045,54.162811247761,2.332844077492824,5.648427716735029,6.614064158895309,0.217571196811935,0.14535838478113092,2.3505379772641786,1.8084421937905462,3.278473182938003
2024-05-22,23.35087958546777,53.99094808224403,2.380810646280493,5.916249367678502,6.61647339838686,0.2167303862598544,0.13531545879962564,2.3272324751988864,1.8109345976110494,3.254426002072932
2024-05-23,23.333557295938924,53.99400357887557,2.394392623124636,5.9118605400929445,6.6115651264116115,0.21656961002499142,0.13521507827449483,2.325506073647769,1.8186863838850094,3.2586436897240443
2024-05-24,23.334353159377837,53.99584521205752,2.391063480750038,5.912062182457207,6.611790634373873,0.2165769968041444,0.13521969020467864,2.325585392254765,1.81874841583245,3.2587548358874945
2024-05-27,23.33313727878865,53.993031656453816,2.395202180922351,5.919333307378418,6.611446114522082,0.2165657116502479,0.1352126443270632,2.3254642132309615,1.81865364650757,3.2519532462188354
2024-05-28,23.331634183406784,53.98955348394894,2.4014897760749827,5.918951990350547,6.611020212338271,0.21655176072212529,0.13520393407525141,2.32531440934999,1.8185364908133046,3.2517437589198055
2024-05-29,22.945581547388283,54.7366025288591,2.42259149425759,5.821015129161164,6.501632170348487,0.21296862645025844,0.13296680680248868,2.2868390179459968,1.788446407947459,3.1513562708391722
2024-05-30,22.953173080434276,54.64473961032679,2.442871186238039,5.822941008817906,6.5081634921096505,0.21303908700328988,0.13301079879745192,2.2875956173784298,1.8356366286114434,3.1588294902827307
2024-05-31,11.226408029212848,26.33138407140804,1.2613602347563795,2.8604473373943824,3.2059372601258946,0.10738831005686471,0.07303262038843272,1.1188641202910945,0.9326815351103721,1.555833713264664
