date,ABN AMRO CLEARING HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,HAFOO SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING
2024-03-01,3.159391448121817,4.35969297726688,1.3811603870662337,3.3603955893914246,0.0,0.0,9.761638143767886,0.7689587466993453,77.20876270768642,0.0
2024-03-04,3.0577323683646913,4.365624937614342,1.4809879028313602,3.3504924929499342,0.0,0.0,9.76241686740265,0.7690200895130609,77.21372534132396,0.0
2024-03-05,3.211024412324116,4.358060530109022,1.4812011966036824,3.3606884429970916,0.0,0.0,9.762734295263337,0.7674772289048405,77.0588138937979,0.0
2024-03-06,3.209599229409578,4.358415225450263,1.4831767819430806,3.3606549986741445,0.0,0.0,9.762637140158319,0.7674695912565629,77.05804703310805,0.0
2024-03-07,3.2751361374010974,4.358554515660133,1.4852823992802582,3.281296673650797,0.0,0.0,9.762200713137306,0.7735006095746119,77.0640289512958,0.0
2024-03-08,3.1102647772254715,4.262515633302781,1.4435888566972734,3.1891869962880537,2.8537361279376086,0.0,9.488164791528007,0.7517875800396954,74.90075523698111,0.0
2024-03-11,3.1084915200347467,4.26513052829864,1.4472363360795157,3.1903249875063446,2.854061895433371,0.0,9.469899650053819,0.7555495696337411,74.90930551295982,0.0
2024-03-12,3.2118244979848276,4.240126841626136,1.3740228153107275,3.190145988557733,2.8539017631331958,0.0,9.469368324221039,0.7555071781597946,74.90510259100654,0.0
2024-03-13,3.0783022777908347,4.256028611223444,1.5075999916647855,3.1903188147944177,2.8331602925010175,0.0,9.469881327480806,0.7555481077795858,74.90916057676512,0.0
2024-03-14,2.573724566551141,4.255815299124967,2.0065011307538168,3.209775402099485,2.8292785467386077,0.0,9.46893271275309,0.7554415538471292,74.90053078813176,0.0
2024-03-15,2.55689675828335,4.257301799911731,1.9985961353801072,3.2097830163575405,2.8266548814232113,0.0,9.47180953110407,0.7556710694843322,74.92328680805565,0.0
2024-03-18,2.3470615327699815,4.275629673314856,1.9608782641890414,3.1619638067672455,2.872412392705453,1.7302543703991276,9.296875390673849,0.7424882765284169,73.61243629265203,0.0
2024-03-19,2.3440104769756074,4.290537635746021,1.9461334791203249,3.162721511605096,2.8731007120219476,1.7306689931422334,9.280084870485956,0.742666199804442,73.63007612109837,0.0
2024-03-20,2.3012419076718915,4.293304972849627,1.9673154393049872,3.160547896873235,2.85529039342142,1.7340652126103033,9.28401276921938,0.7429805415013424,73.66124086654781,0.0
2024-03-21,2.234693127483287,4.2985113887812885,1.9694241690167826,3.160878667485065,2.8555892169739177,1.7409066266471893,9.290692912234237,0.7803539267548502,73.66894996462338,0.0
2024-03-22,2.2622171664937616,4.293285240624398,1.9709369682679099,3.1545458836370353,2.855024221476064,1.7405621778026594,9.288854692774605,0.7801995290380048,73.65437411988556,0.0
2024-03-25,1.8761213499168417,4.288956377459874,1.9918921822643147,3.1810010126454347,2.8531569819823717,1.741895400074798,9.304643607573743,0.7758868290444498,73.98644625903817,0.0
2024-03-26,1.7804004082863965,4.318450381474844,1.997564757595784,3.211717202659677,2.853927464981196,1.7423657915744462,9.307156287301856,0.7819917195976994,74.0064259865281,0.0
2024-03-27,1.7772605229861467,4.323456699653258,1.9972419091911713,3.2111981217282564,2.853466210383343,1.7420841886807612,9.305652055437827,0.7951752976493063,73.99446499428993,0.0
2024-03-28,1.5637421065189494,4.316209524107488,2.248376797868627,3.212521599817468,2.852446553121414,1.7414616725327112,9.302326774885781,0.794891149807007,73.96802382134055,0.0
2024-04-02,1.5199961027885343,4.340836688193641,2.2502347706872903,3.231467618105284,2.852392336444608,1.7414285724332315,9.30214996482645,0.7948760412481745,73.96661790527278,0.0
2024-04-03,1.9481145073958694,4.347241280747875,2.259609464430632,3.32536304254205,2.8522296987794937,1.7413292796839956,8.767931229923374,0.79578101877722,73.9624004777195,0.0
2024-04-05,1.7130141366820288,4.371034403710277,2.273717138936021,3.5573745992107066,2.8592151205858305,1.7455939851274325,8.530585580669687,0.7977299733386335,74.15173506173939,0.0
2024-04-08,1.8192026557462684,4.327370204996779,2.2071131357330196,3.5582655095409823,2.8593186274386517,1.7456571776233043,8.530894397610329,0.7977588520747407,74.15441943923594,0.0
2024-04-09,1.7213202690398801,4.354387475711847,2.2094908910323827,3.578438029382232,2.8606703518805623,1.746482425796609,8.534927322922655,0.7981359874274615,74.19614724680636,0.0
2024-04-10,1.5432207029415101,4.345038451073861,2.4024162165558622,3.5787450144153397,2.860915761463032,1.746632252050663,8.522314799789656,0.7982044574695618,74.20251234424052,0.0
2024-04-11,1.5641098678944574,4.3195958193751895,2.4452422438025008,3.5772515159555596,2.8597218308348102,1.7459033393821906,8.518758227869618,0.7978713470850503,74.17154580780063,0.0
2024-04-12,1.4986322978292599,4.319531133247058,2.446608745735905,3.589718177429751,2.861319961008104,1.7493576759012035,8.523518860325602,0.7983172304085382,74.21299591811457,0.0
2024-04-15,1.4599355142078971,4.321462508753035,2.4809427602699703,3.589738710629646,2.8632429955413334,1.7493676822329183,8.523567614881786,0.798321796785747,74.21342041669766,0.0
2024-04-16,1.4673891350147068,4.320391627060059,2.501105497959018,3.595902076612963,2.8625334685003705,1.7489341794959645,8.52145542890328,0.7948834363485747,74.18740515010506,0.0
2024-04-17,1.736600202840691,4.247455286733025,2.5032267600458282,3.591288077224909,2.763673004235728,1.7611585701029635,8.510521318547495,0.7938634998734577,74.0922132803959,0.0
