date,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,THE CORE SECURITIES COMPANY LTD,DEUTSCHE BANK AG
2024-03-01,38.754155213966065,24.941193111666497,9.354414940385128,4.7203466866239365,8.652660806314431,0.0,11.454728937616032,2.122500303427912,0.0,0.0
2024-03-04,38.79264978882094,24.919540969660485,9.389108565590607,4.729818684267345,8.665589240294263,0.0,11.462465384656838,2.0408273667095225,0.0,0.0
2024-03-05,38.86919521105273,24.93638393813317,9.45045716671417,4.53979272215767,8.686428949032754,0.0,11.512774368133362,2.0049676447761464,0.0,0.0
2024-03-06,38.8288360225449,25.035935276375813,9.477403781528144,4.556576964112093,8.667991226473076,0.0,11.505857746284365,1.927398982681607,0.0,0.0
2024-03-07,38.795734957941875,24.829979218730227,9.634484383849339,4.576580470497433,8.65991980953189,0.0,11.463205091698256,2.0400960677509783,0.0,0.0
2024-03-08,38.83428702714804,24.693890772043353,9.704449875098184,4.597801558740042,8.667197799682127,0.0,11.581408909364834,1.9209640579234233,0.0,0.0
2024-03-11,35.142791600237466,22.37854359473859,8.686627935088815,4.169207588052706,7.864562727353057,9.57878202779818,10.404041014131973,1.7754435125992114,0.0,0.0
2024-03-12,35.15893364594807,22.26151508372613,8.769292123238015,4.155655018377546,7.874676995165915,9.58420990592498,10.410764240319208,1.7849529873001324,0.0,0.0
2024-03-13,35.16753454035992,22.309318062257656,8.689930444979376,4.163728890016269,7.838916029910968,9.590327460822598,10.366512362348683,1.8737322093045288,0.0,0.0
2024-03-14,35.16565281894694,22.51498889280488,8.572003332112423,4.185831040296153,7.816752546586095,9.592958048102943,10.409179961511802,1.7426333596387633,0.0,0.0
2024-03-15,35.1335208427347,22.911128508099488,8.642817623472016,4.121768353903995,7.784884874347699,9.684031736382614,10.37954531466536,1.3423027463941284,0.0,0.0
