date,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CATHAY SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,ICBC (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD
2024-07-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17,40.93333333333333,4.444444444444445,54.62222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,39.711111111111116,4.444444444444445,54.62222222222223,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,72.34454638124362,2.038735983690112,25.05606523955148,0.5606523955147809,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,78.82123341139734,1.56128024980484,19.188134270101482,0.429352068696331,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,25.086939721792888,2.028593508500773,72.35316846986089,0.5312982998454405,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,54.066846986089644,2.028593508500773,43.37326120556414,0.5312982998454405,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,83.0467542503864,2.028593508500773,14.393353941267387,0.5312982998454405,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,82.0807573415765,2.9945904173106648,14.393353941267387,0.5312982998454405,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,86.99751346871115,3.2117695814338996,9.220886862826356,0.5698300870285951,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,83.5990590695243,4.051228437009932,11.630946157867223,0.7187663355985363,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,83.5990590695243,4.051228437009932,11.630946157867223,0.7187663355985363,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,83.38112617309697,4.301355578727842,11.600625651720541,0.7168925964546402,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,80.77424400417101,6.908237747653806,11.600625651720541,0.7168925964546402,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,67.73983315954119,6.908237747653806,11.600625651720541,0.7168925964546402,13.034410844629823,0.0,0.0,0.0,0.0,0.0
2024-09-09,59.92850553505535,6.111623616236162,10.262915129151292,0.6342250922509225,23.062730627306273,0.0,0.0,0.0,0.0,0.0
2024-09-10,55.15814052218213,5.625132668223308,9.445977499469327,0.5837401825514753,29.187009127573766,0.0,0.0,0.0,0.0,0.0
2024-09-11,55.153380745143835,5.625729752680183,9.4469801507271,0.5838021441460567,29.190107207302834,0.0,0.0,0.0,0.0,0.0
2024-09-12,18.211769654060493,1.9627773299218394,69.99404156881988,0.19277277347446636,9.638638673723317,0.0,0.0,0.0,0.0,0.0
2024-09-13,18.295130453153057,1.9717615576916308,69.8566951867892,0.19365515298757086,9.682757649378543,0.0,0.0,0.0,0.0,0.0
2024-09-17,17.590929896834616,2.67596211401007,69.8566951867892,0.19365515298757086,9.682757649378543,0.0,0.0,0.0,0.0,0.0
