date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,CMB WING LUNG BANK LTD,DAH SING SECURITIES LTD
2024-03-01,57.424765024796486,0.0,28.851766774888493,0.0,0.0,13.72346820031502,0.0,0.0
2024-03-05,49.95502638699531,0.0,25.080923843589115,0.0,13.025712437572798,11.938337331842785,0.0,0.0
2024-03-06,49.9545873558325,0.0,25.081143871823002,0.0,13.025826708662677,11.938442063681814,0.0,0.0
2024-03-07,39.250751776664586,21.42713241313197,19.706973963679353,0.0,10.234765571892417,9.380376274631667,0.0,0.0
2024-03-08,39.24662510133817,21.424879645614336,19.71541566821825,0.0,10.233689527418221,9.37939005741103,0.0,0.0
2024-03-11,39.25159265707908,21.4231278205666,19.713803619069527,0.0,10.232852760353882,9.378623142930909,0.0,0.0
2024-03-12,39.251134170622954,21.422877583231276,19.714741418816317,0.0,10.232733233372157,9.378513593957297,0.0,0.0
2024-03-15,39.25709533012929,21.42613112463987,19.720072038399575,0.0,10.234287301968614,9.362414204862654,0.0,0.0
2024-03-19,39.25722549189444,21.42237712609792,19.727129345664153,0.0,10.232494187785472,9.36077384855802,0.0,0.0
2024-03-25,39.25676695571088,21.422126906299475,19.728066956901106,0.0,10.232374669180313,9.360664511908222,0.0,0.0
2024-03-26,39.25997693395945,21.423878567649602,19.706317586210613,0.0,10.23321135805376,9.376615554126575,0.0,0.0
2024-04-02,39.25768403878992,21.422627351741784,19.711006967380143,0.0,10.232613709182719,9.376067932905432,0.0,0.0
2024-04-03,39.078124427469405,21.422627351741784,19.711006967380143,0.0,10.412173320503236,9.376067932905432,0.0,0.0
2024-04-05,39.082393742819065,21.421126085555812,19.709625649030826,0.0,10.411443650725955,9.375410871868338,0.0,0.0
2024-04-11,39.08261581808319,21.421247805383533,19.709169420422928,0.0,10.41150281097376,9.375464145136586,0.0,0.0
2024-04-12,39.115271722877,21.416745217874862,19.705026699100394,0.0,10.409314390255737,9.353641969892001,0.0,0.0
2024-04-18,39.117995823832054,21.418318907155065,19.699276738974124,0.0,10.410079260281671,9.35432926975709,0.0,0.0
2024-04-19,39.11814679755375,21.41456764537778,19.70633511565725,0.0,10.408259513953258,9.352690927457964,0.0,0.0
2024-04-22,37.549073360394495,20.555604938516794,18.917012345216033,0.0,9.99077236623834,8.977543838405362,4.009993151228972,0.0
2024-04-23,37.54977329215905,20.555374557294122,18.916800328861058,0.0,9.990660392576656,8.977443220713386,4.009948208395723,0.0
2024-04-24,37.521102450464895,20.56481151086442,18.925485014508816,0.0,9.995247095582165,8.981564756646371,4.0117891719333345,0.0
2024-04-25,37.912701518496284,20.43579895339181,18.80675670903218,0.0,9.93254229570153,8.925579157181303,3.9866213661968892,0.0
2024-04-26,37.91396888885964,20.436482094526777,18.807385393486975,0.0,9.932874327164186,8.92253466240216,3.9867546335602557,0.0
2024-04-30,6.331764090572947,3.4182878247328983,3.1457985874600953,0.0,1.6614123321273866,1.5008059886411855,0.6668405433509643,0.0
2024-05-03,37.86105628862494,20.437393020423414,18.80822370481295,0.0,9.93331707031395,8.973077578586217,3.986932337238532,0.0
2024-05-06,37.845126135740855,20.442632420643662,18.813045445595787,0.0,9.935863609571378,8.975377947551797,3.987954440896517,0.0
2024-05-08,37.84491968276971,20.442700322675137,18.81310793480841,0.0,9.935896612430778,8.975407760072189,3.9879676872437777,0.0
