date,CHINA GALAXY INTERNATIONAL SECURITIES,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,61.50249098742234,0.0,38.49750901257766,0.0,0.0,0.0
2024-03-28,40.48657686315382,34.182293796187466,25.331129340658716,0.0,0.0,0.0
2024-04-02,40.46367488206257,34.20056454316269,25.335760574774735,0.0,0.0,0.0
2024-04-03,40.533370094628665,34.17970701889823,25.286922886473096,0.0,0.0,0.0
2024-04-05,40.62262640325526,34.13351536452298,25.24385823222176,0.0,0.0,0.0
2024-04-08,40.65323029603754,34.11592249401994,25.230847209942525,0.0,0.0,0.0
2024-04-09,40.65434318678559,34.11834801857856,25.22730879463585,0.0,0.0,0.0
2024-04-10,40.605447623971365,34.14570230631276,25.248850069715882,0.0,0.0,0.0
2024-04-11,40.65801497102749,34.12263560929953,25.21934941967298,0.0,0.0,0.0
2024-04-12,40.66524415286704,34.12870277066587,25.2060530764671,0.0,0.0,0.0
2024-04-15,40.49316723227911,33.98428553676558,25.5225472309553,0.0,0.0,0.0
2024-04-19,40.51420314835121,33.94702108810456,25.538775763544237,0.0,0.0,0.0
2024-04-23,40.51946295466398,33.94401945132285,25.53651759401317,0.0,0.0,0.0
2024-04-24,33.84817371514416,28.102596139502285,21.048582230288666,0.0,17.000647915064885,0.0
2024-04-25,33.8777834728796,28.09312860046887,21.034167393389033,0.0,16.994920533262494,0.0
2024-04-26,33.882625736488954,28.09107128385972,21.032627018781653,0.0,16.99367596086967,0.0
2024-04-30,30.613286810126798,25.479686872788804,19.19298347651041,0.0,15.413920598655933,9.300122241918052
2024-05-02,30.53337740872324,25.413177629969397,19.40391281446911,0.0,15.373685873911736,9.275846272926517
2024-05-03,30.83118754288771,25.661047419747867,19.61457774408306,0.0,14.526868191684406,9.366319101596957
2024-05-06,30.85182651113736,25.678225400395288,19.56076625286605,0.0,14.536592746437863,9.372589089163442
2024-05-08,30.855957621097158,25.68166375671637,19.54999530808677,0.0,14.538539219949072,9.37384409415063
2024-05-10,30.867530616839723,25.69129605492498,19.5198213114401,0.0,14.54399211998743,9.377359896807777
2024-05-13,30.9089337069415,25.72575618257812,19.411872018993883,0.0,14.563500198675616,9.389937892810883
2024-05-14,30.910177515732652,25.72679141472175,19.408629065904798,0.0,14.564086249613148,9.390315754027649
2024-05-20,30.916812853634003,25.732314060266816,19.391328907152598,0.0,14.567212651376495,9.39233152757009
2024-05-22,31.001246736116094,25.802589065379493,19.17118645280866,0.0,14.606995740497647,9.417982005198105
2024-05-23,31.012928994856892,25.812312304067596,19.140727577344478,0.0,14.612500122470367,9.421531001260664
2024-05-24,31.017103364151204,25.815786665483614,19.129843843530825,0.0,14.614466978675228,9.422799148159127
2024-05-27,31.105445309975792,25.889314383408983,18.899511988549875,0.0,14.656091447437761,9.449636870627588
2024-05-28,31.171505634144385,25.9442969269356,18.727274475957532,0.0,14.687217385112467,9.469705577850016
2024-05-29,31.150436884074672,25.926761235393986,18.782206527095767,0.0,14.677290328141321,9.463305025294257
