date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SOOCHOW SECURITIES INTERNATIONAL,EDDID SECURITIES AND FUTURES LTD,HANG SENG SECURITIES LTD
2024-03-12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,38.201972251449824,61.798027748550176,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,37.95123611347449,62.048763886525514,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,35.49138332557057,56.1969081997028,0.0,0.0,0.0,0.0,0.0,8.31170847472664
2024-04-18,35.380486614767,56.307804910506356,0.0,0.0,0.0,0.0,0.0,8.31170847472664
2024-04-19,30.980349964299336,49.75596396678371,11.932824069093009,0.0,0.0,0.0,0.0,7.3308619998239415
2024-04-22,30.971262063772993,49.770702754500384,11.929323646461782,0.0,0.0,0.0,0.0,7.328711535264841
2024-04-24,30.984895914853656,49.75837376741274,11.924792612302394,0.0,0.0,0.0,0.0,7.33193770543121
2024-04-26,31.057812990272982,49.640139629745846,11.952855349858801,0.0,0.0,0.0,0.0,7.349192030122372
2024-04-30,24.398387493845398,38.93556129985229,9.378077301821763,21.521879615952734,0.0,0.0,0.0,5.766094288527819
2024-05-02,24.4022341211226,38.93171467257508,9.378077301821763,21.521879615952734,0.0,0.0,0.0,5.766094288527819
2024-05-09,24.410957007361596,38.92722251709628,9.376995207655444,21.519396303048484,0.0,0.0,0.0,5.765428964838191
2024-05-16,24.424639943405946,38.927634968358085,9.373390029911803,21.511122730663057,0.0,0.0,0.0,5.763212327661113
2024-05-17,24.3993117433786,38.887267252504145,9.467369261967677,21.48881582990229,0.0,0.0,0.0,5.757235912247281
2024-05-20,24.395749516292497,38.9077423912042,9.463007892877982,21.478916495193637,0.0,0.0,0.0,5.754583704431682
