date,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,XIN YONGAN INTERNATIONAL SECURITIES,CELESTIAL SECURITIES LTD,MIGHTY BROKERAGE (ASIA) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,YUEXING SECURITIES COMPANY LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,53.285020222436785,46.714979777563215,0.0
2024-03-06,71.09376268241843,0.0,0.0,0.0,0.0,0.0,15.40269440021891,13.503542917362662,0.0
2024-03-08,55.510077063437926,0.0,12.123265565397217,0.0,0.0,0.0,12.026438338340743,10.543579066432159,9.796639966391965
2024-03-11,55.76362938597905,0.0,11.963763309893885,0.0,0.0,0.0,12.081371271852962,10.591738771869691,9.599497260404414
2024-03-12,50.526236857123195,0.0,10.840111114615638,0.0,0.0,9.64801596817846,10.891045785632143,9.596948903953901,8.497641370496662
2024-03-13,50.54198136313235,0.0,10.843489007077064,0.0,0.0,9.653248180570273,10.894439549871954,9.599939414015338,8.466902485333023
2024-03-18,50.543608356586844,0.0,10.842644336617063,0.0,0.0,9.654721841688268,10.893590910540087,9.599191611787152,8.466242942780584
2024-03-20,50.54248347503051,0.0,10.842403026369679,0.0,0.0,9.656732535827585,10.893348466442882,9.5989779754056,8.466054520923747
2024-03-22,45.27598785539798,0.0,9.712631315154177,0.0,10.419938351929895,8.650506958783593,9.758268271778633,8.598770387953007,7.583896859002717
2024-03-27,45.27598785539798,0.0,9.712631315154177,0.0,10.419938351929895,8.6525006225215,9.756274608040725,8.598770387953007,7.583896859002717
2024-04-02,45.274182625474694,0.0,9.712244056178406,0.0,10.419522891430798,8.656142801237058,9.75588560893333,8.598427540489197,7.583594476256511
2024-04-05,45.27282879749996,0.0,9.711953632211848,0.0,10.419211317797531,8.657877482361792,9.755593879959116,8.599167185149199,7.583367705020552
2024-04-08,45.27508522244158,0.0,9.712437681806048,0.0,10.419730617538987,8.658308996168454,9.756080104609438,8.59461171282006,7.583745664615426
2024-04-10,45.272377539500795,0.0,9.711856828082741,0.0,10.419107464060598,8.663771699050155,9.755496640844799,8.594097710838545,7.583292117622363
2024-04-12,45.27057259745906,0.0,9.711469630863485,0.0,10.418692069815336,8.667413137988287,9.75510770377142,8.593755077005023,7.582989783097388
2024-04-16,45.26606087194496,0.0,9.710501772875414,0.0,10.417653729097779,8.666549332059795,9.764101629841472,8.592898611936917,7.582234052243665
2024-04-19,45.265158634754684,0.0,9.710308224427262,0.0,10.417446085789555,8.668369778423394,9.763907013048,8.592727339408434,7.582082924148676
2024-04-22,40.725579428314965,0.0,8.736475046034615,10.02885959832739,9.372695044114266,7.799031143881469,8.784698487398174,7.73097477887207,6.821686473057048
2024-05-06,40.71280268129001,0.0,8.733734170812703,10.025713266124498,9.369754568982868,7.827957152327945,8.781942483141398,7.728549357051372,6.819546320269209
2024-05-07,33.53876482291476,17.621085717275246,7.194755386254838,8.259073737732466,7.718702084884084,6.4485861126046595,7.234468870545243,6.3666950501434245,5.617868217645283
2024-05-10,33.48436896344935,17.592506426792546,7.343799940779255,8.245678509353475,7.706183274603454,6.440338933157413,7.222735428539644,6.355631815053164,5.608756708271703
