date,CHIEF SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,EMPEROR SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,FIRST SHANGHAI SECURITIES LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UPBEST SECURITIES CO LTD
2024-03-01,0.0,0.0,0.0,0.0,9.248127142857143,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,22.577661285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.941723285714286,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.916009,0.0
2024-03-15,0.0,22.651947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.957151857142858,0.0
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.949723285714285,0.0
2024-03-25,0.0,22.587947,0.0,0.0,0.0,0.0,0.0,0.0,21.008009,0.0
2024-04-02,0.0,22.59651842857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.002294714285714,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04515185714286,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.054294714285714,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.201151857142857,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.205151857142855,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.848009,0.0
2024-04-29,0.0,22.522232714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,22.536518428571426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,22.550804142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,22.534931142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,22.506359714285715,0.0,0.0,0.0,0.0,0.0,18.623301857142856,0.0,0.0
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84743757142857,0.0
2024-06-05,23.353582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,23.191867714285713,23.82064542857143,21.790769571428573,0.0,8.715555714285713,0.0,10.752857142857144,18.480444714285717,22.732009,0.0
2024-06-13,23.241582,23.113216857142856,21.809626714285717,0.0,0.0,0.0,0.0,0.0,21.117723285714284,0.0
2024-06-14,23.249582,23.020645428571427,0.0,0.0,0.0,0.0,0.0,18.478158999999998,21.046294714285715,0.0
2024-06-17,23.236439142857144,22.886931142857144,0.0,0.0,0.0,0.0,0.0,0.0,21.007120142857143,0.0
2024-06-18,0.0,22.86750257142857,0.0,0.0,0.0,0.0,0.0,0.0,21.005977285714287,0.0
2024-06-19,0.0,22.830359714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.0,22.887502571428573,21.781055285714285,0.0,8.780698571428571,0.0,0.0,0.0,20.98883442857143,0.0
2024-06-21,23.413581999999998,22.816074,0.0,0.0,8.796127142857141,0.0,0.0,0.0,21.053405857142856,0.0
2024-06-24,23.297010571428572,22.87893114285714,0.0,0.0,8.867555714285714,0.0,0.0,0.0,21.110548714285716,0.0
2024-06-25,23.296439142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,23.27072485714286,22.733216857142857,0.0,0.0,0.0,0.0,0.0,0.0,21.253405857142855,0.0
2024-06-27,23.254153428571428,22.787502571428572,21.775912428571427,0.0,8.924698571428571,0.0,0.0,0.0,21.305977285714288,0.0
2024-06-28,0.0,22.77321685714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,0.0,22.758931142857143,0.0,0.0,9.010412857142857,0.0,0.0,0.0,0.0,78.66588614285715
2024-07-03,0.0,0.0,0.0,0.0,9.096127142857142,11.931460142857144,0.0,0.0,0.0,0.0
2024-07-04,0.0,22.737216857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.0,22.765788285714287,0.0,0.0,0.0,0.0,0.0,0.0,21.380263,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.335691571428573,0.0
2024-07-09,0.0,21.69664542857143,0.0,0.0,9.35327,0.0,0.0,0.0,21.690548714285715,0.0
2024-07-10,0.0,21.681788285714283,0.0,0.0,0.0,0.0,0.0,0.0,21.713977285714286,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.761977285714284,0.0
2024-07-12,0.0,0.0,0.0,0.0,9.353841428571428,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.80483442857143,0.0
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.795310714285716,0.0
2024-07-18,23.299296285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.787882142857143,0.0
2024-07-31,23.323867714285715,21.650359714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,23.326724857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.779310714285714,0.0
2024-08-08,0.0,21.624074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,21.766931142857143,0.0,0.0,0.0,0.0,0.0,0.0,22.361596428571428,0.0
2024-08-12,0.0,21.750359714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,21.750042285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,0.0,21.721470857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-22,23.30215342857143,21.73289942857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,0.0,0.0,0.0,15.071619,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,0.0,21.698613714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,23.29815342857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,0.0,21.71575657142857,0.0,0.0,0.0,0.0,0.0,0.0,22.218739285714285,0.0
2024-09-05,0.0,21.738613714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,0.0,0.0,0.0,0.0,9.362412857142857,0.0,0.0,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0,0.0,9.368127142857142,0.0,0.0,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0,0.0,9.389841428571428,0.0,0.0,0.0,0.0,0.0
2024-09-25,0.0,0.0,0.0,0.0,9.416127142857142,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,21.72089942857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,0.0,0.0,21.744483857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,0.0,0.0,21.701626714285716,0.0,9.702984285714287,0.0,0.0,0.0,22.21861242857143,0.0
2024-10-04,0.0,21.696899428571427,21.773055285714285,0.0,0.0,0.0,0.0,18.477016142857142,22.248898142857144,0.0
2024-10-07,23.212439142857143,21.340328,22.244483857142857,0.0,0.0,0.0,10.78142857142857,18.927301857142854,22.203183857142857,0.0
2024-10-08,0.0,21.333788428571427,0.0,0.0,0.0,11.87717442857143,10.771714285714285,18.498730428571427,0.0,0.0
2024-10-09,23.21472485714286,0.0,0.0,0.0,0.0,11.17717442857143,10.800285714285714,0.0,22.226041,0.0
2024-10-10,0.0,21.303502714285713,22.237626714285714,0.0,0.0,0.0,0.0,0.0,22.29746957142857,0.0
2024-10-14,0.0,21.298233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16,0.0,21.300518714285715,0.0,0.0,0.0,10.891460142857143,10.786,0.0,0.0,0.0
2024-10-18,0.0,21.616518714285714,22.376483857142855,0.0,0.0,0.0,0.0,18.470159,22.340326714285712,0.0
2024-10-21,0.0,0.0,22.237626714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.0,21.56680442857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,23.271867714285715,21.579375857142857,0.0,0.0,0.0,10.871015714285715,0.0,18.394730428571428,0.0,0.0
2024-10-24,0.0,21.936518714285715,0.0,0.0,0.0,0.0,0.0,0.0,22.332898142857143,0.0
2024-10-25,0.0,21.965090142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
