date,CORE PACIFIC - YAMAICHI INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TIGER FAITH SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HAFOO SECURITIES LTD,CITIBANK N.A.
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,72.71382977070604,0.0,0.0,11.755144188193725,0.0,0.0,0.0,15.531026041100237,0.0,0.0
2024-03-06,63.14854651336718,0.0,13.238606873606813,10.119135113871359,0.0,0.0,0.0,13.493711499154657,0.0,0.0
2024-03-07,63.12121841133509,0.0,13.232877747294648,10.158031867351191,0.0,0.0,0.0,13.487871974019072,0.0,0.0
2024-03-08,61.48791423742137,0.0,12.837659108938631,9.819661686533058,0.0,0.0,0.0,13.015065231481096,0.0,2.839699735625839
2024-03-11,61.49221699176069,0.0,12.83855745285097,9.813351115637756,0.0,0.0,0.0,13.015975989783696,0.0,2.8398984499668822
2024-03-13,61.45788506865547,0.0,12.819718594671775,9.889788262397772,0.0,0.0,0.0,12.996876793738046,0.0,2.8357312805369275
2024-03-14,58.48151584736512,0.0,12.078024574789485,9.284691508587422,0.0,0.0,0.0,12.165934864501686,5.331331575065365,2.65850162969093
2024-03-15,58.71334715992771,0.0,12.052595722947002,9.120651546872875,0.0,0.0,0.0,12.140365042412633,5.320126418914977,2.6529141089248105
2024-03-19,59.24108322975869,0.0,11.894751220290615,9.014171328750518,0.0,0.0,0.0,11.98137108573837,5.2504524061158975,2.618170729345912
2024-03-20,59.26747502808766,0.0,11.881845488588741,9.02381986736393,0.0,0.0,0.0,11.966773888062658,5.244755697642399,2.615330030254619
2024-03-21,59.75892516712113,0.0,11.729163038601927,8.939828551618593,0.0,0.0,0.0,11.813000102885736,5.177360262289582,2.5817228774830348
2024-03-22,59.7665669988161,0.0,11.730662936560488,8.928183989699539,0.0,0.0,0.0,11.814510721732152,5.178022331020538,2.5820530221711735
2024-03-25,59.80080915850734,0.0,11.717327315098784,8.918034275001316,0.0,0.0,0.0,11.79980245775659,5.172135865259806,2.5918909283761624
2024-03-28,60.253029943375644,0.0,11.719572766890488,8.459818920964638,0.0,0.0,0.0,11.80206371468473,5.173127028298379,2.5923876257861194
