date,ABN AMRO CLEARING HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.
2024-03-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,97.57371007371007,0.0,0.0,2.4262899262899262,0.0,0.0,0.0
2024-07-05,95.1048951048951,0.0,2.593240093240093,2.301864801864802,0.0,0.0,0.0
2024-09-03,95.33799533799534,0.0,2.593240093240093,2.0687645687645686,0.0,0.0,0.0
2024-09-23,80.52462261816382,15.515961395694136,2.202425142291512,1.7569908438505322,0.0,0.0,0.0
2024-12-06,80.52462261816382,15.515961395694136,2.202425142291512,1.7569908438505322,0.0,0.0,0.0
