date,IMPERIUM INTERNATIONAL SECURITIES LTD,ARISTO SECURITIES LTD,WEALTH LINK SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,WELL LINK SECURITIES LTD
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,43.30946974638771,0.0,46.59271032870721,0.0,10.097819924905075,0.0
2024-03-13,0.0,0.0,0.0,43.31318450125682,0.0,46.596706694826956,0.0,10.090108803916221,0.0
2024-03-21,0.0,0.0,0.0,43.302042147897154,0.0,46.58471965260485,0.0,10.113238199497983,0.0
2024-03-25,0.0,0.0,0.0,43.288122265299336,0.0,46.569744519880125,0.0,10.142133214820534,0.0
2024-03-27,0.0,0.0,0.0,43.28719459131937,0.0,46.57088954200532,0.0,10.141915866675307,0.0
2024-03-28,0.0,0.0,0.0,43.29090552582278,0.0,46.574881981859356,0.0,10.134212492317866,0.0
2024-04-02,0.0,0.0,0.0,43.28904997904153,0.0,46.57288567636981,0.0,10.138064344588669,0.0
2024-04-03,0.0,0.0,0.0,43.285339362635874,0.0,46.56889357874389,0.0,10.145767058620233,0.0
2024-04-05,0.0,0.0,0.0,29.76711299776443,29.822169862176683,33.17504504534226,0.0,7.235672094716622,0.0
2024-04-08,0.0,0.0,0.0,29.765749728381046,29.820804071308004,33.1735257000431,0.0,7.239920500267846,0.0
2024-04-10,0.0,0.0,0.0,29.763023564188696,29.818072864837887,33.17048742690291,0.0,7.248416144070512,0.0
2024-04-11,0.0,0.0,0.0,29.761206398801278,29.816252338445036,33.168462220643,0.0,7.254079042110686,0.0
2024-04-12,0.0,0.0,0.0,29.753485920746414,29.808517580694545,33.15985785221598,0.0,7.278138646343059,0.0
2024-04-15,0.0,0.0,0.0,29.75212389923007,29.807153040000944,33.158339897647764,0.0,7.2823831631212155,0.0
2024-04-16,0.0,0.0,0.0,29.7498541404554,29.804879083110013,33.1558102821759,0.0,7.289456494258683,0.0
