date,CHINA MERCHANTS BANK CO LTD,NANYANG COMMERCIAL BANK LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-08,0.0,0.0,0.0,63.357452676109126,36.64254732389087,0.0
2024-03-11,0.0,0.0,0.0,63.36280045924533,36.63719954075468,0.0
2024-03-13,0.0,0.0,0.0,63.36640623430878,36.63359376569122,0.0
2024-03-14,0.0,0.0,0.0,63.36899827924447,36.63100172075552,0.0
2024-03-15,0.0,0.0,0.0,63.493985603016256,36.506014396983744,0.0
2024-03-18,0.0,0.0,0.0,63.51273361742107,36.48726638257894,0.0
2024-03-19,0.0,0.0,0.0,63.54133447913555,36.45866552086445,0.0
2024-03-25,0.0,0.0,0.0,63.54182401654229,36.4581759834577,0.0
2024-03-26,0.0,42.69318505959278,0.0,36.41239273209849,20.894422208308725,0.0
2024-03-27,0.0,42.699349728312214,0.0,36.40735351169756,20.893296759990232,0.0
2024-04-11,0.0,42.6983640626186,0.0,36.40882147527096,20.892814462110433,0.0
2024-04-18,0.0,42.712331905393334,0.0,36.42073183074112,20.866936263865544,0.0
2024-04-24,0.0,42.703509458112734,0.0,36.42606030268317,20.870430239204097,0.0
2024-04-25,0.0,42.703838210409415,0.0,36.425570879707166,20.870590909883415,0.0
2024-04-26,0.0,42.699071797474744,0.0,36.43266677539177,20.868261427133483,0.0
2024-04-29,0.0,42.700468739309876,0.0,36.43058710800345,20.86894415268668,0.0
2024-04-30,0.0,42.702112317320115,0.0,36.42814026626522,20.869747416414665,0.0
2024-05-03,0.0,42.70498888331048,0.0,36.423857839946464,20.87115327674306,0.0
2024-05-09,0.0,42.70622181594796,0.0,36.422022337756104,20.871755846295933,0.0
2024-05-10,0.0,42.706131479874365,0.0,36.4210279609504,20.872840559175238,0.0
2024-05-14,0.0,42.70654249373102,0.0,36.42041606196554,20.873041444303443,0.0
2024-05-16,45.70157430305457,23.188980243692964,0.0,19.775712553924738,11.33373289932773,0.0
2024-05-17,37.95568392056573,19.258715219160983,16.948848044324635,16.423957083477603,9.412795732471043,0.0
2024-05-21,37.95565097434759,19.25869850224886,16.948833332418875,16.424029628990073,9.412787561994596,0.0
2024-05-23,37.9551567879389,19.258447752049488,16.948612656897282,16.425117796564354,9.412665006549975,0.0
2024-06-05,37.95512384263587,19.258431035601692,16.948597945400163,16.425190340061803,9.41265683630047,0.0
2024-06-06,37.96006627730968,19.26093882711116,16.95080495540769,16.42732919305559,9.400860747115876,0.0
2024-06-13,37.96349378769212,19.262677945987384,16.952335486454476,16.430982951635805,9.390509828230211,0.0
2024-06-14,37.96481222573294,19.263346921490907,16.952924225839507,16.43155358491557,9.387363042021075,0.0
2024-06-17,37.964746301655964,19.26331347161217,16.95289478789905,16.43326150438548,9.38578393444733,0.0
2024-06-27,37.96471333970333,19.263296746716364,16.952880068967165,16.43333405914073,9.38577578547241,0.0
2024-07-15,37.96451556918951,19.259549870755485,16.95279175591256,16.437415912222402,9.385726891920044,0.0
2024-07-23,37.964185956245316,19.25938265679683,16.952644569532882,16.43814141362687,9.3856454037981,0.0
2024-08-12,37.964251878376274,19.259416099356276,16.952674006604354,16.437996314353803,9.385661701309289,0.0
2024-09-10,37.96451556918951,19.259549870755485,16.95279175591256,16.437415912222402,9.385726891920044,0.0
2024-09-25,37.96435076200198,19.259466263413213,16.952718162403247,16.437778664499366,9.385686147682199,0.0
2024-09-26,37.964416684705284,19.259499706263014,16.9527475997303,16.437633563966518,9.385702445334886,0.0
2024-09-30,37.96230727174799,19.258429592673,16.951805655968972,16.442276531089288,9.385180948520754,0.0
2024-10-02,37.962702768821835,19.258630229912885,16.951982262450905,16.441406014055318,9.385278724759063,0.0
2024-10-03,34.82112917622404,17.66489744096116,15.549134310812432,15.093472105605663,8.608607369707702,8.262759596689003
2024-10-04,34.820297318824764,17.664475436391193,15.548762850646296,15.09900426036134,8.605216455730034,8.262243678046374
