date,WELL LINK SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,WELL LINK INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,99.56025396989644,0.0,0.0,0.0,0.0,0.0,0.43974603010355773
2024-03-14,97.65677937466648,0.0,0.0,0.0,1.9118820205154468,0.0,0.43133860481807734
2024-03-15,97.65698165920321,0.0,0.0,0.0,1.9116788425114994,0.0,0.43133949828528373
2024-03-25,97.65981373071196,0.0,0.0,0.0,1.9088342620732086,0.0,0.43135200721483424
2024-04-10,95.83446297810018,0.0,0.0,0.0,1.8731564133882408,1.869090962680941,0.42328964583063894
2024-04-11,95.83796959897181,0.0,0.0,0.0,1.8746479127339404,1.863467514208635,0.4239149740856149
2024-04-12,95.82208795359979,0.0,0.0,0.0,1.8818012707055913,1.8705782095595485,0.4255325661350761
2024-04-15,90.41050856488663,0.0,5.650031057746712,0.0,1.7730231040274473,1.7649367786534487,0.4015004946857681
2024-04-17,90.41068263398117,0.0,5.650041935860395,0.0,1.7728339857357909,1.7649401767202426,0.4015012677024082
2024-04-18,88.52937792266474,0.0,5.657925806743745,1.8804022830985514,1.769711254476705,1.7616400336396953,0.40094269937657023
2024-04-19,80.60668746378857,8.94922187954044,5.151585472518469,1.7121209105561177,1.611335867686386,1.603986958310468,0.3650614475995422
2024-04-22,80.1272586140263,8.94922187954044,5.151585472518469,2.1915497603183827,1.611335867686386,1.603986958310468,0.3650614475995422
2024-04-25,80.18506346618409,8.955677965229905,5.150749286849467,2.122740467924806,1.6149497101105736,1.6051440954769194,0.3656750082242404
2024-04-26,80.18422104950055,8.955583877725271,5.150695173565216,2.1227181666144657,1.6159833341322198,1.6051272319850536,0.3656711664772321
2024-04-29,80.18674835265496,8.956216354051413,5.150857516829131,2.1227850719513035,1.6125321890290816,1.6051778235236822,0.36568269196043085
2024-04-30,80.18660794274462,8.956200671391109,5.150848497490436,2.1227813548775005,1.6125293654266193,1.6053501164329724,0.3656820516367484
2024-05-02,80.18674835265496,8.956216354051413,5.150857516829131,2.1227850719513035,1.6125321890290816,1.6051778235236822,0.36568269196043085
2024-05-03,80.18857372623758,8.956420233633374,5.150974771106579,2.122833395095358,1.6102924937141727,1.6052143638405636,0.3656910163723723
2024-05-06,80.19110130378527,8.956702543763587,5.151137131996357,2.1229003076962143,1.610343250810392,1.6021129188412655,0.3657025431069109
2024-05-10,80.19039918292782,8.956624122497788,5.151092030722509,2.122881720439522,1.6112047108606815,1.6020988913883685,0.3656993411633166
2024-05-16,80.18955665412805,8.9565300187915,5.151037910236387,2.122859416161128,1.612238443008785,1.6020820587691293,0.36569549890501485
2024-05-21,80.1877312357959,8.958602513341441,5.150920653084417,2.1228110918324177,1.6122017423493415,1.6020455893074972,0.36568717428899816
2024-05-22,80.18688876305703,8.958508391980487,5.15086653619941,2.1227887890381236,1.613235429630309,1.6020287578082815,0.36568333228635586
2024-05-24,80.18913539636723,8.95945982328422,5.151010850419791,2.1228482641976862,1.6132806283967072,1.5985714595282252,0.3656935778061406
2024-05-27,80.18702917395083,8.961851065259498,5.150875555601277,2.1227925061379618,1.6132382544790103,1.5985294719568963,0.36568397261452334
2024-05-28,80.18351904911883,8.961458767199712,5.150650080030221,2.12269958254713,1.6131676362292096,1.602836919791836,0.36566796508305394
2024-05-30,80.14009502070411,8.961458767199712,5.150650080030221,2.1661236109618534,1.6131676362292096,1.602836919791836,0.36566796508305394
2024-06-04,80.06335561093896,8.959593291640417,5.1496785061625765,2.227337490954122,1.6128633423060856,1.6025345745652781,0.38463718343256903
2024-06-05,80.0587305321087,8.959075716215995,5.14938102089157,2.2272088227088473,1.612770170841516,1.6082187734202766,0.3846149638131082
2024-06-07,80.16973957736458,8.971498326904701,5.156521127498166,2.2302970595988296,1.476346917860673,1.6104487217271435,0.3851482690459073
2024-06-11,80.16791266753305,8.971293884198719,5.156403620578549,2.230246235539192,1.47631327483385,1.6126908250381644,0.38513949227847577
2024-06-12,80.16959904288292,8.969379046191635,5.1565120883142095,2.2302931499735412,1.4763443298810943,1.6127247488608487,0.38514759389574915
2024-06-13,80.17156657046323,8.966969666225713,5.156638639773529,2.2303478859749326,1.476380562420882,1.612764328457862,0.38533234668385197
2024-06-14,80.17240982613298,8.967063982057809,5.1566928780147885,2.2303713450837015,1.475344277310731,1.6127812917370157,0.3853363996629813
2024-06-17,80.17058279460143,8.966859633595835,5.156575363267421,2.2303205176384076,1.475310656012327,1.6150234165686272,0.38532761831595724
2024-06-18,80.16959904288292,8.9679766768448,5.1565120883142095,2.2302931499735412,1.4751172567026132,1.615178895217811,0.38532289006410364
2024-06-19,80.16187040508134,8.976752491430487,5.156014981995533,2.230078141689188,1.4749750500915286,1.6150231861608255,0.3852857435510923
2024-06-21,80.16538323752806,8.977145868322252,5.156240927530897,2.2301758675882377,1.4750396860610722,1.610711785527652,0.3853026274418294
2024-06-27,80.16187040508134,8.976752491430487,5.156014981995533,2.230078141689188,1.4749750500915286,1.6150231861608255,0.3852857435510923
2024-06-28,80.15105281525145,8.981149286895853,5.15531919414839,2.2297771997263385,1.4747760068928033,1.6226917466215647,0.38523375046360586
2024-07-02,80.15091234627644,8.981308802263598,5.155310159177825,2.2297732919234248,1.4747734222695608,1.622688902768136,0.3852330753210075
2024-07-04,80.14866490963543,8.981757967375826,5.155165603955577,2.229710768939584,1.4747320695297177,1.6247464072026159,0.3852222733612609
2024-07-10,80.14852444903016,8.981917476924492,5.155156569523353,2.2297068613695137,1.4747294850604777,1.6247435598331181,0.3852215982588904
2024-07-16,80.14824352929656,8.981885995398386,5.1551385007539015,2.230049545216664,1.4747243161491732,1.6247378651240623,0.38522024806124794
2024-07-25,80.14936722004654,8.982011922826937,5.155210776591687,2.2300808108556303,1.4747449920117979,1.623358628758798,0.38522564890860767
2024-08-01,80.14964814765729,8.982043405235801,5.155228845867797,2.22973812231357,1.4747501610680416,1.6233643187134008,0.3852269991441104
2024-08-02,80.14922675697967,8.981996181705263,5.1552017420011325,2.2297263993568266,1.4752681623662474,1.623355783796454,0.38522497379440573
