date,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD,MAGNUM RESEARCH LTD,FUTU SECURITIES INTERNATIONAL
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.056369285397246,58.943630714602754
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.03019538188277,58.96980461811723
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.056369285397246,58.943630714602754
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.003998223012,58.996001776988
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.95153401511783,59.04846598488217
2024-03-22,65.49501151189563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121258633921718,20.383729854182654
2024-03-26,54.79121715953801,0.0,0.0,0.0,16.75339510090113,0.0,0.0,0.0,11.60045691077548,16.854930828785378
2024-03-27,54.798172124904795,0.0,0.0,0.0,16.755521706016754,0.0,0.0,0.0,11.58923584666159,16.857070322416856
2024-04-05,54.81904761904762,0.0,0.0,0.0,16.761904761904763,0.0,0.0,0.0,11.555555555555555,16.863492063492064
2024-04-08,38.870880605078334,0.0,0.0,29.08337835404286,11.885467314964885,0.0,0.0,0.0,8.202773275706825,11.957500450207096
2024-04-09,38.874380909500225,0.0,0.0,29.085997298514183,11.886537595677622,0.0,0.0,0.0,8.194506978838362,11.958577217469609
2024-04-10,38.89890070282934,0.0,0.0,29.104343124887365,11.89403496125428,0.0,0.0,0.0,8.136601189403496,11.966120021625517
2024-04-11,38.47974510696404,0.0,0.0,29.403732362312248,12.016385980883022,0.0,0.0,0.0,8.192990441511151,11.90714610832954
2024-04-12,38.49025678382808,0.0,0.0,29.411764705882355,12.019668548533964,0.0,0.0,0.0,8.167911127299217,11.910398834456384
2024-04-17,38.47624249044238,0.0,0.0,29.40105588931367,12.015292190060077,0.0,0.0,0.0,8.20134716912434,11.90606226105953
2024-04-22,22.787061994609164,0.0,40.07008086253369,18.043126684636118,7.191374663072776,0.0,0.0,0.0,4.857142857142857,7.051212938005391
2024-04-23,21.909620240119544,0.0,38.30061318081105,17.246354408203228,6.873808419642397,4.281960117483382,0.0,0.0,4.642654712217241,6.744988921523162
2024-04-24,22.150448010002084,0.0,37.679724942696396,17.446342988122527,6.949364450927277,4.329026880600125,0.0,0.0,4.625963742446343,6.819128985205252
2024-04-25,22.23035499555602,0.0,37.81565326501804,17.50928007528624,6.634600303236263,4.344643697391123,0.0,0.0,4.621738903121242,6.84372876039107
2024-04-26,22.25067948985992,0.0,37.805770436964245,17.504704160568682,6.63286640183985,4.343508258415221,0.0,0.0,4.620531047459753,6.841940204892327
2024-04-30,22.251842559197115,0.0,37.80774658930531,17.505619152161415,6.6332131096126705,4.34373529872981,0.0,0.0,4.615545449793529,6.842297841200147
2024-05-02,22.337540419317826,0.0,37.722958172525296,17.466360696776885,6.675706686137478,4.333993950140816,0.0,0.0,4.63648690935642,6.826953165745279
2024-05-03,22.331716982115857,0.0,37.71312372907868,17.461807184941865,6.673966317326243,4.332864070076646,0.0,0.0,4.661348349757547,6.825173366703165
2024-05-06,22.334045992595296,0.0,37.71705689106742,17.463628304740052,6.674662355947228,4.333315951400115,0.0,0.0,4.651405329300725,6.825885174949158
