date,EMPEROR SECURITIES LTD,ASIA PACIFIC SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,STOCKWELL SECURITIES LTD,GET NICE SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,3.6336,0.0,3.1466000000000003,0.0,0.0,0.0,0.0,0.0,6.7802
2024-03-04,0.0,0.0,3.6384,2.6184,3.1433999999999997,0.0,0.0,0.0,0.0,0.0,9.4002
2024-03-05,0.0,0.0,3.6408000000000005,2.6384000000000003,3.1266000000000003,0.0,0.0,0.0,0.0,0.0,9.405800000000001
2024-03-06,0.0,0.0,3.6415999999999995,2.6384000000000003,3.0986,0.0,0.0,0.0,0.0,0.0,9.378599999999999
2024-03-07,0.0,0.0,3.6415999999999995,2.6384000000000003,3.0898,2.0048,0.0,0.0,0.0,0.0,11.3746
2024-03-08,0.0,0.0,3.6415999999999995,2.6384000000000003,3.089,2.0048,0.0,0.0,0.0,0.0,11.373800000000001
2024-03-11,0.0,0.0,3.644,2.6344,3.1178,1.9864,0.0,0.0,0.0,0.0,11.3826
2024-03-13,0.0,0.0,3.556,2.6296,3.0978,2.016,0.86,0.0,0.0,0.0,12.1594
2024-03-14,0.0,0.0,3.5696,2.6464000000000003,3.1474,2.016,0.868,0.0,1.1328,0.0,13.3802
2024-03-15,0.0,0.0,3.5687999999999995,2.6528,3.089,2.016,0.868,0.0,1.1328,0.0,13.3274
2024-03-18,0.0,0.0,3.5768,2.5736,3.1697999999999995,2.016,0.8840000000000001,0.0,1.1328,0.0,13.353000000000002
2024-03-19,0.0,0.0,3.5888000000000004,2.5976,3.1954000000000002,2.0168,0.9176,0.0,1.1328,0.5124,13.9614
2024-03-20,0.0,0.0,3.5832,2.6096,3.1794000000000002,2.0176,0.9176,0.0,1.1328,0.5084,13.948599999999999
2024-03-21,0.0,0.0,3.588,2.6096,3.1898000000000004,2.0351999999999997,0.9176,0.0,1.1328,0.5084,13.981399999999999
2024-03-22,0.0,0.0,3.5856,2.6096,3.1866,2.0312,0.9176,0.0,1.1328,0.5084,13.971800000000002
2024-03-25,0.0,0.0,3.5816,2.6096,3.173,2.0264,0.9168000000000001,0.0,1.1328,0.5084,13.948599999999999
2024-03-26,0.0,0.0,3.5816,2.6096,3.1697999999999995,2.0264,0.9119999999999999,0.0,1.1328,0.5084,13.9406
2024-03-27,0.0,0.0,3.5872,2.6096,3.1706,2.024,0.9103999999999999,0.0,1.1328,0.5084,13.943
2024-03-28,0.0,0.0,3.5872,2.6104,3.1690000000000005,2.0184,0.9096,0.0,1.1328,0.5084,13.9358
2024-04-02,0.0,0.0,3.5951999999999997,2.6104,3.1274,2.0176,0.9112,0.0,1.1328,0.5084,13.902999999999999
2024-04-03,0.0,0.0,3.5928,2.6104,3.1266000000000003,1.9935999999999998,0.9216,0.0,1.1328,0.5084,13.8862
2024-04-05,0.0,0.0,3.592,2.6104,3.1258,1.9935999999999998,0.9216,0.0,1.1328,0.5084,13.884599999999999
2024-04-08,0.0,0.0,3.5944,2.6128,3.1626000000000003,1.9935999999999998,0.9216,0.0,1.1328,0.5084,13.9262
2024-04-09,0.0,0.0,3.592,2.6128,3.1626000000000003,1.9935999999999998,0.9216,0.0,1.1328,0.5084,13.9238
2024-04-10,0.0,0.0,3.592,2.6128,3.1649999999999996,1.9896,0.9216,0.0,1.1328,0.5084,13.922200000000002
2024-04-11,0.0,0.0,3.5896,2.6128,3.1658,1.9879999999999998,0.9216,0.0,1.1328,0.5084,13.919
2024-04-12,0.0,0.0,3.5896,2.6128,3.1634,1.9879999999999998,0.9216,0.0,1.1328,0.5084,13.9166
2024-04-15,0.0,0.0,3.5896,2.6128,3.161,1.9831999999999999,0.9216,0.0,1.1328,0.5084,13.9094
2024-04-16,0.0,0.0,3.5888000000000004,2.6128,3.1378000000000004,1.9751999999999998,0.9216,0.0,1.1328,0.5084,13.877400000000002
2024-04-17,0.0,0.0,3.5888000000000004,2.6128,3.137,1.9751999999999998,0.9216,0.0,1.1328,0.5084,13.8766
2024-04-18,0.0,0.0,3.5888000000000004,2.6128,3.1354,1.9751999999999998,0.9216,0.0,1.1328,0.5084,13.875000000000002
2024-04-19,0.0,0.0,3.5928,2.6128,3.1354,1.9751999999999998,0.9216,0.0,1.1328,0.5084,13.879
2024-04-22,0.0,0.0,3.5951999999999997,2.6128,3.1281999999999996,1.9751999999999998,0.9216,0.0,1.1328,0.5084,13.8742
2024-04-23,0.0,0.0,3.6008,2.6128,3.073,1.9744000000000002,0.9448,0.0,1.1328,0.5084,13.847000000000001
2024-04-24,0.0,0.0,3.5848,2.6184,3.045,1.9744000000000002,0.9408,0.0,1.1328,0.5084,13.8046
2024-04-25,0.0,0.0,3.5808,2.6184,3.0202,1.9751999999999998,0.9408,0.0,1.1328,0.5084,13.7766
2024-04-26,0.0,0.0,3.5848,2.6264,3.0234,1.9751999999999998,0.9408,0.0,1.1328,0.5084,13.791800000000002
2024-04-29,0.0,0.0,3.5848,2.6264,3.0186,1.9751999999999998,0.9408,0.0,1.1328,0.5084,13.786999999999999
2024-04-30,0.0,0.0,3.5648,2.6304000000000003,2.9882,1.9751999999999998,0.9408,0.0,1.1328,0.5084,13.7406
2024-05-02,0.0,0.0,3.5704,2.6304000000000003,2.989,1.9751999999999998,0.9408,0.0,1.1328,0.5084,13.747000000000002
