date,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,50.13575634293252,28.691538682025996,0.0,21.17270497504148,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,45.361304968396496,25.859583257541658,0.0,19.17520588942292,0.0,0.0,9.603905884638923
2024-03-05,0.0,0.0,0.0,45.410423362999595,25.814567006671545,0.0,19.185576935061825,0.0,0.0,9.58943269526704
2024-03-06,0.0,0.0,0.0,45.41913286393181,25.819518116543662,0.0,19.170077117158904,0.0,0.0,9.591271902365623
2024-03-07,0.0,0.0,0.0,45.41310285365405,25.829858306017826,0.0,19.16704031031686,0.0,0.0,9.589998530011263
2024-03-08,0.0,0.0,0.0,45.413214505960255,25.82992181110925,0.0,19.16708743425509,0.0,0.0,9.589776248675403
2024-03-11,0.0,0.0,0.0,45.4110932060196,25.828715267767166,0.0,19.17110907401667,0.0,0.0,9.589082452196566
2024-03-12,0.0,0.0,40.70986658496848,26.91940037233749,15.317506660652006,0.0,11.36888074070394,0.0,0.0,5.684345641338086
2024-03-13,0.0,0.0,40.769167967486034,26.79849574449348,15.332893830412178,0.0,11.384023873699805,0.0,0.0,5.715418583908509
2024-03-14,0.0,0.0,37.13661332419839,24.41073545889188,13.94997108055413,0.0,10.369701265627814,0.0,8.92680713561116,5.206171735116624
2024-03-15,0.0,0.0,37.14258915420279,24.414663507045095,13.946497377933536,0.0,10.371369903837193,0.0,8.928243590827437,5.19663646615395
2024-03-18,0.0,0.0,37.14258915420279,24.413333632821008,13.947827252157625,0.0,10.371369903837193,0.0,8.928243590827437,5.19663646615395
2024-03-19,0.0,0.0,37.05826622686374,24.43645910624024,13.991792950209325,0.0,10.350743392450786,0.0,8.934511355962165,5.228226968273741
