date,SILVERBRICKS SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,FULBRIGHT SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,IMPERIUM INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,24.946864393338792,14.110242396409372,25.13179910393336,13.100002037042035,14.852746978787879,0.0,7.858345090488554,0.0,0.0
2024-03-04,0.0,23.8626166976321,13.50097456371055,23.96014423743243,12.538878562977565,14.210031408612398,0.0,7.557066394798545,0.0,4.37028813483641
2024-03-05,33.236447025311755,14.40001128191663,7.8387342812849825,13.577371527708568,7.264870556642624,8.183666061861105,8.562168870328806,4.436760232806745,0.0,2.4999701621387853
2024-03-06,33.318827759060746,14.311772211422177,7.9530245835976565,13.606434709875714,7.221676805421497,8.148869726489089,8.62776175969742,4.398796782963306,0.0,2.412835661472394
2024-03-07,33.28470724278084,14.521798149848633,7.902083615905424,13.563460349621806,7.232622760244578,8.07327301032489,8.61892640427286,4.379007651754166,0.0,2.424120815246809
2024-03-08,33.25167196812522,14.725736516629166,7.715589653517956,13.55610626240499,7.225444338105476,8.080529562160365,8.610372067323917,4.35023054084161,0.0,2.484319090891295
2024-03-11,33.13883227722306,14.683373420814524,7.6894067670614366,13.500973053110837,7.20092476187111,8.09876077441411,8.581152732922904,4.624600665960757,0.0,2.481975546621255
2024-03-12,32.93434309529065,14.891502145854984,7.671195875523012,13.595004762578386,7.18387074668017,8.073507818805291,8.560829911354496,4.6136481824093485,0.0,2.476097461503668
2024-03-13,32.911359528435845,14.887178308830501,7.665842453329311,13.585517350002766,7.178857409292361,8.067873639123329,8.55485564898555,4.67414617033596,0.0,2.4743694916643784
2024-03-14,32.839120796359936,15.193583388098556,7.641447538419996,13.427028459941633,7.163100188550599,8.051678831170966,8.536078183270673,4.663886661226626,0.0,2.484075952961017
2024-03-15,32.7054488819384,15.282497347913072,7.850050674813393,13.372373628883194,7.133942729636446,8.018904405499095,8.5013320060059,4.6449022717687845,0.0,2.4905480535417177
2024-03-18,32.596843161915636,15.39703324548094,7.823982834899898,13.327967686875763,7.110252885489979,8.008804332241622,8.47310144152113,4.779736776995693,0.0,2.482277634579342
