date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,DEUTSCHE BANK AG,HANG SENG BANK LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.199610700975622
2024-03-04,0.0,0.0,0.0,2.1736249910983454,0.0,0.0,0.0,0.0,0.0,13.166377857431103
2024-03-05,0.0,0.0,0.0,2.203297172834524,0.0,0.0,0.0,0.0,0.0,13.136705675694923
2024-03-06,6.9276236143091126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,6.902461604196833,0.0,1.437320483300496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,2.477383863080685,0.0,0.0,5.453747003109645,0.0,1.535119994302941,1.8947468369454268,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8945094594915377,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8923730624065327,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8921356849526432,2.0321883827474068,0.0
2024-03-20,0.0,2.9602689486552567,0.0,0.0,0.0,0.0,1.5384432786573932,0.0,0.0,13.118902366653215
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.107033493958745
2024-03-22,6.904835378735728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8907114202293067,0.0,0.0
2024-04-02,6.909820305267406,0.0,1.4375578607543855,0.0,0.0,0.0,0.0,0.0,0.0,13.090179694732596
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,1.5431908277351818,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.076886557314788
2024-04-23,0.0,0.0,0.0,2.1961758492178416,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,2.944839414152444,0.0,0.0,0.0,0.0,1.546751489543523,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,1.5491252640824174,0.0,2.0310014954779594,0.0
2024-04-30,0.0,2.942940394521328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,2.9358190709046457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,2.8942780164739954,1.4430175421938425,0.0,0.0,0.0,0.0,1.8918983074987537,0.0,0.0
2024-05-06,6.907446530728512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8907114202293067,0.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,1.5892420537897312,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8949842143993163,0.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8959337242148742,0.0,0.0
2024-05-22,6.8905927315023625,0.0,1.448951978541078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,2.2028224179267455,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,2.9013993400906783,1.456073302157761,2.1731502361905664,0.0,0.0,1.5868682792508366,1.8961711016687637,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8975953663921001,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8978327438459897,0.0,0.0
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8959337242148742,0.0,0.0
2024-06-04,0.0,2.8978386782823367,0.0,2.161281363496095,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,0.0,2.9037731146295727,0.0,0.0,0.0,5.196726564910865,0.0,0.0,0.0,0.0
2024-06-11,0.0,0.0,0.0,2.1491751133477344,0.0,0.0,0.0,1.8911861751370855,0.0,0.0
2024-06-17,0.0,0.0,0.0,2.1375436181071525,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8814536995276188,0.0,0.0
2024-06-21,0.0,0.0,1.449426733448857,2.1266242552282386,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,2.1166544021648823,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,0.0,0.0,1.4351840862154912,2.092916656775939,0.0,0.0,0.0,1.8786051700809456,0.0,0.0
2024-06-26,0.0,2.901874094998457,1.4328103116765971,2.1138058727182094,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,0.0,0.0,0.0,2.1135684952643197,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,6.87943599116956,0.0,0.0,2.091017637144824,0.0,0.0,0.0,1.8781304151731668,0.0,0.0
2024-07-03,6.873501554822322,2.903535737175683,0.0,2.067279891755881,0.0,0.0,0.0,1.8857264936976286,0.0,13.088755430009257
2024-07-04,6.8723146675528755,0.0,0.0,2.05517364160752,5.513091366582002,0.0,0.0,1.8852517387898498,0.0,0.0
2024-07-05,6.8189047404277545,0.0,0.0,2.0428300140052698,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,2.052325112160847,5.542763548318181,0.0,0.0,1.8935599496759798,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9291665677593943,0.0,13.037481899969142
2024-07-15,0.0,2.8987881880978947,0.0,0.0,5.552258646473758,0.0,0.0,0.0,0.0,0.0
2024-07-16,6.8070358677332825,0.0,0.0,0.0,5.643648966221188,0.0,0.0,0.0,0.0,13.025613027274668
2024-07-17,0.0,2.910894438246255,0.0,0.0,5.763049825527571,0.0,0.0,0.0,0.0,12.894818050181595
2024-07-18,0.0,0.0,0.0,0.0,5.792009874902082,0.0,0.0,0.0,0.0,12.864433736083747
2024-07-19,0.0,0.0,1.4325729342227076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,2.9016367175445676,0.0,2.04686543072139,5.851354238374439,0.0,1.5647921760391197,0.0,0.0,0.0
