date,THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,DEUTSCHE BANK AG,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,5.654491373166557,0.0,0.0,0.0,0.0,0.0,0.0,5.654491373166557
2024-03-19,0.0,0.0,5.655664946847781,0.0,0.0,0.0,0.0,0.0,0.031473112360078014,5.687138059207859
2024-03-21,0.0,0.0,5.655878323880731,0.0,0.0,0.0,0.0,0.0,0.03125973532712833,5.687138059207859
2024-03-22,0.0,0.0,5.658118782726702,0.0,0.0,0.0,0.0,0.0,0.029019276481156677,5.687138059207859
2024-03-25,0.0,0.0,5.658118782726702,0.0,0.0,0.0,0.0,0.0,0.02891258796468183,5.687031370691384
2024-03-28,0.0,0.0,5.658332159759652,0.0,0.0,0.0,0.0,0.0,0.028699210931732156,5.687031370691384
2024-04-02,0.0,0.0,5.658652225309076,0.0,0.0,0.0,0.0,0.0,0.02859252241525731,5.687244747724334
2024-04-03,10.522154937331166,0.0,6.062041506100449,0.0,0.0,0.0,0.0,0.0,0.02859252241525731,16.61278896584687
2024-04-05,9.894079640843778,0.0,6.6905435566537355,0.0,0.0,0.0,0.0,0.0,0.02859252241525731,16.613215719912773
2024-04-29,9.894079640843778,0.0,6.6905435566537355,0.0,0.0,0.0,0.0,0.0,0.028805899448206995,16.61342909694572
2024-05-07,9.894079640843778,0.0,6.690970310719635,0.0,0.0,0.0,0.0,0.0,0.02859252241525731,16.613642473978672
2024-05-20,9.894079640843778,0.0,6.69150375330201,0.0,0.0,0.0,0.0,0.0,0.02859252241525731,16.614175916561045
2024-05-22,9.894079640843778,0.0,6.691717130334959,0.0,0.0,0.0,0.0,0.0,0.026992194668134697,16.61278896584687
2024-05-30,9.893972952327303,0.0,6.692784015499707,0.0,0.0,0.0,0.0,0.032113243458927056,0.027098883184609544,16.645969094470548
2024-05-31,9.893972952327303,0.0,6.693530835115031,0.0,0.0,0.0,0.0,0.03200655494245221,0.027205571701084383,16.64671591408587
2024-06-03,9.893972952327303,0.0,6.696518113576327,0.0,0.0,0.0,0.0,0.03189986642597737,0.024751735822163046,16.647142668151773
2024-06-05,9.893972952327303,0.0,6.696518113576327,0.0,0.0,0.0,0.0,0.03189986642597737,0.024111604723314,16.64650253705292
2024-06-06,9.893972952327303,0.0,4.623880304019597,0.0,0.0,0.0,0.0,0.03189986642597737,0.024111604723314,14.573864727496192
2024-06-07,9.893972952327303,0.0,4.625480631766719,1.5768562734981457,0.0,0.0,0.0,0.031793177909502535,0.02379153917388948,16.15189457467556
2024-06-11,9.893972952327303,0.0,4.636469548963628,1.5688546347625325,0.0,0.0,0.0,0.031793177909502535,0.02379153917388948,16.154881853136857
2024-06-13,9.893866263810828,0.0,4.636469548963628,1.5688546347625325,0.0,0.0,0.0,0.03168648939302769,0.024111604723314,16.15498854165333
2024-06-14,9.893866263810828,0.0,4.636576237480103,1.5688546347625325,0.0,0.0,0.0,0.03157980087655285,0.024111604723314,16.15498854165333
2024-06-20,9.893866263810828,0.0,4.636682925996578,1.5688546347625325,0.0,0.0,0.0,0.03157980087655285,0.02400491620683916,16.15498854165333
2024-06-26,9.893866263810828,0.0,4.637002991546002,1.5688546347625325,0.0,0.0,0.0,0.03157980087655285,0.02400491620683916,16.155308607202755
2024-07-08,9.893759575294354,0.0,4.637536434128376,1.5688546347625325,0.0,0.0,0.0,0.03157980087655285,0.02379153917388948,16.155521984235705
